"","real.identity","ID","sample.eu","sample.eu.val","sample.ieu","sample.ieu.val","sample.cos","sample.cos.val","bt.genus.eu.score","bt.genus.ieu.score","bt.genus.cos.score","reference","genus.cos","hits.cos","genus.eu","hits.eu","genus.ieu","hits.ieu"
"1","Ceratium_sp.","ID00232","ID00233",0.0807799051730429,"ID00233",0.18609914358219,"ID00591",0.415329121178912,0.67,0.87,0.942,"Ceratium","Ceratium",TRUE,"Ceratium",TRUE,"Ceratium",TRUE
"2","Ceratium_sp.","ID00233","ID00234",0.153456895867677,"ID00234",0.251908535809738,"ID00234",0.346430662260498,0.822,0.756,0.766,"Ceratium","Ceratium",TRUE,"Ceratium",TRUE,"Ceratium",TRUE
"3","Ceratium_sp.","ID00234","ID00233",0.153456895867677,"ID00233",0.251908535809738,"ID00233",0.346430662260498,0.952,0.91,0.906,"Ceratium","Ceratium",TRUE,"Ceratium",TRUE,"Ceratium",TRUE
"4","Ceratium_sp.","ID00235","ID00591",0.0542230729901108,"ID00238",0.208561310993568,"ID00238",0.466127818908026,0.748,0.788,0.844,"Ceratium","Ceratium",TRUE,"Ceratium",TRUE,"Ceratium",TRUE
"5","Ceratium_sp.","ID00236","ID00234",0.125881734466382,"ID00234",0.233533372274605,"ID00234",0.305537638750211,0.564,0.594,0.634,"Ceratium","Ceratium",TRUE,"Ceratium",TRUE,"Ceratium",TRUE
"6","Ceratium_sp.","ID00237","ID00254",0.168174556645713,"ID00254",0.293179948005949,"ID00254",0.394178906745433,0.884,0.778,0.574,"Ceratium","Chaetoceros",FALSE,"Chaetoceros",FALSE,"Chaetoceros",FALSE
"7","Ceratium_sp.","ID00238","ID00242",0.159936939150087,"ID00240",0.323858300923327,"ID00240",0.580163244259165,0.94,0.984,0.988,"Ceratium","Ceratium",TRUE,"Ceratium",TRUE,"Ceratium",TRUE
"8","Ceratium_sp.","ID00239","ID00051",0.0540311674732711,"ID00233",0.156013923376928,"ID00235",0.348807205738676,0.74,0.944,0.742,"Ceratium","Ceratium",TRUE,"Coscinodiscus ",FALSE,"Ceratium",TRUE
"9","Ceratium_sp.","ID00240","ID00242",0.19348940007406,"ID00242",0.331869002056881,"ID00238",0.580163244259165,0.9,0.866,0.926,"Ceratium","Ceratium",TRUE,"Ceratium",TRUE,"Ceratium",TRUE
"10","Ceratium_sp.","ID00241","ID00242",0.132935726062369,"ID00242",0.241920585712625,"ID00242",0.344134478816413,0.998,0.998,0.974,"Ceratium","Ceratium",TRUE,"Ceratium",TRUE,"Ceratium",TRUE
