real.identity,ID,sample.eu,sample.eu.val,sample.ieu,sample.ieu.val,sample.cos,sample.cos.val,bt.genus.eu.score,bt.genus.ieu.score,bt.genus.cos.score,reference,genus.cos,hits.cos,genus.eu,hits.eu,genus.ieu,hits.ieu
Ceratium_sp.,ID00232,ID00053,0.164058056,ID00238,0.465937386,ID00237,0.812234574,0.462,0.722,0.754,Ceratium,Ceratium,TRUE,Coscinodiscus ,FALSE,Ceratium,TRUE
Ceratium_sp.,ID00233,ID00234,0.221104784,ID00234,0.711089466,ID00234,0.975346064,0.872,0.95,0.686,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
Ceratium_sp.,ID00234,ID00236,0.273810826,ID00236,0.807969128,ID00236,0.983116021,0.992,0.928,0.7,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
Ceratium_sp.,ID00235,ID00233,0.130951698,ID00238,0.250806503,ID00232,0.509398806,0.906,0.844,0.87,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
Ceratium_sp.,ID00236,ID00234,0.273810826,ID00300,0.832476402,ID00234,0.983116021,0.738,0.728,0.59,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Guinardia ,FALSE
Ceratium_sp.,ID00237,ID00242,0.174757532,ID00300,0.71038374,ID00300,0.968595409,0.548,0.516,0.588,Ceratium,Guinardia ,FALSE,Ceratium,TRUE,Guinardia ,FALSE
Ceratium_sp.,ID00238,ID00242,0.238158973,ID00234,0.605009339,ID00233,0.910895085,1,0.958,0.92,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
Ceratium_sp.,ID00239,ID00658,0.117328606,ID00055,0.185577694,ID00240,0.407663041,0.776,0.518,0.71,Ceratium,Ceratium,TRUE,Ditylum ,FALSE,Coscinodiscus ,FALSE
Ceratium_sp.,ID00240,ID00242,0.243688623,ID00242,0.619823624,ID00242,0.900910594,0.694,0.972,0.986,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
Ceratium_sp.,ID00241,ID00238,0.141041371,ID00240,0.440980181,ID00242,0.876475972,0.868,0.932,0.696,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
Ceratium_sp.,ID00242,ID00240,0.243688623,ID00268,0.626317355,ID00268,0.93424038,0.972,0.522,0.65,Ceratium,Ditylum ,FALSE,Ceratium,TRUE,Ditylum ,FALSE
Ceratium_sp.,ID00582,ID00588,0.29566083,ID00588,0.49863674,ID00591,0.824098966,0.352,0.552,0.794,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
Ceratium_sp.,ID00583,ID00585,0.337660831,ID00585,0.536101672,ID00590,0.803474601,0.776,0.846,0.774,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
Ceratium_sp.,ID00584,ID00590,0.285053305,ID00590,0.514744228,ID00595,0.894911957,0.54,0.562,0.504,Ceratium,Coscinodiscus ,FALSE,Ceratium,TRUE,Ceratium,TRUE
Ceratium_sp.,ID00585,ID00583,0.337660831,ID00591,0.600411646,ID00593,0.880548592,0.96,1,0.87,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
Ceratium_sp.,ID00586,ID00587,0.616219238,ID00587,0.638125597,ID00587,0.896838185,1,1,1,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
Ceratium_sp.,ID00587,ID00586,0.616219238,ID00592,0.704555758,ID00586,0.896838185,1,1,1,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
Ceratium_sp.,ID00588,ID00589,0.305705083,ID00594,0.537824472,ID00591,0.879032809,0.728,0.924,0.838,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
Ceratium_sp.,ID00589,ID00594,0.360731429,ID00540,0.522225784,ID00590,0.835740688,0.886,0.266,0.792,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ditylum ,FALSE
