real.identity,ID,sample.eu,sample.eu.val,sample.ieu,sample.ieu.val,sample.cos,sample.cos.val,bt.species.eu.score,bt.species.ieu.score,bt.species.cos.score,reference,species.cos,hits.cos,species.eu,hits.eu,species.ieu,hits.ieu
Chaetoceros_diadema,ID00440,ID00441,0.445781997,ID00443,0.716990441,ID00443,0.963800121,1,1,0.722,diadema,diadema,TRUE,diadema,TRUE,diadema,TRUE
Chaetoceros_diadema,ID00441,ID00444,0.453765534,ID00440,0.713827623,ID00440,0.952018446,1,1,0.836,diadema,diadema,TRUE,diadema,TRUE,diadema,TRUE
Chaetoceros_diadema,ID00442,ID00443,0.468610307,ID00443,0.667629775,ID00443,0.903259257,1,0.998,0.706,diadema,diadema,TRUE,diadema,TRUE,diadema,TRUE
Chaetoceros_diadema,ID00443,ID00442,0.468610307,ID00440,0.716990441,ID00440,0.963800121,1,0.998,0.654,diadema,diadema,TRUE,diadema,TRUE,diadema,TRUE
Chaetoceros_diadema,ID00444,ID00441,0.453765534,ID00441,0.705787687,ID00445,0.936910048,0.998,1,0.578,diadema,diadema,TRUE,diadema,TRUE,diadema,TRUE
Chaetoceros_diadema,ID00445,ID00441,0.422160766,ID00444,0.689244336,ID00444,0.936910048,1,0.988,0.648,diadema,diadema,TRUE,diadema,TRUE,diadema,TRUE
Chaetoceros_diadema,ID00446,ID00445,0.354995505,ID00445,0.575592798,ID00719,0.840191914,0.952,0.468,0.358,diadema,granii,FALSE,diadema,TRUE,diadema,TRUE
Chaetoceros_diadema,ID00447,ID00448,0.359158458,ID00450,0.624267285,ID00449,0.901901488,0.974,0.998,0.646,diadema,diadema,TRUE,diadema,TRUE,diadema,TRUE
Chaetoceros_diadema,ID00448,ID00449,0.452950801,ID00449,0.739107531,ID00449,0.953202902,1,1,0.91,diadema,diadema,TRUE,diadema,TRUE,diadema,TRUE
Chaetoceros_diadema,ID00449,ID00448,0.452950801,ID00448,0.739107531,ID00448,0.953202902,1,1,0.818,diadema,diadema,TRUE,diadema,TRUE,diadema,TRUE
Chaetoceros_diadema,ID00450,ID00444,0.411756325,ID00447,0.624267285,ID00449,0.914884457,0.922,0.76,0.58,diadema,diadema,TRUE,diadema,TRUE,diadema,TRUE
Chaetoceros_diadema,ID00451,ID00448,0.361760716,ID00449,0.640892333,ID00449,0.909604131,1,0.99,0.682,diadema,diadema,TRUE,diadema,TRUE,diadema,TRUE
Chaetoceros_diadema,ID00452,ID00453,0.536571487,ID00453,0.713394397,ID00453,0.925726222,1,1,0.906,diadema,diadema,TRUE,diadema,TRUE,diadema,TRUE
Chaetoceros_diadema,ID00453,ID00452,0.536571487,ID00452,0.713394397,ID00452,0.925726222,1,1,0.766,diadema,diadema,TRUE,diadema,TRUE,diadema,TRUE
Chaetoceros_diadema,ID00454,ID00727,0.268060187,ID00727,0.556932539,ID00727,0.770065717,0.83,0.998,0.67,diadema,granii,FALSE,granii,FALSE,granii,FALSE
Chaetoceros_diadema,ID00455,ID00440,0.393560409,ID00440,0.668526999,ID00440,0.911573495,1,1,0.904,diadema,diadema,TRUE,diadema,TRUE,diadema,TRUE
Chaetoceros_didymus,ID00069,ID00070,0.417370571,ID00070,0.781484788,ID00072,0.972526483,0.982,1,0.982,didymus,didymus,TRUE,didymus,TRUE,didymus,TRUE
Chaetoceros_didymus,ID00070,ID00069,0.417370571,ID00069,0.781484788,ID00069,0.970822505,0.998,1,0.96,didymus,didymus,TRUE,didymus,TRUE,didymus,TRUE
Chaetoceros_didymus,ID00071,ID00074,0.311366777,ID00072,0.723296609,ID00072,0.966255502,0.968,1,0.958,didymus,didymus,TRUE,didymus,TRUE,didymus,TRUE
Chaetoceros_didymus,ID00072,ID00074,0.328365607,ID00069,0.735668147,ID00069,0.972526483,0.99,1,0.972,didymus,didymus,TRUE,didymus,TRUE,didymus,TRUE
Chaetoceros_didymus,ID00073,ID00077,0.516004499,ID00076,0.80141286,ID00076,0.981814906,1,1,0.916,didymus,didymus,TRUE,didymus,TRUE,didymus,TRUE
Chaetoceros_didymus,ID00074,ID00077,0.596138441,ID00077,0.818313116,ID00077,0.98836717,1,1,0.966,didymus,didymus,TRUE,didymus,TRUE,didymus,TRUE
Chaetoceros_didymus,ID00075,ID00077,0.383319129,ID00073,0.685414582,ID00078,0.941714363,1,1,0.97,didymus,didymus,TRUE,didymus,TRUE,didymus,TRUE
Chaetoceros_didymus,ID00076,ID00073,0.469975587,ID00073,0.80141286,ID00073,0.981814906,1,1,0.918,didymus,didymus,TRUE,didymus,TRUE,didymus,TRUE
Chaetoceros_didymus,ID00077,ID00074,0.596138441,ID00074,0.818313116,ID00074,0.98836717,1,1,0.97,didymus,didymus,TRUE,didymus,TRUE,didymus,TRUE
Chaetoceros_didymus,ID00078,ID00076,0.417033071,ID00074,0.729680076,ID00076,0.9719829,1,1,0.976,didymus,didymus,TRUE,didymus,TRUE,didymus,TRUE
Chaetoceros_didymus,ID00079,ID00081,0.236664644,ID00081,0.437074634,ID00081,0.690763101,0.968,1,0.758,didymus,didymus,TRUE,didymus,TRUE,didymus,TRUE
Chaetoceros_didymus,ID00080,ID00084,0.236158404,ID00084,0.529268422,ID00084,0.938719375,0.996,0.998,0.7,didymus,didymus,TRUE,didymus,TRUE,didymus,TRUE
Chaetoceros_didymus,ID00081,ID00082,0.366473679,ID00082,0.692733768,ID00072,0.922607576,0.87,1,0.832,didymus,didymus,TRUE,didymus,TRUE,didymus,TRUE
Chaetoceros_didymus,ID00082,ID00081,0.366473679,ID00081,0.692733768,ID00081,0.910472489,1,1,0.85,didymus,didymus,TRUE,didymus,TRUE,didymus,TRUE
Chaetoceros_didymus,ID00083,ID00082,0.277182346,ID00085,0.548170629,ID00085,0.938202851,0.754,0.808,0.736,didymus,didymus,TRUE,didymus,TRUE,didymus,TRUE
Chaetoceros_didymus,ID00084,ID00085,0.417858389,ID00085,0.720990629,ID00085,0.980319055,1,1,0.736,didymus,didymus,TRUE,didymus,TRUE,didymus,TRUE
Chaetoceros_didymus,ID00085,ID00084,0.417858389,ID00084,0.720990629,ID00084,0.980319055,1,1,0.784,didymus,didymus,TRUE,didymus,TRUE,didymus,TRUE
Coscinodiscus _granii,ID00048,ID00017,0.370666781,ID00017,0.613278319,ID00017,0.898634915,0.992,0.99,0.558,granii,radiatus,FALSE,radiatus,FALSE,radiatus,FALSE
Coscinodiscus _granii,ID00049,ID00019,0.349764006,ID00019,0.738316979,ID00019,0.970077818,0.978,1,0.818,granii,radiatus,FALSE,radiatus,FALSE,radiatus,FALSE
Coscinodiscus _granii,ID00050,ID00420,0.28902783,ID00020,0.514161201,ID00020,0.784313015,0.896,0.42,0.584,granii,radiatus,FALSE,punctigera,FALSE,radiatus,FALSE
Coscinodiscus _granii,ID00044,ID00046,0.410682131,ID00046,0.573635506,ID00045,0.951351628,0.734,0.822,0.66,granii,granii,TRUE,granii,TRUE,granii,TRUE
Coscinodiscus _granii,ID00045,ID00771,0.41751303,ID00047,0.694595482,ID00047,0.957548166,0.842,1,0.76,granii,granii,TRUE,wailesii,FALSE,granii,TRUE
Coscinodiscus _granii,ID00046,ID00047,0.621008915,ID00047,0.820768659,ID00047,0.993512512,1,1,0.704,granii,granii,TRUE,granii,TRUE,granii,TRUE
Coscinodiscus _granii,ID00047,ID00046,0.621008915,ID00046,0.820768659,ID00046,0.993512512,1,1,0.706,granii,granii,TRUE,granii,TRUE,granii,TRUE
Coscinodiscus _granii,ID00734,ID00721,0.278357321,ID00716,0.521389941,ID00716,0.786879052,0.754,0.718,0.586,granii,granii,TRUE,granii,TRUE,granii,TRUE
Coscinodiscus _granii,ID00735,ID00715,0.347068057,ID00718,0.655577121,ID00718,0.965366598,1,0.724,0.408,granii,granii,TRUE,granii,TRUE,granii,TRUE
Coscinodiscus _granii,ID00736,ID00720,0.340455903,ID00717,0.636809195,ID00718,0.949885383,0.98,0.952,0.59,granii,granii,TRUE,granii,TRUE,granii,TRUE
Coscinodiscus _granii,ID00737,ID00738,0.473014906,ID00476,0.64783773,ID00476,0.924854916,1,0.376,0.442,granii,radiatus,FALSE,granii,TRUE,radiatus,FALSE
Coscinodiscus _granii,ID00738,ID00737,0.473014906,ID00740,0.646191973,ID00740,0.949563357,1,0.914,0.438,granii,granii,TRUE,granii,TRUE,granii,TRUE
Coscinodiscus _granii,ID00739,ID00737,0.443143772,ID00740,0.654598048,ID00740,0.933634375,1,1,0.608,granii,granii,TRUE,granii,TRUE,granii,TRUE
Coscinodiscus _granii,ID00740,ID00739,0.439830925,ID00739,0.654598048,ID00738,0.949563357,1,1,0.43,granii,granii,TRUE,granii,TRUE,granii,TRUE
Coscinodiscus _granii,ID00741,ID00743,0.373952506,ID00725,0.59426956,ID00742,0.799070491,1,0.974,0.634,granii,granii,TRUE,granii,TRUE,granii,TRUE
Coscinodiscus _granii,ID00742,ID00730,0.399224283,ID00726,0.598560023,ID00726,0.846385331,0.79,0.944,0.71,granii,granii,TRUE,granii,TRUE,granii,TRUE
Coscinodiscus _granii,ID00743,ID00741,0.373952506,ID00744,0.605724216,ID00744,0.881520326,0.998,1,0.782,granii,granii,TRUE,granii,TRUE,granii,TRUE
Coscinodiscus _granii,ID00744,ID00743,0.369441455,ID00743,0.605724216,ID00743,0.881520326,0.994,0.868,0.642,granii,granii,TRUE,granii,TRUE,granii,TRUE
Coscinodiscus _granii,ID00745,ID00736,0.311050488,ID00718,0.622212987,ID00718,0.948505152,1,1,0.77,granii,granii,TRUE,granii,TRUE,granii,TRUE
Coscinodiscus _granii,ID00746,ID00737,0.406584814,ID00737,0.634823016,ID00740,0.930519254,1,1,0.678,granii,granii,TRUE,granii,TRUE,granii,TRUE
Coscinodiscus _granii,ID00714,ID00771,0.272182162,ID00474,0.499694688,ID00764,0.911152775,0.818,0.676,0.502,granii,wailesii,FALSE,wailesii,FALSE,radiatus,FALSE
Coscinodiscus _granii,ID00715,ID00717,0.45534794,ID00717,0.67801861,ID00718,0.963399095,0.99,0.99,0.662,granii,granii,TRUE,granii,TRUE,granii,TRUE
Coscinodiscus _granii,ID00716,ID00715,0.371918481,ID00720,0.630559234,ID00721,0.903149461,0.998,1,0.66,granii,granii,TRUE,granii,TRUE,granii,TRUE
Coscinodiscus _granii,ID00717,ID00718,0.45838159,ID00718,0.719286999,ID00718,0.969479589,0.822,0.998,0.7,granii,granii,TRUE,granii,TRUE,granii,TRUE
Coscinodiscus _granii,ID00718,ID00717,0.45838159,ID00717,0.719286999,ID00717,0.969479589,0.992,0.862,0.578,granii,granii,TRUE,granii,TRUE,granii,TRUE
Coscinodiscus _granii,ID00719,ID00478,0.465331607,ID00478,0.685117696,ID00722,0.937876351,0.994,0.776,0.532,granii,granii,TRUE,radiatus,FALSE,radiatus,FALSE
Coscinodiscus _granii,ID00720,ID00716,0.366163293,ID00716,0.630559234,ID00715,0.925378538,0.926,0.922,0.746,granii,granii,TRUE,granii,TRUE,granii,TRUE
Coscinodiscus _granii,ID00721,ID00734,0.278357321,ID00716,0.577951923,ID00716,0.903149461,0.994,1,0.91,granii,granii,TRUE,granii,TRUE,granii,TRUE
