real.identity,ID,sample.eu,sample.eu.val,sample.ieu,sample.ieu.val,sample.cos,sample.cos.val,bt.genus.eu.score,bt.genus.ieu.score,bt.genus.cos.score,reference,genus.cos,hits.cos,genus.eu,hits.eu,genus.ieu,hits.ieu
Ceratium_sp.,ID00232,ID00233,0.080779905,ID00233,0.186099144,ID00591,0.415329121,0.67,0.87,0.942,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
Ceratium_sp.,ID00233,ID00234,0.153456896,ID00234,0.251908536,ID00234,0.346430662,0.822,0.756,0.766,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
Ceratium_sp.,ID00234,ID00233,0.153456896,ID00233,0.251908536,ID00233,0.346430662,0.952,0.91,0.906,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
Ceratium_sp.,ID00235,ID00591,0.054223073,ID00238,0.208561311,ID00238,0.466127819,0.748,0.788,0.844,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
Ceratium_sp.,ID00236,ID00234,0.125881734,ID00234,0.233533372,ID00234,0.305537639,0.564,0.594,0.634,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
Ceratium_sp.,ID00237,ID00254,0.168174557,ID00254,0.293179948,ID00254,0.394178907,0.884,0.778,0.574,Ceratium,Chaetoceros,FALSE,Chaetoceros,FALSE,Chaetoceros,FALSE
Ceratium_sp.,ID00238,ID00242,0.159936939,ID00240,0.323858301,ID00240,0.580163244,0.94,0.984,0.988,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
Ceratium_sp.,ID00239,ID00051,0.054031167,ID00233,0.156013923,ID00235,0.348807206,0.74,0.944,0.742,Ceratium,Ceratium,TRUE,Coscinodiscus ,FALSE,Ceratium,TRUE
Ceratium_sp.,ID00240,ID00242,0.1934894,ID00242,0.331869002,ID00238,0.580163244,0.9,0.866,0.926,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
Ceratium_sp.,ID00241,ID00242,0.132935726,ID00242,0.241920586,ID00242,0.344134479,0.998,0.998,0.974,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
Ceratium_sp.,ID00242,ID00240,0.1934894,ID00240,0.331869002,ID00240,0.485656733,1,1,1,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
Ceratium_sp.,ID00582,ID00539,0.178015918,ID00591,0.390915684,ID00591,0.814858883,0.288,0.558,0.73,Ceratium,Ceratium,TRUE,Ditylum ,FALSE,Ceratium,TRUE
Ceratium_sp.,ID00583,ID00566,0.192636023,ID00603,0.414016101,ID00611,0.732406833,0.528,0.62,0.266,Ceratium,Coscinodiscus ,FALSE,Chaetoceros,FALSE,Coscinodiscus ,FALSE
Ceratium_sp.,ID00584,ID00625,0.20236713,ID00590,0.516916524,ID00590,0.955085709,0.508,0.764,0.684,Ceratium,Ceratium,TRUE,Coscinodiscus ,FALSE,Ceratium,TRUE
Ceratium_sp.,ID00585,ID00591,0.232766925,ID00591,0.57245176,ID00591,0.92404626,0.952,1,0.922,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
Ceratium_sp.,ID00586,ID00587,0.311176493,ID00587,0.471629141,ID00587,0.638197351,1,1,1,Ceratium,Ceratium,TRUE,Ceratium,TRUE,Ceratium,TRUE
