ID,Genus,Species,Strain,Sampling.site,Sampling.date,Analysis.date,Polarity,Medium,Strain.available
ID00210,Ceratium,sp.,G-P-9-6,Greece,5.2018,17.05.2018,positive,f/2,TRUE
ID00211,Ceratium,sp.,G-P-9-6,Greece,5.2018,17.05.2018,positive,f/2,TRUE
ID00212,Ceratium,sp.,G-P-9-6,Greece,5.2018,17.05.2018,positive,f/2,TRUE
ID00213,Ceratium,sp.,G-P-9-6,Greece,5.2018,17.05.2018,positive,f/2,TRUE
ID00214,Ceratium,sp.,G-P-9-6,Greece,5.2018,17.05.2018,positive,f/2,TRUE
ID00215,Ceratium,sp.,G-P-9-6,Greece,5.2018,17.05.2018,positive,f/2,TRUE
ID00216,Ceratium,sp.,G-P-9-6,Greece,5.2018,17.05.2018,positive,f/2,TRUE
ID00217,Ceratium,sp.,G-P-9-6,Greece,5.2018,17.05.2018,positive,f/2,TRUE
ID00218,Ceratium,sp.,G-P-9-6,Greece,5.2018,05.07.2018,positive,f/2,TRUE
ID00219,Ceratium,sp.,G-P-9-6,Greece,5.2018,05.07.2018,positive,f/2,TRUE
ID00220,Ceratium,sp.,G-P-9-6,Greece,5.2018,05.07.2018,positive,f/2,TRUE
ID00221,Ceratium,sp.,G-P-9-6,Greece,5.2018,05.07.2018,positive,f/2,TRUE
ID00222,Ceratium,sp.,G-P-9-6,Greece,5.2018,05.07.2018,positive,f/2,TRUE
ID00223,Ceratium,sp.,G-P-9-6,Greece,5.2018,05.07.2018,positive,f/2,TRUE
ID00224,Ceratium,sp.,G-P-9-6,Greece,5.2018,05.07.2018,positive,f/2,TRUE
ID00225,Ceratium,sp.,G-P-9-6,Greece,5.2018,05.07.2018,positive,f/2,TRUE
ID00226,Ceratium,sp.,G-P-9-6,Greece,5.2018,05.07.2018,positive,f/2,TRUE
ID00227,Ceratium,sp.,G-P-9-6,Greece,5.2018,05.07.2018,positive,f/2,TRUE
ID00691,Ceratium,sp.,G-P9-6,Greece,5.2018,14.03.2019,positive,f/2,TRUE
ID00692,Ceratium,sp.,G-P9-6,Greece,5.2018,14.03.2019,positive,f/2,TRUE
ID00693,Ceratium,sp.,G-P9-6,Greece,5.2018,14.03.2019,positive,f/2,TRUE
ID00694,Ceratium,sp.,G-P9-6,Greece,5.2018,14.03.2019,positive,f/2,TRUE
ID00695,Ceratium,sp.,G-P9-6,Greece,5.2018,14.03.2019,positive,f/2,TRUE
ID00696,Ceratium,sp.,G-P9-6,Greece,5.2018,14.03.2019,positive,f/2,TRUE
ID00697,Ceratium,sp.,G-P9-6,Greece,5.2018,14.03.2019,positive,f/2,TRUE
ID00698,Ceratium,sp.,G-P9-6,Greece,5.2018,14.03.2019,positive,f/2,TRUE
ID00699,Ceratium,sp.,G-P9-6,Greece,5.2018,14.03.2019,positive,f/2,TRUE
ID00700,Ceratium,sp.,G-P9-6,Greece,5.2018,14.03.2019,positive,f/2,TRUE
ID00701,Ceratium,sp.,G-P9-6,Greece,5.2018,14.03.2019,positive,f/2,TRUE
ID00702,Ceratium,sp.,G-P9-6,Greece,5.2018,14.03.2019,positive,f/2,TRUE
ID00703,Ceratium,sp.,G-P9-6,Greece,5.2018,14.03.2019,positive,f/2,TRUE
ID00704,Ceratium,sp.,G-P9-6,Greece,5.2018,14.03.2019,positive,f/2,TRUE
ID00705,Ceratium,sp.,G-P9-6,Greece,5.2018,14.03.2019,positive,f/2,TRUE
ID00706,Ceratium,sp.,G-P9-6,Greece,5.2018,14.03.2019,positive,f/2,TRUE
ID00707,Ceratium,sp.,G-P9-6,Greece,5.2018,14.03.2019,positive,f/2,TRUE
ID00708,Ceratium,sp.,G-P9-6,Greece,5.2018,14.03.2019,positive,f/2,TRUE
ID00709,Ceratium,sp.,G-P9-6,Greece,5.2018,14.03.2019,positive,f/2,TRUE
