"m.z","int"
104.92713,11
111.04432,18
113.05998,11
116.07903,55
119.91444,12
123.94575,20
124.98364,16
127.03939,14
127.07582,82
130.09483,69
131.07077,26
135.04455,72
141.09155,78
145.0501,39
145.06129,14
145.08646,26
146.04539,12
149.06028,12
150.00142,20
151.07593,15
152.03482,24
153.09153,62
155.07089,21
155.10719,90
159.06574,21
159.10214,48
163.07602,30
165.09148,13
168.89897,40
169.08652,132
171.13658,24
172.10546,16
173.08137,26
173.11769,22
177.09159,32
179.10283,72
181.08654,23
183.10206,52
183.886,12
183.91262,11
184.8939,30
185.06035,15
185.08139,60
185.90169,29
187.09709,29
187.13336,14
191.10726,36
193.86018,22
195.10227,20
195.13847,17
197.08145,30
197.11771,14
199.09707,18
199.13355,57
201.11282,15
205.12295,18
209.11791,20
209.15431,13
211.13365,30
211.16985,60
212.87859,39
213.14916,52
214.18903,41
219.175,24
223.02795,22
223.13363,13
223.16999,11
225.00714,16
225.18553,41
227.16474,14
227.19905,15
234.15749,28
239.05919,17
239.12867,13
239.20125,45
241.18056,47
241.21388,12
242.22023,90
247.17025,48
247.85774,15
249.18583,46
250.14471,34
250.15737,12
251.20139,67
253.21713,125
257.17557,20
266.86055,12
267.19633,35
269.21232,87
271.22791,14
273.82707,12
274.83479,14
278.88425,21
281.24857,14
282.85544,15
283.80118,21
284.26745,17
297.04714,12
301.21742,414
302.22068,61
315.1966,15
317.21232,21
318.87679,16
333.20707,14
362.82197,17
481.25713,66
483.27321,168
484.27621,27
519.23647,11
521.25264,12
527.25293,30
591.26193,19
726.45584,25
729.43542,19
737.4522,27
751.41952,28
767.48755,44
768.49064,16
770.9708,15
770.98857,11
771.01522,17
771.03299,28
771.05203,21
771.06345,19
771.08122,25
771.1028,17
771.11677,16
771.13454,13
771.14216,13
800.47162,11
803.45115,29
804.45389,11
