"m.z","int"
113.01369,16
115.02941,25
117.01852,12
117.95437,45
119.95144,11
121.02729,15
122.97501,67
123.0444,19
124.98362,50
126.903,16
126.98797,12
129.00373,127
131.03434,46
135.92064,35
137.03506,14
138.9203,14
139.02238,11
139.02957,51
140.91738,12
141.999,17
142.94984,41
143.99084,20
144.04484,17
145.94959,24
147.01133,16
147.97077,12
149.97902,26
151.07586,25
152.93606,16
152.97868,30
153.0551,17
153.99904,35
154.01162,27
154.89802,13
156.99868,139
157.01128,27
157.05001,28
159.96513,28
162.96488,13
163.02965,20
164.98043,28
165.04527,22
166.01392,12
166.99432,30
168.02964,13
169.9941,22
171.01439,64
171.13644,37
172.00966,49
189.04526,19
189.97572,31
190.04063,12
192.97549,58
193.08647,14
194.97252,11
195.10203,19
197.00498,36
200.00464,42
200.92135,28
201.02506,128
203.00422,11
206.9912,33
208.95294,21
208.98231,12
209.01205,36
213.11273,24
214.0203,17
225.00695,64
230.15176,15
231.13858,34
232.96136,22
234.9889,15
237.00171,163
238.99887,38
241.00186,27
241.21383,18
244.03095,28
247.03071,39
253.14435,14
255.22976,60
258.99634,21
261.04633,13
266.97089,11
267.19654,52
270.21544,11
271.22764,52
279.1598,13
279.23254,12
282.24369,12
283.04912,53
288.23025,14
291.05706,77
294.96054,24
296.95787,11
299.04392,54
301.2171,23
301.23849,13
309.2799,12
319.19147,22
323.25885,20
325.27463,13
333.20703,18
334.23601,22
334.90975,14
337.21511,21
347.24349,12
360.25146,31
362.26727,97
363.23064,66
365.22768,18
365.24631,254
366.24984,24
367.24333,48
373.2597,52
375.27505,133
376.27825,17
389.29066,26
391.27034,20
394.88887,16
415.27011,11
417.2857,100
418.28912,14
419.30124,324
420.30479,35
481.25701,24
483.27248,28
503.20877,11
517.22454,24
525.23716,21
527.25326,256
528.25595,34
547.27115,29
553.26913,22
555.28443,143
556.28805,21
557.4785,17
563.26651,16
583.49458,22
585.21134,18
591.26129,97
592.26406,20
607.25571,12
609.39318,35
615.21008,19
627.23902,13
629.22648,14
639.26763,11
657.41636,21
658.42483,63
659.42759,11
663.44846,46
681.29382,34
693.39308,61
694.39653,18
699.23168,17
703.26317,11
703.42241,43
704.42554,17
737.45058,43
738.45364,19
747.448,150
748.45211,47
764.61143,11
765.71189,13
765.72445,14
765.74203,16
765.7659,23
765.78977,13
765.79731,16
765.8149,14
765.84631,13
765.85385,13
765.86139,11
765.87521,14
924.52593,20
925.52835,11
927.50458,74
928.50681,28
929.49891,14
930.50437,16
937.53238,33
938.53558,17
981.56079,129
982.56427,78
983.5693,17
