"m.z","int"
101.02338,16
111.08068,14
117.01865,11
122.97487,14
129.00382,154
131.03445,29
132.98384,16
137.03522,11
144.95427,12
150.00851,16
156.99872,35
171.00569,21
171.0147,49
186.12115,13
193.08673,11
198.15751,11
201.02541,77
204.11499,22
205.08661,12
208.98311,11
211.03709,46
213.11266,11
225.00698,206
235.13325,12
241.00205,18
243.01799,11
243.22295,11
249.18543,35
251.14839,14
253.8093,182
277.21288,84
283.04976,293
288.2298,18
297.24347,16
299.04415,199
301.21797,224
302.22094,12
306.20706,13
321.17416,24
321.67568,11
322.1825,68
328.76422,24
330.76226,32
335.18996,50
357.00312,12
411.05671,23
437.21113,19
479.319,24
509.24444,27
527.2532,32
529.25712,24
549.2348,28
553.27084,11
691.43531,35
693.37094,14
735.43741,19
737.45162,832
738.45469,286
739.45504,40
761.45387,231
762.4564,44
763.46591,764
764.47241,264
765.47086,760
766.42095,39
766.4763,314
766.55179,21
766.59205,14
767.47868,234
768.47798,40
769.48935,84
770.49258,13
782.21879,11
785.4505,314
786.45373,71
787.46413,14
789.48551,53
791.49884,563
792.5031,221
793.50398,14
795.41034,14
800.47219,73
801.47744,35
802.48459,24
803.45043,350
804.45589,98
805.46866,135
806.46705,17
813.48053,146
814.48283,49
815.49251,31
816.49854,14
821.42269,12
827.49116,17
829.51005,18
849.45391,13
857.50708,309
858.50835,127
859.52333,177
860.52813,38
933.55608,11
969.53454,18
