"m.z","int"
110.92516,11
111.04432,25
116.07903,69
117.95438,22
118.94131,47
122.97505,19
124.98365,25
124.99069,23
125.09647,14
127.07575,36
129.00373,41
130.05844,12
130.09476,49
131.0707,26
132.88564,25
132.98368,21
135.04457,50
136.93945,21
136.94905,37
141.09158,65
144.07411,17
145.05014,21
145.0864,22
149.06021,22
151.93611,15
152.03475,15
152.99527,52
153.09147,25
154.01749,14
154.90565,17
154.91525,17
154.92771,29
155.07083,28
155.10724,99
159.10208,18
163.07596,21
169.08646,116
171.00586,69
173.08132,27
176.90015,28
177.09154,23
179.10278,44
179.10719,13
183.10216,44
185.08135,32
187.09705,12
191.10738,12
195.13859,15
197.08142,22
199.09704,12
199.13352,40
205.15933,731
206.16262,77
209.11771,16
211.03727,50
211.13345,59
211.16983,23
213.14914,46
214.18883,50
218.13073,14
223.02794,51
225.00713,74
225.18552,33
227.19905,17
234.1575,27
234.85879,16
239.20125,22
241.00192,29
242.22024,61
247.17003,71
249.18585,17
250.14449,32
250.15716,33
251.20141,28
253.21691,87
266.80374,12
268.80092,23
269.21237,14
270.79814,17
283.04936,109
297.04692,111
299.04435,81
301.2172,71
330.04482,30
371.06583,59
549.23473,16
719.48715,19
723.38377,11
737.45226,29
761.45162,60
763.46737,102
764.47135,38
765.4723,113
766.47521,40
767.47505,33
768.47811,21
770.23408,11
770.25056,15
770.26703,28
770.28604,11
770.30759,11
770.31773,17
770.33167,24
770.34055,17
770.35576,18
770.37604,17
785.45164,28
786.45486,15
791.49857,41
803.4513,43
804.45404,18
866.37016,20
883.52726,13
