"m.z","int"
129.00348,20
132.98348,12
145.06107,12
155.00123,90
158.92464,90
167.01264,16
174.0318,163
176.92572,13
176.93521,19
180.90658,64
196.88084,11
198.15727,17
198.91752,199
200.93259,37
214.8911,29
216.92766,60
225.00661,140
230.85457,12
232.87064,11
232.90182,11
238.89063,13
240.20417,26
241.00159,26
247.8582,17
249.18585,40
251.14787,36
266.8606,22
276.84699,27
278.8845,31
279.23272,45
282.25121,14
282.85491,30
283.04904,151
288.94985,17
294.84854,22
298.82883,16
299.04455,126
300.86659,152
301.21713,1141
302.22009,204
310.82192,12
316.84013,98
317.05422,35
318.87743,12
328.76459,12
332.81348,23
333.20979,13
341.20766,23
348.19755,43
349.20587,14
355.22338,97
355.72561,12
362.21377,53
362.71453,14
362.82103,36
363.22125,59
363.72245,16
378.79598,22
380.83217,15
384.80372,16
395.81794,17
400.77733,18
402.81521,44
418.78904,34
434.76323,11
464.77003,14
482.78188,12
483.26019,25
519.23798,27
527.25316,279
528.25657,30
549.23469,23
552.83892,12
555.28527,155
658.42357,18
705.40529,18
719.38708,16
721.39999,13
733.43533,32
735.43658,260
736.44027,75
737.45078,422
738.45384,189
739.45896,20
747.41433,36
749.43419,39
761.45291,28
763.46994,316
764.47143,114
765.4749,48
767.48778,243
767.95186,28
768.00738,39
768.48709,59
769.48835,30
791.49773,279
792.50199,88
793.50286,13
800.47103,30
801.47628,14
803.44926,97
804.45471,27
805.46206,18
811.46929,24
813.4738,11
814.47609,14
827.49551,16
839.50136,158
840.50592,61
857.50562,39
940.0066,11
