"m.z","int"
101.02344,15
102.0553,18
109.02419,20
111.00803,35
111.01919,17
111.08073,14
113.09633,12
116.07098,36
117.00364,48
117.01849,17
117.95449,14
119.04948,28
119.94075,12
120.95396,19
121.02726,42
122.97506,60
122.98452,30
123.04437,14
124.01583,12
124.98367,29
126.9881,26
128.03473,54
128.07914,13
129.0037,146
129.01873,22
129.05375,11
130.08682,13
131.03431,108
132.02968,44
132.98377,11
134.91545,72
134.96991,12
136.94908,78
136.9909,18
137.03502,35
137.94029,11
138.87406,16
138.92045,39
138.93715,19
139.02244,30
139.03944,15
139.0759,54
140.87193,19
140.91744,19
141.12792,38
141.99906,21
142.09481,11
142.99804,49
143.03444,20
144.95429,50
145.06133,99
145.11137,11
145.94944,12
146.04545,533
146.0534,14
147.01128,13
147.04881,15
147.97073,35
148.0524,25
148.94908,12
150.85918,12
151.07582,23
151.92674,24
152.91707,30
152.98581,13
152.99535,772
153.05516,16
154.01406,31
154.01746,1284
154.91523,56
154.91831,110
154.9278,123
155.00145,4303
155.02079,21
155.90519,12
156.00091,22
156.00483,82
156.01327,28
156.90164,112
156.90991,12
156.91143,11
156.91528,23
156.92471,22
156.99723,155
156.99874,55
157.00563,21
157.05007,55
157.90227,13
157.90356,107
158.8986,25
158.90026,136
159.01433,19
159.02919,12
159.12708,27
159.12946,26
159.84471,48
159.96519,13
160.84162,180
161.84178,49
161.94436,11
162.8386,166
162.96482,12
164.83561,37
164.93452,16
164.94394,21
164.9565,11
164.9805,17
165.05515,13
166.01411,22
166.03986,14
166.05039,11
166.99438,12
167.01268,329
167.03431,14
168.02739,17
168.02971,37
168.99887,40
170.08987,21
171.00585,303
171.01446,49
171.13664,232
172.879,12
172.9162,55
173.14276,22
175.02432,709
176.02771,40
177.06629,14
178.89611,97
178.95968,36
178.97217,18
180.89312,15
180.90697,21
180.93106,14
183.00417,27
183.06568,20
183.95008,31
185.94699,12
186.12119,40
186.85026,27
188.84732,49
188.89395,18
188.93844,14
189.0401,111
190.84452,15
191.01939,205
191.05571,17
191.07089,13
192.02269,11
192.87421,54
192.97541,24
193.08639,21
198.0847,11
198.15761,13
198.90488,23
198.91752,42
200.92144,21
200.93309,15
201.02498,23
202.1205,37
203.99148,98
204.00409,117
204.11504,18
204.82502,85
205.9886,22
206.00105,29
206.82208,27
208.96091,20
208.97344,1116
208.98276,111
208.98544,11
209.97675,21
209.99406,36
210.95405,47
210.96912,23
211.03727,102
211.09708,17
211.97624,161
211.99124,22
212.94765,44
212.95115,16
212.96018,263
213.00127,19
213.01657,23
213.11281,34
213.97325,35
214.83611,35
214.95732,65
215.03245,198
215.16467,18
215.86224,44
217.02949,60
224.97143,20
225.00704,196
225.9861,51
226.99609,1433
227.03238,42
227.98306,13
227.99939,62
228.99313,371
229.04799,34
229.99648,11
230.15186,136
230.94277,69
230.99937,94
233.15192,18
234.85665,14
235.13365,14
237.00181,44
238.89102,28
239.16488,19
239.87912,23
240.87448,15
240.87603,29
241.00197,49
241.01173,33
241.21415,53
242.90249,108
243.01767,32
243.22353,15
244.16762,12
244.89986,12
244.93758,132
245.04284,609
245.8101,27
246.04628,14
246.93486,34
247.94047,28
248.92452,37
249.18573,78
249.80417,41
249.82968,12
249.93764,15
250.83303,68
250.9216,14
251.14797,22
252.20486,45
252.79763,16
252.83028,47
253.14422,12
253.2142,60
254.85607,80
255.22382,33
255.22987,93
256.88312,16
257.22738,83
258.8801,13
258.90381,13
258.99448,24
259.0224,12
260.91521,29
262.86902,42
264.16035,11
264.80652,56
265.21703,11
266.77819,32
266.91981,154
267.01265,17
267.1964,52
268.917,41
268.92955,80
269.93532,32
270.91924,48
270.94779,198
271.22775,34
271.82404,35
271.9487,16
272.19906,65
272.91613,26
272.945,72
273.01024,27
273.18602,38
273.82129,40
273.96721,11
275.20157,30
276.81499,11
276.84721,19
277.21735,18
277.87058,15
279.23294,34
279.86777,19
280.97634,12
282.89741,17
283.04924,253
283.15514,41
283.22775,14
285.02844,33
285.16029,58
285.19198,19
285.94211,16
288.23038,22
288.91421,41
289.1939,120
290.19714,11
290.79506,14
291.19117,25
291.20973,34
292.07221,12
297.24339,21
298.80904,15
298.83476,70
298.86447,110
299.04405,238
299.2017,29
301.21723,14701
301.23831,23
301.8623,11
302.22081,2940
303.00196,65
303.02072,49
303.22409,238
303.23285,110
304.99891,15
306.07669,48
306.78745,16
307.763,28
308.78469,22
308.79177,35
309.76009,11
310.78916,34
311.17606,86
311.18647,104
311.20762,29
311.29552,16
312.78631,11
312.81517,52
313.19173,15
314.84218,14
315.19653,52
316.8388,12
317.0549,124
317.21226,226
318.21544,30
319.22812,57
320.7392,25
320.82913,77
320.85877,13
321.12437,60
322.85589,11
323.12156,47
324.73671,34
324.87865,96
325.00297,23
326.87563,58
327.23295,111
327.89371,15
328.76382,11
328.878,31
328.90629,128
329.24852,198
329.78293,20
329.89089,13
330.25209,31
330.76184,19
330.87492,14
330.90347,84
330.92488,34
