"m.z","int"
102.05528,79
102.06329,24
107.04945,73
107.94402,20
108.90118,8
109.02869,30
109.06501,6
110.89824,12
110.92525,64
111.00799,9
111.01923,40
111.04434,179
112.92229,36
113.01376,44
113.02366,28
113.03491,19
113.06,66
113.99779,9
114.03416,37
114.97535,35
115.00306,15
115.02946,87
116.04266,53
116.07905,277
117.00362,6
117.0199,88
117.03386,55
117.05496,55
117.95447,177
118.02908,23
118.0503,18
118.94133,2192
118.95525,13
119.04953,156
119.95153,31
120.93711,59
120.95399,62
121.02728,17
121.06518,22
122.02403,13
122.03665,52
122.97507,96
122.98452,20
123.00814,13
123.04446,31
123.0808,10
124.01591,11
124.98367,182
125.02377,23
125.03504,9
125.06016,57
125.09657,123
125.91252,20
125.9845,11
126.90311,17
126.90439,7743
126.98121,10
126.98816,55
127.03942,53
127.05071,132
127.07585,296
127.1122,22
127.90947,9
127.95125,7
128.03478,337
129.00374,113
129.03814,6
129.04518,10
129.89233,288
130.05845,72
130.08677,20
130.09486,295
131.03433,24
131.04572,62
131.0708,166
131.08201,11
131.88941,302
131.99085,8
132.02969,150
132.88583,860
132.9417,51
132.98378,55
133.06528,33
133.88651,72
133.93217,13
134.0242,6
134.04674,65
134.06063,6
134.88331,64
134.91545,172
134.93877,9
134.9726,15
134.97511,9
135.02942,14
135.04458,360
135.08097,9
135.88358,7
135.92077,149
135.94125,15
136.01608,28
136.05239,50
136.87697,13
136.91714,49
136.93956,85
136.94906,140
136.9521,80
136.96407,6
136.99097,70
137.01397,18
137.02386,93
137.03508,21
137.06029,17
137.09673,12
137.91778,61
137.94986,6
138.03443,15
138.87499,10
138.92031,67
138.93711,6
138.94662,9
138.95206,34
138.97964,6
139.02249,27
139.02968,109
139.0395,11
139.05077,8
139.07595,53
139.11232,9
139.92106,6
139.97091,44
140.02493,8
140.05008,18
140.91728,13
140.96132,7
141.0453,21
141.05523,47
141.09159,423
142.09494,10
142.89937,7
142.94991,189
142.99816,23
143.02452,9
143.03456,15
143.94626,19
143.95076,15
143.99091,38
144.04501,53
144.07422,37
144.86918,259
144.94695,40
144.9544,23
145.05015,195
145.06144,1790
145.08651,161
145.0978,28
145.11148,9
145.94943,54
146.02431,39
146.04544,2099
146.05852,8
146.0648,74
146.86629,296
146.97006,130
146.98253,207
147.04467,15
147.0489,102
147.97092,26
148.0497,11
148.05248,12
148.86211,7
148.8633,76
148.9193,13
148.96704,28
148.97955,34
148.99076,28
149.02386,26
149.06033,124
149.09669,59
149.95976,20
149.97903,101
150.00136,113
150.00866,14
150.04167,14
150.06815,10
150.88615,29
150.96761,6
150.97981,16
151.07598,94
151.89826,7
151.92668,11
151.93622,81
151.94866,9
152.03487,131
152.88326,30
152.93606,15
152.93886,13
152.98585,16
152.99539,4371
153.04533,6
153.0552,16
153.06643,11
153.09158,274
153.12797,6
153.93922,10
153.99903,103
154.01172,21
154.0175,7610
154.06306,6
154.89788,9
154.90576,738
154.91525,238
154.91834,28
154.92783,447
154.93594,6
154.94703,1268
155.00148,8527
155.0144,14
155.01681,39
155.02081,236
155.07094,161
155.08216,32
155.10724,417
155.90659,54
155.91594,7
155.94653,89
156.00092,40
156.00496,231
156.0134,290
156.02183,45
156.1106,6
156.90153,18
156.90282,144
156.91225,42
156.91517,6
156.92484,126
156.93591,164
156.94372,62
