"m.z","int"
123.02304,26
131.95292,100
133.00732,41
135.02294,40
137.0385,49
138.03373,16
139.01778,226
139.02905,79
144.98175,12
153.03341,30
157.08323,14
158.98957,39
165.03343,14
166.9707,31
167.04913,15
169.02836,38
170.97522,20
171.026,54
173.00528,14
177.03342,22
178.96838,14
179.04903,20
181.02819,65
184.98135,93
191.04898,15
193.02829,29
195.04385,17
195.08035,26
198.95489,29
198.99699,110
208.98133,40
218.9687,18
222.99684,29
223.03869,11
229.00755,41
234.96346,13
240.96551,12
244.96057,30
258.97608,67
260.93728,15
262.97115,37
276.93208,11
288.98659,11
304.93929,56
318.9551,93
348.96514,11
364.91849,35
378.93376,43
421.1286,11
423.14468,11
437.15957,16
438.91289,14
439.17577,13
451.13963,25
452.1468,33
453.15047,15
456.88136,75
465.15462,12
466.16256,28
467.17079,120
468.17389,16
468.17869,12
481.18613,87
482.18953,17
482.19392,38
483.18347,12
492.90283,22
497.18108,19
498.1888,17
513.21279,26
526.18415,27
536.43658,30
537.43972,15
540.19949,25
541.20723,55
542.21106,17
552.43097,12
552.88155,25
555.2234,49
556.2276,11
559.2182,19
566.41089,11
571.21782,18
582.40613,49
583.40898,17
598.40071,12
599.21294,13
613.22811,16
614.23584,263
615.23882,95
616.23337,33
616.24154,18
617.23761,12
629.22316,16
630.23119,14
641.41868,11
657.4142,12
658.42165,155
659.42438,70
660.4274,13
674.41622,17
765.96187,12
765.97192,15
765.98072,15
765.98826,13
766.00711,21
766.01465,24
766.02345,24
766.03225,28
766.05739,17
766.07121,17
766.08253,16
766.11018,12
892.53373,582
893.53679,382
894.53995,105
895.53369,40
908.52803,43
909.53054,19
924.5227,12
