"m.z","int"
102.92583,18
104.90799,13
107.95067,22
115.05431,27
116.98591,13
117.03972,29
117.0699,16
119.01897,251
120.08082,19
121.0165,23
125.96099,148
128.06199,31
130.06505,23
130.93273,17
131.01884,66
132.01966,12
132.13817,19
133.03444,51
133.10105,15
134.99635,23
134.99876,70
135.05011,440
136.05089,35
137.02936,370
137.04762,42
138.03014,36
139.02687,45
142.94788,79
145.03444,57
146.02975,11
147.05003,45
148.00416,29
148.94325,13
148.98938,23
149.02324,90
149.02938,139
149.06574,19
150.03719,204
150.97625,14
151.03797,14
151.04501,38
152.03479,17
153.00684,12
153.00931,441
154.01011,106
155.0068,103
155.10409,61
157.08334,53
159.05004,105
162.99358,19
163.04491,140
164.92028,16
164.92982,50
165.06061,152
165.99221,60
166.01465,34
166.94858,13
167.03993,21
167.97131,25
169.12219,11
170.97532,13
172.95195,15
174.89572,14
174.98501,44
175.045,15
175.08139,60
177.00917,73
177.06056,256
177.09702,113
179.00674,14
179.05814,18
179.07618,23
182.92617,26
184.07307,32
185.11473,26
185.13235,11
187.0813,14
189.06057,21
189.09695,35
190.06846,18
190.96249,23
191.07612,36
191.10399,17
191.11261,861
192.11329,69
192.11597,30
193.04057,11
193.09194,99
193.11023,74
193.11962,12
197.11706,11
199.0449,42
199.16899,61
199.92883,27
205.0919,44
206.09975,113
207.07107,41
207.09014,38
207.10746,27
213.09685,29
215.90114,11
217.09199,56
219.10759,179
221.12313,38
222.05471,32
222.07728,64
227.11246,42
228.06156,11
229.09184,11
231.01123,12
231.10764,43
231.14388,28
233.12314,268
234.12402,12
235.08519,20
235.13883,29
239.1615,471
240.16492,37
242.85961,12
245.07822,20
245.12326,19
246.13106,13
247.13886,53
249.10085,27
249.10318,20
249.15447,21
253.14071,25
255.13561,22
257.15956,105
259.0786,14
261.1435,12
261.15451,45
263.1337,49
271.15405,18
273.15453,39
275.1702,881
276.1709,66
276.17362,79
277.16777,85
277.18555,16
279.15897,115
281.08675,67
285.22103,22
287.20628,12
289.14937,61
289.18552,37
290.15732,117
291.14758,32
299.16979,20
303.16479,59
303.2014,12
305.2107,95
305.21702,59
306.112,24
306.13454,59
307.2263,26
309.24226,23
311.25763,11
313.27337,20
315.20123,18
317.18044,168
325.20075,152
329.02752,15
333.15789,15
337.14915,298
338.15255,28
339.14674,15
345.21183,20
345.24795,11
347.19108,40
359.25762,42
360.26125,12
371.2636,35
379.15956,16
423.14477,17
429.27848,13
438.16858,14
439.17623,14
445.20222,30
447.21716,11
451.13999,51
452.14771,85
453.15539,13
455.32137,15
459.21734,25
460.22534,17
461.3042,19
465.15544,37
466.16278,53
467.171,174
469.16835,18
475.21208,12
481.18619,130
482.19021,29
482.1946,57
483.16589,19
505.23967,11
507.24246,114
507.25533,38
507.2682,21
509.25855,38
511.27434,11
513.21251,27
513.30143,11
514.34267,14
519.23807,40
520.24115,19
526.18372,33
529.24956,16
533.25361,20
536.43677,116
537.4399,43
540.19964,27
541.20737,64
547.26862,18
548.27185,14
548.27717,13
549.24808,13
555.2234,82
559.21816,13
561.29046,31
564.27273,16
582.40583,41
589.42449,13
592.26735,96
593.27522,16
597.48663,18
599.21245,14
607.43522,51
614.23698,282
615.23905,79
615.25624,11
616.2345,16
641.4196,12
658.42242,359
659.42515,137
739.4258,42
739.43772,39
740.42809,15
740.44122,13
741.44079,24
741.45395,22
743.45682,29
743.46883,32
745.4847,14
772.54623,13
772.59206,16
772.5997,21
772.60988,40
772.62516,30
772.63789,35
772.66208,25
772.67227,26
772.68246,23
772.69392,19
772.70792,15
772.73084,13
786.51263,66
787.51655,11
791.45646,311
791.46834,244
791.48154,16
792.45928,158
792.47251,110
793.46269,17
793.47196,59
793.48521,30
794.48791,19
795.48852,13
813.46305,12
851.47613,55
852.4801,30
881.48791,11
892.53343,424
893.5349,237
894.52853,18
894.53963,58
908.52593,11
