"m.z","int"
115.05419,30
120.02335,28
120.08067,6
123.02303,57
128.06182,31
130.06481,48
131.01861,14
133.00731,204
135.00247,14
135.02293,19
137.03849,48
138.03372,18
139.01777,182
139.02904,82
141.06943,12
144.08041,6
144.98184,9
150.03374,6
152.06164,9
153.0334,14
153.06943,7
154.06471,11
155.08519,8
156.08034,10
157.08311,76
157.10085,6
161.03858,6
162.0337,15
165.03343,47
165.06951,18
166.9707,24
167.01266,13
167.03966,37
167.07256,6
168.08029,10
169.02836,217
169.07553,6
169.12194,6
174.03376,9
175.01775,49
177.03342,23
178.96838,10
179.01267,33
179.04903,34
180.08037,16
180.99744,7
181.02834,96
182.09608,10
184.98135,111
189.03338,9
191.04898,28
193.0283,302
193.03958,47
194.09602,17
194.96572,17
195.04402,25
195.08036,25
198.99683,114
201.03349,7
204.08027,7
205.02828,142
206.096,7
207.04398,33
208.98116,47
209.05945,20
209.13205,7
211.03886,24
218.09598,7
219.08036,9
219.09132,6
219.11632,7
220.1115,7
221.05014,31
221.05949,12
222.99685,31
223.03871,257
225.03642,6
229.00756,137
232.1117,7
238.99174,49
244.96059,25
249.09079,39
250.99173,9
251.10657,8
253.00753,49
254.82306,11
256.95779,11
258.97611,65
262.97093,62
265.06065,13
266.98674,7
271.12249,6
272.95548,12
272.99158,6
276.98677,11
281.00244,26
283.01798,28
285.24197,9
286.97079,20
288.98663,69
295.01779,17
298.92662,7
298.97074,18
304.93966,67
311.01271,18
312.98669,17
313.27313,25
314.77845,8
317.22579,10
318.95516,63
325.02825,28
325.23435,23
329.26781,7
331.28361,15
346.29435,10
346.9497,21
348.30992,17
348.9656,51
351.24954,89
353.26529,130
354.26881,12
360.96547,6
361.00735,6
364.91857,26
372.73698,7
374.73385,7
376.9602,18
377.17506,7
378.93385,25
387.15936,6
389.17508,11
390.97595,18
399.25197,7
400.93906,7
401.17523,13
402.1832,11
403.19065,20
404.19852,19
405.2063,20
411.14455,10
415.19075,24
416.19867,16
417.20622,54
418.20983,7
418.21389,18
419.22165,25
420.22948,13
423.14429,20
424.15233,12
425.16033,8
426.16829,6
426.95484,44
427.17564,7
429.16999,18
429.20636,8
430.17743,32
430.21446,14
431.18152,10
431.18524,22
431.22187,51
432.23015,8
433.20135,20
433.2377,20
436.15195,9
437.16025,23
438.16824,10
439.13935,11
439.17591,32
440.14708,12
440.18376,8
441.15499,11
442.19889,6
443.18565,9
443.22215,7
443.28412,6
444.19347,48
444.36724,8
445.2014,152
445.2376,6
446.20437,25
446.20884,32
447.21691,24
447.25336,8
449.12367,6
449.15979,10
450.13145,9
451.13921,56
451.17557,12
452.14695,80
452.18343,7
453.15062,14
453.1552,24
453.19123,13
454.16281,11
455.17033,24
455.20718,8
456.88151,21
456.92378,6
457.18619,11
458.20903,10
459.21664,215
460.22055,43
460.22464,174
461.19604,39
461.22775,43
461.23245,49
461.3041,23
462.19938,10
462.20351,11
462.23591,14
463.17586,11
463.21191,14
464.14714,8
465.15478,44
465.19106,8
466.15795,9
466.16272,57
467.17035,213
468.17405,30
468.17825,21
468.92322,16
469.16833,19
469.1858,6
470.15732,6
472.22438,7
473.23221,7
474.24021,8
475.21151,57
475.24774,17
476.18333,6
476.21475,10
476.21968,46
477.19089,12
477.22735,49
478.23078,11
479.17022,8
480.17792,14
481.1863,170
482.15769,7
482.1897,33
482.19409,84
483.16539,28
483.18365,8
483.1975,12
483.20128,6
484.19141,6
484.9186,8
486.93415,6
487.24771,32
488.25543,11
489.22714,7
489.2637,52
490.23521,21
490.26675,8
490.3723,7
491.20639,10
491.24253,92
492.24649,15
492.25102,11
492.90237,6
493.22235,7
495.20175,8
497.18126,20
498.18898,23
499.19647,10
503.20625,7
503.24306,61
504.21423,77
504.24578,9
504.25115,11
505.18553,6
505.21717,15
505.22188,57
505.25823,54
506.22512,14
506.22985,7
506.26159,17
510.18887,6
511.19599,6
513.2123,50
516.90166,10
517.22159,16
518.23003,201
519.23792,472
519.27369,8
520.24101,146
520.28181,6
521.21668,18
521.24419,6
521.25336,20
526.18364,31
527.18684,8
527.19187,6
531.23719,11
532.24542,10
533.25361,173
534.22513,19
534.25661,50
535.23234,48
536.24019,55
536.43607,87
537.21251,6
537.24425,10
537.24794,8
537.4392,22
539.19181,12
540.19897,39
541.20671,82
542.20978,19
546.2607,165
546.91297,7
547.26876,388
548.27657,464
549.24825,29
549.27953,143
550.25082,6
550.28296,7
550.28831,10
551.19169,13
552.43121,22
552.88179,15
553.43479,6
555.22286,92
556.22551,19
557.22074,8
559.21766,17
562.25615,68
563.26445,125
564.27228,280
565.27485,83
566.2785,6
566.28249,7
566.41034,52
567.41381,13
569.2387,14
571.21807,12
577.24319,20
578.25087,8
579.25953,19
580.26669,38
581.27483,9
581.39781,6
582.40556,57
590.25145,18
591.2593,65
592.26717,907
593.26991,257
594.27263,26
594.27864,32
598.40012,10
599.21234,12
607.25419,20
608.26234,44
609.26944,10
610.20486,10
613.22841,12
614.23614,472
615.23911,133
615.2563,6
616.23367,50
616.24183,24
617.237,9
630.2315,12
631.2382,8
641.419,9
657.41354,28
658.42098,545
659.42472,221
660.42774,31
674.41658,18
675.41862,6
681.41056,8
684.90273,6
766.25271,7
766.2678,6
766.28038,9
766.29673,18
766.30553,10
766.31936,23
766.33194,14
766.34074,21
766.34703,21
766.36338,20
766.37973,19
766.39734,17
766.40489,18
766.42879,10
766.45269,9
766.46904,7
870.56306,7
892.53277,1001
893.53582,675
894.53899,150
895.53272,44
908.52705,47
909.53118,23
910.54186,6
