"m.z","int"
105.00357,23
110.00616,20
112.9852,22
114.98225,8
121.03459,83
123.01388,101
123.04171,16
124.01465,8
125.01145,9
129.05216,16
131.01884,7
135.05005,12
136.07314,14
137.04053,7
137.05718,13
138.0302,17
139.02694,22
141.08854,6
149.09351,6
151.04507,18
151.07292,22
153.00928,7
153.05215,12
155.06778,9
157.08345,206
158.08673,7
163.04496,8
164.92046,7
165.02435,8
165.08846,32
167.04,236
168.04072,16
169.03756,27
169.12215,13
173.07836,6
177.06072,13
177.08852,43
179.0677,8
179.07622,6
179.10407,16
181.08342,7
184.0733,15
185.11481,7
192.10759,7
193.0835,6
193.11993,9
196.95771,9
207.07117,8
207.09891,9
207.13549,11
213.14589,8
217.1561,22
221.05047,19
221.15104,10
247.10249,6
249.18225,6
253.14078,18
451.13963,12
452.14736,33
465.15518,7
466.16312,26
467.17135,78
468.17444,15
481.18667,65
482.19446,23
483.16576,6
513.21261,10
526.18464,9
536.43706,40
537.4402,11
540.20071,10
541.20771,28
555.22386,29
556.22573,6
566.41133,49
567.414,15
613.22848,10
614.23621,133
615.24009,54
657.41349,6
658.42193,135
659.42566,46
765.63525,7
765.65158,8
765.66037,8
765.68549,6
765.6968,14
765.71689,16
765.73322,19
765.74202,13
765.7596,14
765.77468,17
765.78347,19
765.79604,12
765.80609,13
765.81362,13
765.82242,8
765.82996,9
765.85006,11
765.86263,10
765.8865,6
765.89655,6
765.9154,6
892.53339,188
893.53644,107
894.5396,25
