"m.z","int"
100.07619,1584
100.95897,254
101.06008,258
102.0918,278
102.12801,568
102.9707,125
103.02425,300
104.90825,444
104.95235,797
105.00362,580
105.03399,420
105.07024,753
105.93521,251
105.99263,195
106.90494,1147
106.98913,1177
107.08577,1640
107.95079,1620
108.08123,651
108.90445,1053
108.95864,433
109.06525,685
109.10145,2787
109.91697,1668
110.10494,124
111.04433,1698
111.08069,901
111.11707,228
111.91517,209
112.89608,1444
112.98545,902
113.01621,300
113.0601,339
114.09167,6892
114.89288,319
114.98259,427
115.05455,587
115.07562,234
115.09495,301
116.93294,381
116.96653,313
116.98603,636
117.07009,217
118.03238,1255
118.08653,191
119.0192,4150
119.08574,705
119.92995,326
120.02001,468
120.92621,1674
120.9811,141
121.01676,495
121.02876,31185
121.03476,393
121.10141,746
122.02119,1670
122.03206,2388
122.05796,160
122.09666,729
122.92433,207
122.9628,577
123.0139,359
123.02005,231
123.02329,297
123.03267,155
123.08058,339
123.11718,887
123.94545,341
123.96574,385
124.96444,401
125.09639,893
126.9614,141
127.07546,322
127.11182,377
128.06221,151
128.10724,122
128.95382,1004
129.05249,650
129.09109,265
129.10257,295
130.01001,295
130.06521,514
130.93308,192
131.0191,3208
131.02657,213
131.08563,233
131.11802,933
131.95333,727
132.01985,295
132.98736,351
133.00773,893
133.01646,297
133.03465,463
133.06486,179
133.10126,1591
134.99659,1631
135.00291,13994
135.04421,219
135.04756,2470
135.08069,308
135.11718,640
136.00647,368
136.02152,1976
136.05086,132
136.07345,1560
136.11222,1248
137.02963,5365
137.04066,449
137.0574,358
137.09622,343
137.13277,303
137.94021,288
138.03053,683
138.05284,516
138.93675,1619
138.94374,136
139.01834,588
139.02689,747
139.02961,317
139.07549,234
139.11167,2053
140.06827,1601
140.93473,169
140.9383,127
140.95933,6128
140.97164,3676
141.09118,413
141.95875,203
142.94816,741
142.95626,124
143.10675,1189
143.11812,130
144.92764,1232
145.03485,171
145.10115,186
147.05038,349
148.94384,126
149.02362,403485
149.02966,1397
149.05943,192
149.09612,129
149.13239,443
150.02691,34957
150.12762,591
150.90664,153
150.96864,221
150.977,3050
151.01836,1265
151.0276,2696
151.04521,456
151.07294,1183
151.09628,219
151.1117,1934
151.90817,643
151.97656,328
152.03123,156
152.9067,723
152.95289,135
152.97487,142
153.00673,667
153.00943,684
153.05207,686
153.09114,370
153.12753,1427
153.90831,1172
153.95587,151
154.01024,157
154.93169,208
154.98567,859
154.99802,168
155.00672,291
155.06806,636
155.10699,806
156.04248,389
156.08085,719
156.91232,215
156.9333,3559
156.94542,2191
156.95428,614
157.00138,123
157.04711,349
157.08352,4773
157.12227,648
157.13348,257
158.08692,228
158.15435,1465
158.93117,133
158.94352,208
159.05049,240
160.00274,169
160.90159,438
160.91853,121
160.93984,224
160.9994,1044
161.01878,438
161.06628,188
161.09633,1674
162.09983,124
162.94095,3510
163.02433,295
163.03914,721
163.04507,186
163.07568,649
163.1483,265
164.02151,442
164.14362,470
164.92084,7504
164.93038,1577
165.00725,575
165.03993,132
165.0525,222
165.06105,304
165.0701,134
165.08871,3715
165.12745,148
166.08411,416
166.09223,255
166.8951,172
166.91657,210
166.95084,1656
167.00815,270
167.03425,2343
167.0404,1291
167.06805,739
167.10697,556
167.14335,915
167.894,196
167.97141,831
168.89514,360
168.94876,171
169.03784,187
169.04722,266
169.05869,457
169.08371,349
169.1223,857
169.92521,121
170.96314,523
170.97587,193
171.01722,129
171.04056,231
171.05011,261
171.06284,728
171.09946,6463
