"m.z","int"
102.92586,7
104.10727,11
107.95064,19
115.05429,13
118.9431,10
119.01904,62
119.08557,12
119.8949,7
119.95095,22
121.01657,6
123.02322,6
125.96099,73
128.06199,11
129.06982,6
130.06505,23
130.93291,7
131.01893,44
131.08545,10
133.00752,23
133.01644,9
133.03454,13
133.10106,9
134.99635,12
134.99877,7
135.00277,50
135.05021,21
137.02936,96
137.03878,17
137.04059,6
139.02688,12
140.06805,13
140.95891,23
141.06959,6
142.948,143
145.03435,8
145.10106,9
145.16968,7
148.92549,7
148.93508,8
149.02326,14
149.02941,50
150.03721,7
151.02699,6
151.04504,16
153.00934,63
153.90788,14
154.01014,15
154.90724,104
154.99803,6
155.00684,18
157.08338,63
157.10112,9
158.92198,15
159.05009,11
159.1167,6
163.04496,21
164.92046,119
164.92987,63
165.03377,6
165.06067,13
167.03999,15
167.9715,9
168.08061,6
169.02854,8
169.03753,8
169.101,7
169.89429,26
170.96306,15
170.97552,13
171.09898,34
171.11676,10
172.99612,12
173.13244,12
174.89579,10
174.98509,18
175.08146,8
175.11168,7
177.00939,11
177.06064,16
177.0971,20
178.96863,11
179.07626,11
179.08564,6
180.08061,8
180.89421,28
180.90388,16
180.9867,7
181.91827,7
182.16508,6
182.90221,8
182.92626,7
183.01752,14
184.07316,22
185.11467,42
185.13244,11
188.93529,8
188.97363,14
189.09705,9
190.9626,23
191.07623,6
191.1041,21
191.11271,26
193.02875,7
193.09205,20
193.11989,7
195.08064,7
196.91783,6
197.13244,6
198.94335,6
199.04502,7
199.92896,15
200.92563,6
201.08866,10
203.07624,6
203.11261,8
203.93815,6
204.90376,11
204.93037,27
207.1076,11
207.11697,9
209.09637,6
209.13241,7
213.14589,38
214.89342,8
215.9013,17
217.09215,12
218.93617,10
219.10757,11
220.90417,22
220.9252,28
221.12331,13
222.87891,8
222.91422,22
229.12,6
230.22248,10
230.95483,9
231.10784,6
231.14408,10
235.13905,8
236.89931,10
239.16172,127
240.16493,8
240.91821,11
242.85962,22
242.9072,6
243.08392,7
244.89637,18
244.93273,7
245.07846,29
246.21762,6
247.13887,7
248.90218,6
254.82354,8
255.13564,26
256.8206,9
256.8921,13
256.95827,11
258.83357,6
260.8703,11
261.05224,10
270.98583,18
271.15437,7
275.17026,33
277.1588,8
278.90288,15
281.08681,12
282.265,7
282.88847,11
284.8967,11
285.2211,27
285.24224,11
288.98687,6
290.93396,9
294.87684,7
298.86244,7
300.88499,7
300.89149,7
305.21112,21
305.21713,20
306.85197,13
309.24238,16
311.25808,24
313.22222,15
313.27349,8
316.85866,10
317.22645,6
318.95548,9
322.82589,12
324.86254,18
325.20124,18
328.83387,10
329.02768,10
333.2482,7
340.83642,7
345.02236,8
346.84445,11
359.25785,20
360.86584,8
362.81792,15
408.80009,6
421.1301,7
423.14514,7
424.15317,6
425.16117,10
427.17699,7
435.14522,7
436.15326,7
437.16101,12
438.16845,11
439.17665,16
440.14782,6
441.15572,7
450.13269,6
450.16836,7
451.14045,22
451.1768,6
452.14361,8
452.14817,33
453.15127,7
453.15585,13
453.19245,12
455.17154,10
456.88271,9
460.29724,6
461.30469,15
464.14712,7
465.15594,22
466.16328,29
467.1715,80
468.17459,26
468.17879,12
469.16826,6
479.1713,6
481.18674,56
482.19013,11
482.19452,34
483.16581,12
483.19792,7
497.18157,6
498.18994,8
507.24309,11
513.21246,13
521.45529,10
526.18441,16
536.43676,35
537.43988,14
540.19963,16
541.20811,37
542.21043,8
547.47056,7
549.48624,14
555.22418,35
559.21896,11
566.41159,105
567.41506,32
571.21849,6
582.40671,14
595.47273,6
599.21339,13
613.22935,12
614.23708,120
615.24005,40
616.23369,12
616.24366,7
657.41415,8
658.42259,89
659.42532,41
769.48408,11
769.49673,13
769.50686,18
769.51825,23
769.53343,16
769.53976,18
769.56001,16
769.57393,26
769.58279,22
769.59545,20
769.60431,23
769.61317,23
769.62962,24
769.64354,11
769.65367,10
769.67266,9
791.4582,21
791.47008,31
792.45971,11
792.47293,7
826.53561,13
837.4746,10
848.51789,10
892.53408,147
893.53713,93
894.52919,11
894.54029,27
895.53401,8
957.54015,11
957.55245,15
958.54394,8
958.55626,6
