"m.z","int"
102.12794,9
102.92585,7
104.1072,52
104.9523,40
105.00351,8
105.07007,7
106.90474,10
106.98893,36
107.95064,39
109.10135,10
109.91692,73
111.91496,9
112.89592,70
114.89299,16
114.89401,7
115.05429,45
116.93265,9
116.96631,12
116.98597,15
117.05741,8
117.06995,7
118.08629,16
118.94317,18
119.01903,164
119.08564,12
119.89489,7
119.92976,33
119.95094,37
120.01982,6
120.08088,46
120.92609,176
121.01656,13
122.92418,18
122.96273,23
124.93751,7
124.96417,108
125.96098,183
127.9628,6
128.06206,38
128.95348,22
128.97067,11
129.0698,9
129.95791,9
130.04983,24
130.06513,178
130.93272,19
130.95706,9
131.01891,104
131.08544,7
131.95321,81
132.0505,6
133.03452,34
133.10104,9
134.99634,19
134.99876,14
135.00285,316
135.0501,22
136.0617,8
136.07563,8
137.00044,6
137.02935,266
137.04057,8
137.9401,20
138.03014,25
138.05475,12
138.93644,152
138.94333,20
139.02687,24
140.06813,25
140.93459,19
140.93796,30
140.95899,557
140.97139,37
141.06968,8
141.08855,8
141.95859,15
142.94798,280
142.95588,7
144.08064,11
144.92733,46
144.9445,11
145.03444,31
145.04573,10
145.10104,18
146.01877,20
146.94596,12
147.03904,9
147.05003,9
147.07625,16
148.04537,7
148.92558,10
148.93506,49
148.94336,20
149.02324,15
149.02939,125
149.06585,16
149.95921,6
150.06106,6
150.9767,51
151.02697,9
151.04502,61
151.07286,34
151.09532,25
151.90786,16
152.06192,8
152.90671,25
153.00685,14
153.00932,152
153.08845,6
153.90797,33
153.95575,8
154.01012,24
154.06498,12
154.90733,308
154.93133,10
155.00681,39
155.08533,7
155.10411,78
155.946,8
156.01425,14
156.04198,7
156.0807,10
156.90307,10
156.91192,65
156.9329,421
156.94537,35
156.954,41
157.08347,700
157.1011,17
157.93249,21
158.08686,26
158.91007,10
158.92195,26
158.92516,12
158.92979,10
158.93098,16
159.05006,16
159.06136,12
159.09157,7
159.11667,19
160.00277,6
160.04525,20
160.90125,23
160.91844,25
160.93937,25
160.99918,31
161.01844,21
161.02946,7
162.91998,14
162.94094,238
162.99361,9
163.04506,17
163.07283,8
164.909,21
164.92043,148
164.92997,295
165.06077,26
165.06328,6
165.06982,7
165.07196,9
165.08855,107
165.95433,8
166.06503,9
166.89492,9
166.95066,47
166.95373,7
167.00784,8
167.03996,36
167.06786,8
167.10422,14
167.89368,7
167.97134,14
168.08058,13
168.89505,14
168.96352,9
168.97094,12
169.0375,16
169.05835,35
169.0835,17
169.1011,7
169.12209,8
169.89439,176
170.96316,16
170.96979,16
170.97536,8
171.09709,12
171.09908,674
171.11673,11
171.98107,17
172.10241,32
172.90683,191
172.92786,83
172.95212,7
172.97748,36
172.99623,72
173.05748,45
173.0784,10
173.13228,6
173.9302,23
174.0385,14
174.89589,12
174.90494,21
174.98519,38
174.99384,6
175.04504,10
175.08142,29
175.11892,18
176.07668,6
176.89925,17
176.91334,16
176.97306,19
176.99218,9
177.00935,14
177.02443,9
177.06074,27
177.08854,62
177.09706,101
178.06505,9
178.91481,274
179.06529,23
179.07623,36
179.10422,59
179.91436,7
179.91693,18
180.08057,15
180.13574,7
180.89432,63
180.90384,100
180.91293,16
181.08341,9
181.11982,7
181.91823,11
181.94078,7
182.90232,32
182.92622,22
182.96965,7
183.01749,13
183.06285,6
183.09927,7
183.11675,6
184.07327,264
