"m.z","int"
100.07599,9
102.12809,33
103.02432,16
104.10731,735
104.99258,8
105.00355,365
105.11067,37
106.00434,18
106.02822,42
107.00106,23
107.02705,8
110.00621,747
110.9523,16
111.00698,67
111.05317,9
112.00376,71
112.89595,22
112.98525,660
113.02108,11
113.98606,71
114.09153,8
114.89296,6
114.9823,170
115.03671,8
115.98308,18
116.9798,19
118.0351,12
120.01983,14
120.08081,6
120.97239,6
121.01665,18
121.0262,6
121.03473,827
122.03545,60
122.03801,7
122.05784,54
122.09654,9
123.01394,1710
123.03222,81
123.04177,108
123.05293,6
124.00915,8
124.01472,157
125.01143,162
125.99221,12
126.49262,6
128.96267,33
129.05231,154
130.06512,12
130.95972,9
131.019,129
132.01974,8
133.01661,6
133.03462,47
133.98096,7
135.00287,134
135.04175,25
135.04742,1224
135.05012,123
136.02156,7
136.04545,14
136.04686,6
136.05081,52
136.0733,188
137.0407,111
137.04317,48
137.04774,7
137.05734,166
137.07656,7
138.03028,304
138.03277,40
138.05258,23
138.05508,6
138.06066,8
138.90649,43
139.02585,8
139.02701,349
139.03362,23
139.03654,90
139.07299,14
140.00394,11
140.01406,25
140.90351,40
141.05216,14
141.08861,28
142.93853,9
143.06789,15
145.03453,17
146.11745,6
147.05003,9
147.05289,21
149.05734,26
149.06586,14
149.09381,33
150.03035,48
150.03275,6
150.03732,23
150.08898,13
151.027,74
151.03657,9
151.04505,244
151.073,219
151.09535,24
152.02783,23
152.04595,17
152.0763,12
152.93309,13
153.00936,232
153.01643,10
153.0244,90
153.04258,11
153.05223,91
153.08861,24
154.01017,48
154.02513,10
154.08396,7
154.93013,7
155.00687,50
155.03147,11
155.06787,100
155.10416,18
156.07128,6
156.08088,8
157.0294,48
157.04725,26
157.08354,1474
158.08694,72
159.05014,25
160.03442,6
160.03694,21
160.04547,9
161.02944,10
161.05731,8
161.09366,76
162.9936,23
163.03653,7
163.04505,100
163.07295,51
164.92056,242
164.99139,6
165.02444,68
165.03563,22
165.04267,6
165.05235,31
165.06077,88
165.08868,443
166.02521,9
166.09206,30
166.91628,10
166.99557,8
167.03818,12
167.03997,2068
167.06788,70
167.10424,32
168.04082,217
168.0434,43
169.03753,290
169.0443,16
169.04717,31
169.08353,23
169.12225,10
170.90783,7
171.04169,7
171.06277,24
171.09912,76
172.10259,6
173.05754,18
173.07846,118
173.09358,12
174.87073,6
175.04511,55
175.07298,14
175.10938,11
175.119,11
176.86768,6
176.99227,6
177.00944,52
177.02438,30
177.05217,7
177.06069,70
177.08863,473
178.01445,9
178.05585,6
178.09205,28
178.159,6
179.03997,37
179.05119,40
179.06795,88
179.07633,44
179.10432,241
180.10761,18
180.13585,45
180.89443,34
181.04713,12
181.08353,92
181.11979,13
182.08706,8
183.06283,32
183.09925,34
183.13569,6
185.00627,36
185.05745,18
185.0785,7
185.11493,125
186.11818,12
187.00326,6
187.04511,9
187.09395,6
188.97761,6
189.06081,29
189.0887,11
190.06839,7
190.09231,6
191.00984,6
191.04005,97
191.06792,9
191.07638,35
192.02423,15
192.10755,81
192.17482,7
192.8813,55
193.05579,43
193.06263,10
193.08362,88
193.09221,85
193.12005,258
194.12342,22
194.87826,54
194.92472,6
195.06273,22
195.09924,82
195.13543,9
195.87896,6
196.10262,9
196.86512,77
196.87527,12
196.95767,53
197.0785,52
197.11491,13
197.9586,9
198.08184,6
198.86223,68
198.97417,11
199.04507,50
199.07304,9
199.09419,9
199.1305,10
199.9964,17
200.85918,21
200.98057,68
200.98361,8
201.07334,12
201.08855,21
202.09222,6
203.05263,12
203.0679,7
203.07631,31
203.10428,12
205.05556,27
205.06235,7
205.08359,11
205.09195,8
205.11998,28
206.05105,6
206.98813,15
207.01991,20
207.063,9
207.07131,43
207.07819,23
207.09922,98
207.13562,223
208.10253,12
208.13884,17
208.85865,13
209.06172,38
209.07856,30
209.09398,9
209.11477,59
209.15135,6
210.85589,9
211.00426,14
211.09406,13
211.13042,39
212.83902,11
212.93514,16
212.99152,6
213.0011,10
213.05234,6
213.10969,7
213.14603,93
214.14962,8
214.83588,8
215.00717,15
215.04212,7
215.08905,9
215.12552,22
215.15433,7
217.0472,18
217.05573,7
217.06824,7
217.09195,41
217.10465,68
217.11982,17
217.15624,151
218.15967,13
218.89526,11
219.07123,19
219.13564,46
220.10985,8
220.13889,8
221.05062,154
221.07849,15
221.11493,11
221.12331,14
221.15119,243
222.05137,13
222.15459,23
222.87913,101
223.0941,29
223.10951,8
223.13045,34
223.16661,11
223.88419,6
224.87608,24
224.91827,22
225.07313,12
225.10956,14
225.14601,17
226.91539,12
227.12527,30
227.14049,7
227.91609,7
228.91275,8
228.92568,21
230.92265,17
231.1077,14
231.13561,10
232.91973,6
233.0574,40
233.08693,6
233.09389,7
233.11478,8
233.12343,12
233.15129,68
234.15427,7
234.82609,14
235.13038,12
235.13893,21
235.16694,234
236.1081,14
236.17027,25
236.90569,17
237.10967,16
237.14604,27
237.18241,14
238.10478,9
238.85298,20
238.90267,11
239.08907,64
239.12523,11
239.16185,41
241.06828,13
241.15595,7
243.08385,22
243.13554,7
245.06294,6
245.07567,17
245.1512,39
246.1546,6
246.85577,11
247.10267,23
247.13054,6
247.16693,25
248.80672,6
248.85303,8
249.10993,7
249.14606,30
249.15445,9
249.18243,177
250.18583,30
250.80021,7
250.83977,29
250.8499,10
251.12546,11
251.1408,11
251.1618,15
252.83681,33
253.12019,7
253.14096,506
253.1775,6
254.14437,46
254.82378,59
254.83391,18
254.95478,6
255.15666,20
256.82061,76
257.14959,6
258.8178,34
258.84298,9
258.93904,11
259.09399,9
259.16694,13
260.81465,9
260.93605,8
261.12506,16
261.13107,6
261.18261,11
263.16189,7
263.19808,97
264.20134,13
265.14072,7
265.15633,11
265.17732,13
265.21367,7
269.11488,10
269.2086,6
270.79774,10
270.98541,6
271.1881,8
271.20319,6
272.79456,20
273.01078,7
273.14615,63
273.16675,10
273.18255,24
274.14982,10
275.16147,7
275.198,17
276.85366,21
277.1409,7
277.17701,7
277.21367,52
277.85451,6
278.21703,8
278.85059,13
279.15892,23
279.17192,9
279.19293,34
279.22944,15
280.83767,35
281.08699,11
281.17222,24
282.83479,24
283.15145,6
286.80362,8
286.88397,12
288.80081,9
288.88113,14
289.14911,9
289.17709,14
289.21353,20
290.21685,6
290.78777,28
290.79806,8
291.02132,6
291.19269,7
291.22922,34
292.78491,38
293.18776,6
293.20859,19
293.24491,8
294.78199,35
295.21152,7
296.77897,12
296.8114,9
299.11009,6
299.16131,10
301.21326,6
302.14423,162
303.1449,6
303.14741,8
305.21686,108
305.245,15
306.76155,8
307.20317,6
307.21434,8
307.22392,11
308.7588,10
308.76234,8
309.20345,212
310.20672,27
310.75581,8
312.78209,26
312.89789,8
313.22199,68
314.77925,44
316.77622,31
316.80195,10
316.89725,13
317.11474,44
318.79899,18
318.89485,6
319.26045,6
325.17744,7
325.20074,108
325.2136,8
326.20397,10
328.75562,6
330.74602,9
330.75315,14
331.23259,16
332.75023,7
333.24808,6
336.80928,6
337.14887,7
338.7961,14
340.79309,17
342.79047,7
345.02269,6
346.83983,11
348.74624,12
348.83661,8
350.74318,37
352.74043,24
354.73736,11
361.23437,30
362.23855,6
365.10503,15
370.74078,21
372.73782,28
372.77408,6
374.73469,21
374.76049,11
376.73161,6
376.75719,9
377.20847,7
378.75372,9
388.70437,9
388.71164,8
390.70882,10
393.29695,6
396.75472,7
398.75244,10
400.74865,6
404.79789,8
406.70451,6
408.70202,20
410.69849,12
412.69621,8
413.26589,14
414.2693,6
424.75662,7
425.25839,8
426.67237,9
430.69658,9
432.69325,17
434.69095,10
436.71278,6
450.66497,6
456.71047,13
462.75625,7
464.66358,6
466.66101,6
468.65751,6
488.77027,10
490.28947,6
490.65137,8
494.67125,9
507.24303,11
522.71202,6
526.61621,7
552.6299,6
561.4477,10
564.30487,18
589.48022,7
590.3211,6
614.23599,9
689.15872,8
699.05632,11
723.50027,7
766.61678,7
766.62433,8
766.64572,12
766.66208,12
766.66963,10
766.68222,14
766.69858,11
766.71494,16
766.73004,13
766.73885,14
766.7527,17
766.76151,15
766.77032,16
766.80305,12
766.82067,11
766.83326,16
766.84207,7
766.85214,7
791.4567,8
791.4699,51
792.45953,7
792.47275,13
800.83062,10
834.45703,6
922.29609,6
922.31768,7
932.50412,8
932.52269,7
932.94995,15
932.96177,16
