"m.z","int"
102.1278,15
103.02409,30
104.10702,244
105.00332,333
105.06989,21
105.11038,6
106.00404,24
106.90457,38
107.00083,31
107.08552,14
108.90419,38
109.10113,18
109.91664,28
110.07119,10
111.05523,6
112.89565,757
114.09123,47
114.89266,236
114.89375,86
115.05417,70
116.0705,9
116.89081,23
117.0697,8
118.08612,21
119.03003,7
119.08541,17
119.92471,31
120.01959,122
120.02209,7
120.08057,38
121.01634,140
121.03441,180
121.10091,8
122.03514,9
122.05744,24
123.01362,347
123.0319,13
123.04145,16
124.0144,25
124.95288,6
125.0112,51
128.0618,75
129.05199,126
129.06964,11
130.04958,59
130.06488,157
130.0859,32
130.09725,28
131.01867,479
131.08529,17
132.01941,23
132.10164,27
133.01619,31
133.03429,182
133.09681,7
133.10091,24
134.03498,8
134.99854,7
135.00254,58
135.01351,9
135.03183,6
135.04132,13
135.04709,279
135.04988,159
136.04512,15
136.05039,14
136.07297,243
137.04037,256
137.04294,11
137.05692,152
137.07623,8
138.02994,427
138.03244,37
138.0411,8
138.05456,20
138.06033,6
138.98898,9
139.01774,7
139.02668,509
139.03329,15
139.0362,59
139.03786,22
139.07266,27
139.11136,10
140.01362,19
140.06785,18
141.05182,9
141.0695,16
141.08818,29
143.06756,29
143.08521,10
144.08038,13
145.03419,51
145.1009,8
146.16476,30
147.02464,35
147.0499,43
147.07602,29
147.1124,79
147.11642,7
147.93074,8
149.05689,43
149.06552,28
149.09336,15
149.96063,25
149.99439,18
150.0299,90
150.0324,9
150.03698,27
150.0579,7
150.06073,15
150.08863,32
151.02665,125
151.03623,11
151.04481,444
151.04745,9
151.07266,366
151.09501,6
151.11141,28
152.02749,48
152.04005,19
152.04549,21
152.06161,19
152.07595,14
153.00902,157
153.02405,30
153.04235,32
153.05189,189
153.06951,7
153.08826,30
154.00982,25
154.05515,8
154.06479,9
154.08338,10
155.00664,34
155.03112,17
155.06752,78
155.10381,20
156.08042,11
156.97435,15
157.02905,11
157.04678,39
157.08308,4041
158.08647,256
158.92157,261
159.0498,69
159.08726,19
159.11641,14
160.03647,27
160.04512,52
160.901,6
160.91976,12
161.02909,65
161.04036,52
161.09331,114
162.0498,7
162.99337,38
163.00213,13
163.0447,240
163.07247,112
164.04542,7
164.90865,22
164.92008,38
164.93477,6
165.02396,19
165.03528,130
165.04231,6
165.05187,47
165.06042,230
165.06959,30
165.08644,17
165.0882,619
166.01446,11
166.05568,15
166.06126,9
166.09158,46
167.03104,8
167.03962,851
167.05792,12
167.06752,173
167.07252,10
167.08519,6
167.10389,70
167.94094,9
168.00496,6
168.04046,89
168.04292,10
168.07069,8
168.08037,8
168.94861,17
169.0373,222
169.04668,66
169.05802,125
169.08317,52
169.12189,17
170.04199,9
171.01653,39
171.06229,30
171.09877,288
171.11641,7
172.1021,18
172.9068,28
173.00294,8
173.02898,7
173.05516,6
173.05705,609
173.06555,19
173.0781,190
173.09322,13
173.13225,8
174.06053,28
174.8956,987
174.96748,8
175.02731,7
175.04475,146
175.05518,39
175.07249,17
175.08114,19
175.10902,7
175.11864,63
175.98571,12
176.01048,21
176.04551,6
176.0764,17
176.89368,107
176.98242,11
176.99191,11
177.00657,8
177.00908,68
177.01788,19
177.02402,48
177.04217,6
177.05181,16
177.06033,256
177.08813,632
177.09679,7
178.00846,9
178.00972,8
178.01409,133
178.05563,22
178.06113,13
178.09155,39
179.00652,8
179.02228,26
179.03961,45
179.04642,6
179.05083,220
179.05793,7
179.06745,190
179.07597,238
179.08506,6
179.10382,297
180.05167,6
180.07674,15
180.08032,9
180.10711,25
180.13549,30
180.87302,6
180.88254,54
180.89393,149
181.01269,11
181.04663,23
181.06208,47
181.07349,10
181.08303,286
181.11944,36
181.98667,20
182.08656,14
183.04133,13
183.06233,70
183.09875,70
183.11652,12
183.13518,8
184.0205,7
184.0729,171
185.03187,50
185.04157,12
185.05694,39
185.07814,18
185.11442,207
186.11767,9
187.03626,12
187.04475,29
187.05598,27
187.07266,76
187.08115,17
187.09359,11
187.14777,6
189.05197,117
189.06029,119
189.08819,28
189.90378,14
190.05545,12
190.06803,10
190.09195,13
191.00933,7
191.02232,28
191.03954,195
191.05081,29
191.0674,43
191.07241,8
191.07601,102
191.98223,9
192.02387,29
192.04028,6
192.07089,11
192.10719,179
192.96593,6
193.00153,20
193.03794,32
193.04668,11
193.05527,72
193.06211,87
193.06656,6
193.0831,208
193.09169,239
193.11953,240
193.98235,12
193.98796,81
194.06551,9
194.07833,7
194.08698,279
194.09243,12
194.09596,7
194.1229,18
194.15112,7
195.01716,12
195.0283,8
195.04138,24
195.06237,52
195.07771,42
195.08773,19
195.08902,7
195.09871,215
195.11649,8
195.13507,25
195.89063,12
196.00234,14
196.08452,16
196.1021,16
196.85657,19
196.86803,270
196.87753,479
197.03238,14
197.05698,52
197.07797,92
197.11439,35
198.08131,8
198.86603,31
198.87551,40
198.97381,35
199.03622,8
199.04471,122
199.07251,24
199.09366,27
199.99587,41
200.98004,190
201.04221,6
201.05185,10
201.0603,42
201.07145,8
201.0728,12
201.08819,160
201.09664,13
201.16327,10
202.09168,16
203.02209,6
203.0521,54
203.06737,7
203.07595,149
203.10374,36
203.22254,22
204.07122,38
204.12273,6
205.00403,10
205.03796,21
205.05537,60
205.06199,9
205.06651,60
205.08305,63
205.09176,32
205.11945,50
205.87774,50
205.98671,14
206.04561,17
206.05052,24
206.05473,8
206.1226,6
206.98318,7
207.0139,51
207.01955,8
207.04145,14
207.05346,9
207.06229,25
207.07094,121
207.07766,693
207.09868,234
207.10734,40
207.13508,137
207.96591,8
207.99774,49
208.00237,21
208.08099,57
208.10235,52
208.13848,6
208.9349,6
209.05705,77
209.06135,134
209.06906,35
209.07587,36
209.07802,78
209.09344,68
209.10186,7
209.11441,155
209.15063,10
209.95611,7
210.01798,11
210.1178,12
211.03625,18
211.05879,11
211.0726,69
211.09351,46
211.13006,69
211.14771,7
211.86454,27
212.84178,155
212.85136,234
212.99116,8
213.00037,12
213.05198,50
213.07282,9
213.08812,18
213.10914,14
213.14567,48
213.16319,8
214.84,24
214.84952,42
214.91712,6
214.94776,76
215.01578,8
215.06737,20
215.07597,23
215.10384,8
215.12497,40
215.96995,103
216.95398,330
217.03793,12
217.04684,29
217.05518,16
217.0622,12
217.08305,8
217.09159,230
217.10429,84
217.11946,33
217.15588,131
218.05027,13
218.08693,54
218.09247,20
218.95193,15
219.01955,7
219.02609,17
219.05338,14
219.07087,53
219.07779,19
219.08913,12
219.09855,15
219.1074,24
219.13509,32
220.00228,12
220.06613,6
220.87735,10
220.89603,8
221.00273,11
221.03273,7
221.05007,139
221.05708,29
221.07793,33
221.08631,10
221.09333,27
221.11438,41
221.12295,63
221.15064,89
221.85165,28
221.87262,19
222.02865,8
222.15423,9
222.98769,43
223.03626,19
223.04811,19
223.0726,141
223.08465,6
223.09354,108
223.10895,55
223.12989,45
223.16625,11
223.97164,17
223.99708,6
224.03365,26
224.076,14
224.10404,9
224.90891,7
225.03874,13
225.05195,53
225.07277,15
225.08818,98
225.1092,43
225.14565,11
226.09172,6
227.0675,34
227.08636,6
227.10401,27
227.11233,18
227.12491,41
227.83844,9
227.96796,10
228.96517,26
229.04693,6
229.06646,6
229.08311,10
229.09174,54
229.1197,35
230.92167,69
230.98971,9
231.01094,7
231.05362,7
231.06236,10
231.0709,26
231.09881,37
231.10735,48
231.13505,19
231.1738,18
231.94378,88
232.10239,24
232.9278,200
233.02035,9
233.05683,149
233.06907,15
233.07814,95
233.08637,37
233.09333,25
233.11443,12
233.12287,11
233.12983,49
233.13194,6
233.15072,78
234.06005,14
234.1331,6
234.15391,7
234.92347,6
234.92603,26
235.04818,7
235.07254,12
235.09348,8
235.10887,14
235.13003,30
235.13858,101
235.16637,61
235.99723,9
236.10731,33
236.85108,14
236.86989,9
236.97669,23
237.05175,30
237.06387,6
237.08832,27
237.09676,15
237.10022,6
237.1091,29
