"m.z","int"
100.076,9
101.06005,24
102.12803,429
103.05451,23
103.13139,18
104.10729,83
104.95239,57
105.03377,21
105.07015,135
106.98895,23
107.04939,26
107.08578,214
108.0811,12
108.08909,10
109.06503,57
109.07624,6
109.10144,424
109.91694,49
110.0602,6
110.07143,6
110.10478,29
111.04429,82
111.08065,88
111.09189,11
111.11703,2104
112.12042,161
112.89594,25
113.05989,6
113.09625,8
114.09151,143
115.05445,309
115.07552,11
116.05772,14
116.06217,11
116.1071,8
116.93274,20
117.05742,20
117.07004,76
118.03223,221
118.06523,30
119.01904,43
119.08565,172
119.92978,33
120.08089,166
120.92618,184
121.02857,243
121.06497,13
121.08416,6
121.1013,102
121.96642,7
122.03193,9
122.09661,41
122.92419,13
122.96274,41
123.08052,41
123.11695,184
124.12013,6
125.05981,9
125.09621,108
127.07542,20
127.11178,120
128.04953,9
128.06207,250
128.10701,8
128.95358,34
129.05469,80
129.06547,10
129.0699,86
129.09103,25
129.12747,324
130.04992,59
130.06513,677
130.07771,7
130.13076,18
131.01892,48
131.06846,35
131.0729,8
131.08554,102
132.08082,24
133.03453,6
133.06482,11
133.10114,193
134.10451,7
134.99895,6
135.00285,195
135.04406,10
135.05001,6
135.08044,35
135.11684,110
136.02154,246
136.0617,10
136.07563,21
136.11205,19
137.02488,10
137.02945,59
137.0596,9
137.09604,55
137.1324,39
137.9402,14
138.01735,8
138.93654,118
139.05418,23
139.07537,13
139.11175,188
140.11502,8
140.93459,6
140.95899,137
140.97139,26
141.05726,14
141.06978,126
141.09094,47
141.1273,9
142.06513,41
142.07768,52
142.94798,33
143.07289,23
143.08547,66
143.10668,92
144.08074,123
144.09335,10
144.92743,65
145.03454,9
145.06478,18
145.10114,114
146.05998,41
146.0963,10
147.05024,22
147.06515,42
147.07635,25
147.08037,27
147.11676,78
148.06032,6
148.07559,6
148.11203,7
149.02334,5294
149.02949,51
149.05969,12
149.09606,33
149.13254,88
150.02673,372
150.09135,7
150.9768,71
151.02751,10
151.04512,10
151.07528,10
151.11172,189
151.14807,18
152.06202,50
153.00942,27
153.06981,39
153.09103,102
153.1273,180
154.06508,83
154.07755,6
154.13063,8
154.93144,12
155.06024,6
155.07284,11
155.08543,72
155.10421,15
155.10661,75
155.14292,7
156.0808,368
156.09341,30
156.10994,6
156.933,135
156.94548,28
157.07599,10
157.08357,136
157.08859,8
157.1012,85
157.12233,79
158.09639,51
158.10889,12
158.15392,578
159.05017,9
159.08049,20
159.09156,10
159.11678,98
159.15736,29
160.07561,9
160.112,7
160.90136,21
160.91854,6
160.9396,10
160.99929,48
161.05974,10
161.09609,108
161.13247,63
162.94105,114
163.03887,114
163.04504,10
163.07528,57
163.11171,20
163.13283,57
163.14815,65
164.10706,6
164.14333,7
164.92054,40
164.92995,25
165.05735,7
165.06075,91
165.0698,84
165.08866,17
165.09092,9
165.1274,32
165.16376,8
166.06514,35
166.07757,10
166.95076,46
167.03392,30
167.03993,8
167.05529,7
167.07283,36
167.08551,36
167.1042,8
167.10663,69
167.14301,159
168.08068,84
168.09322,11
168.14633,13
169.06471,7
169.07592,14
169.08582,11
169.1012,71
169.11985,9
169.12219,209
169.15871,22
169.96554,7
170.0599,11
170.09632,39
170.10895,28
170.12552,12
170.96181,8
171.09919,151
171.10144,83
171.1167,85
171.13793,172
171.98118,46
172.07561,7
172.11202,17
172.1412,6
172.16959,36
172.90694,43
172.92796,24
172.9587,8
172.97772,123
173.08081,6
173.08553,20
173.09606,16
173.11726,6
173.13252,77
173.15359,10
174.98516,14
175.11175,75
175.11903,6
175.14816,41
175.97682,8
176.91331,6
176.97317,45
177.05457,947
177.06071,10
177.08865,25
177.09102,86
177.09703,10
177.12735,34
177.16369,210
178.05798,70
178.06502,62
178.07756,19
178.15901,18
178.16705,14
178.91492,131
179.06029,8
179.07293,13
179.07634,7
179.08543,33
179.10419,27
179.1066,43
179.14298,83
180.08068,98
180.09329,15
180.14631,6
180.89443,28
180.90395,32
181.07587,7
181.08584,6
181.08858,29
181.10115,40
181.12225,87
181.15867,133
182.09652,65
182.1089,16
182.16209,15
183.08043,28
183.0916,10
183.10158,14
183.11686,77
183.13802,61
183.17431,14
184.07338,247
184.11218,10
184.12462,14
184.96612,18
185.09608,6
185.11489,266
185.11728,12
185.13251,82
185.15357,226
185.93959,25
186.11829,16
186.12777,6
186.14027,8
186.15698,13
186.91198,8
186.93592,51
187.07312,24
187.11166,26
187.14808,44
187.9551,138
188.95153,345
189.06983,11
189.09095,6
189.11207,83
189.12734,48
189.16373,22
190.06505,9
190.94968,13
191.04029,16
191.07285,31
191.07629,7
191.08553,13
191.10417,89
191.10652,15
191.11278,17
191.14301,38
191.16417,159
191.17937,31
192.06801,9
192.08063,60
192.17473,8
192.94713,8
193.07605,23
193.08114,6
193.08862,17
193.09211,9
193.11995,35
193.12234,30
193.15878,71
194.09638,58
194.10904,13
194.16196,6
194.88895,20
194.98383,27
195.09169,16
195.10155,157
195.1169,48
195.12271,15
195.1379,39
195.17443,171
196.10494,12
196.11211,14
196.12448,12
196.17773,19
196.95443,10
197.09625,10
197.10724,8
197.11724,23
197.1325,78
197.15367,133
197.18995,17
198.14022,8
199.1117,6
199.13285,11
199.14801,60
199.16917,5029
200.17258,662
200.92586,11
200.94004,29
201.08872,116
201.12727,26
201.16363,28
201.17344,11
201.17598,20
201.9135,13
202.06497,20
202.07757,7
202.90982,29
202.93261,8
203.06035,6
203.07287,7
203.08539,8
203.11268,7
203.14305,22
203.17945,14
203.92923,89
204.08072,63
204.91148,10
204.92556,202
205.07608,19
205.086,47
205.08861,26
205.09192,10
205.10115,18
205.1224,23
205.1588,16
205.19521,53
205.92729,8
205.95164,9
206.08382,10
206.09645,58
206.10908,7
206.92367,22
206.94802,45
207.07833,20
207.09158,21
207.09918,9
207.10413,7
207.11685,20
207.13558,35
207.13788,14
207.17429,63
208.07562,7
208.11192,25
208.12456,11
208.19079,8
209.05503,6
209.10719,15
209.11472,9
209.13247,59
209.15362,128
209.19003,63
210.12767,6
210.14031,13
210.15692,6
210.95769,20
210.96241,6
211.07526,26
211.11162,16
211.13054,19
211.14818,62
211.16928,183
211.91255,28
