"m.z","int"
104.10717,23
121.03461,18
125.01138,25
130.06505,12
132.10172,17
139.02683,55
149.02314,15
149.0294,24
151.04504,31
153.00924,59
155.00685,22
169.12207,14
177.00924,18
193.09195,26
217.09178,13
279.15883,78
305.2107,22
325.20053,24
337.149,18
451.13945,16
452.14775,21
466.1629,18
467.17113,65
481.18642,25
482.19421,11
555.22262,11
566.41084,22
582.406,47
614.23646,65
615.23944,19
658.42113,52
659.42486,12
767.14967,17
767.15849,21
767.17738,22
767.18746,26
767.19628,22
767.2114,43
767.22526,36
767.23912,25
767.24667,22
767.26683,19
892.53318,75
893.53624,35
