"m.z","int"
112.9851,20
114.09138,11
118.94307,19
120.08078,12
120.95099,10
120.95872,7
121.03454,94
123.03203,8
124.01452,32
125.01132,30
130.06499,10
131.01878,18
137.96131,13
139.02686,80
149.02317,9
149.02932,69
151.04496,30
153.00927,37
155.00666,9
165.0242,6
165.06052,17
168.04056,25
169.0374,50
169.12212,22
179.03981,7
184.07309,38
191.0397,10
191.97152,6
193.09185,38
197.982,9
203.07625,12
207.07106,15
217.09167,9
221.98185,8
223.09617,11
227.11258,7
233.18959,9
247.10229,7
279.15868,17
307.22616,12
451.13922,18
452.14752,20
453.1552,7
464.14709,6
465.15532,9
466.16326,14
467.17089,79
481.18617,45
482.1902,7
482.19459,13
526.18328,6
536.43712,26
541.20776,23
547.47099,7
555.22311,18
566.41055,54
567.41402,15
614.23615,93
615.23913,15
658.4218,86
659.42453,30
763.46426,6
763.55932,6
766.28463,7
766.29469,7
766.30727,8
766.31482,12
766.32991,21
766.34248,25
766.35129,23
766.36135,29
766.37896,27
766.39657,14
766.40537,21
766.41418,17
766.42927,12
766.46701,7
766.47959,7
766.48714,8
892.53274,96
893.53579,71
894.53736,11
