"m.z","int"
104.01194,11
106.02766,18
107.0355,13
111.0443,20
116.07902,51
117.01987,163
117.05493,28
118.01514,44
126.90428,17
127.07574,35
130.05843,15
130.09484,59
131.02311,186
131.07069,37
132.03093,90
133.01495,132
134.04662,47
135.0307,12
135.04456,53
141.09157,65
142.01542,83
142.99804,12
144.03105,19
145.02631,49
145.05003,35
145.06132,50
145.08649,50
149.0272,19
149.03377,233
150.04154,832
151.02556,29
151.04493,23
152.03474,34
153.09157,38
154.01737,16
155.00822,39
155.07082,22
155.10723,77
157.02627,23
159.06568,21
159.1022,24
160.026,15
163.07596,20
169.02638,32
169.08646,76
171.0658,17
171.13665,26
172.10553,16
173.08132,21
175.0368,28
177.09153,31
179.00832,12
179.10278,66
181.08649,16
183.10216,51
184.03713,12
185.08135,37
186.0183,22
187.09705,16
191.10722,16
195.13859,20
197.08142,20
199.13352,60
200.03215,39
201.11279,14
202.04786,12
205.15933,189
209.11789,53
211.13345,51
211.17001,38
213.14914,35
214.18883,53
218.13073,13
223.02794,40
224.03225,19
225.18553,40
226.99596,27
230.00791,11
234.1575,37
238.89122,19
239.05921,21
239.12847,12
239.20127,22
241.05895,15
242.0429,14
242.22025,48
245.043,17
247.17005,40
250.14451,18
253.21693,29
255.22995,12
266.05429,15
267.03825,19
273.1204,16
283.057,15
284.06505,27
297.04695,14
327.23308,79
769.46955,11
769.47715,16
769.49233,12
769.51005,12
769.53283,17
769.54675,22
769.55814,16
769.56573,19
769.57333,17
769.59231,21
769.60624,12
801.43566,19
