"m.z","int"
104.92729,57
106.98544,33
107.94628,45
109.02425,31
109.94902,26
111.01919,27
111.0808,31
112.95544,53
113.9429,40
113.95473,41
114.95097,617
114.97552,87
115.95085,48
116.94764,38
117.01996,92
117.95461,231
119.04945,31
119.95154,74
123.04452,36
123.94568,126
124.98359,272
125.91254,156
126.90306,61
127.90978,93
128.90006,32
129.00389,29
129.93806,209
130.94599,72
131.02313,52
132.03115,22
132.94173,220
132.98354,24
133.93231,25
134.04669,26
134.93883,36
135.92066,227
135.94133,47
136.91742,101
136.94896,162
137.91789,147
138.91111,22
138.92043,57
139.02261,26
139.07588,39
139.97085,173
140.91773,29
141.89027,78
142.94989,178
143.88709,26
144.94726,43
145.94977,22
146.96566,23
148.05242,26
148.91915,21
149.03385,26
149.97889,122
150.00852,52
150.04164,76
151.00598,25
151.07597,58
151.89837,28
151.91879,39
151.92678,104
151.93611,137
151.94855,71
152.91701,44
152.92687,67
152.93629,23
153.05522,21
154.01163,32
154.89791,22
154.91529,314
154.92763,980
154.93312,22
156.91244,70
156.92502,317
156.94833,51
157.06123,28
158.9247,397
158.9437,41
159.02927,39
159.12681,28
159.12967,51
159.96552,33
160.84135,25
161.94458,44
162.83871,25
164.95637,34
166.03986,50
166.05052,23
166.99478,30
167.91357,66
167.95795,49
168.02973,21
168.04264,31
168.89877,22
169.88479,31
170.89271,102
170.92291,21
170.93722,46
173.93063,73
174.94629,142
175.02424,23
176.90958,320
176.93526,163
176.9414,30
178.90668,73
178.95947,25
178.97253,77
179.07079,24
180.90662,367
181.07118,380
181.94683,56
184.14202,32
184.89391,33
185.90142,88
186.12101,31
188.90301,29
191.07088,27
191.92869,22
192.89327,55
192.92885,52
193.08655,40
193.86001,21
193.89266,44
194.88887,246
195.81023,24
195.88888,25
196.88088,27
196.88612,34
196.92871,47
197.80718,32
197.90948,22
198.15796,53
198.90491,79
198.91755,669
200.92114,26
200.9333,24
200.95424,45
204.11544,43
207.10211,27
207.88105,22
207.90593,30
208.87971,22
208.98284,282
209.85531,24
209.87622,143
210.87624,29
210.88423,123
212.0598,52
212.17335,37
212.87427,70
212.87869,71
212.88679,53
212.93763,21
213.11311,45
213.89211,25
214.87095,33
214.88291,196
214.89187,59
214.93894,38
215.1648,43
216.87163,21
216.90192,57
216.91556,53
217.0482,519
219.04483,143
220.96083,22
223.86245,27
225.02504,42
225.87193,55
225.89206,25
226.84186,22
227.12813,27
227.92491,23
228.85145,89
229.86957,36
230.84876,38
230.85458,21
230.88702,26
230.90366,59
230.92863,29
231.88947,41
232.84874,34
232.90183,34
234.86885,254
234.89446,30
234.90043,23
234.91324,22
235.13368,29
236.86521,167
236.89979,39
238.86612,71
238.89151,29
238.90114,22
238.9099,185
239.16494,47
239.83293,27
240.05857,24
240.20506,40
240.86235,27
241.1445,71
242.81192,23
243.22338,49
247.85727,50
247.8804,30
249.88786,24
250.85929,33
251.14786,51
253.1446,22
254.83981,21
254.88709,30
255.90629,22
256.85057,22
256.87595,102
256.90817,64
258.87336,23
258.91287,33
259.89671,21
260.88316,85
260.89216,116
261.03812,79
264.1603,61
265.21724,26
267.19688,26
270.84548,32
272.8298,22
272.84262,73
272.85011,27
274.86086,23
274.87491,22
277.03274,21
278.85906,97
278.87231,35
278.88446,112
279.04909,59
279.23269,34
283.22751,31
288.23016,42
288.92418,35
288.9498,25
290.82249,36
290.88248,21
290.89542,31
291.84132,24
292.82749,74
292.83818,70
294.82447,75
294.84969,58
294.8785,25
294.91213,54
296.82256,21
296.85773,48
296.89412,48
297.24381,76
300.86653,225
305.80879,30
306.8488,56
307.82497,57
312.82358,21
312.83408,28
312.86032,27
312.87739,31
312.89051,31
314.81028,32
316.80661,27
316.83201,26
316.84004,61
316.8601,50
318.84088,40
318.85168,42
318.87599,44
320.90844,37
322.84756,31
327.23325,23
336.84367,26
336.86713,40
350.78643,30
351.90151,26
352.78294,70
358.82422,45
358.90482,54
362.82088,23
380.83199,40
398.84343,24
402.815,36
461.87024,30
470.84002,21
530.80765,29
614.33328,24
628.52697,21
709.59928,25
726.31752,36
767.88518,30
767.92555,23
768.35972,36
768.44054,46
782.36189,23
791.30651,23
806.32891,33
820.61685,24
843.97084,22
844.02898,24
844.09295,21
844.24417,26
893.25264,23
893.31596,23
924.67424,38
948.94611,23
953.05629,47
953.11909,59
976.62084,27
