"m.z","int"
111.04431,19
116.07903,74
120.98874,16
122.03662,12
124.98363,23
127.07581,49
130.09483,59
131.07076,33
134.97256,18
135.04454,53
141.09164,89
145.05009,34
145.08645,32
146.02425,12
149.06027,19
149.9597,47
150.0013,13
152.0348,26
153.09152,50
154.94685,324
154.95932,112
155.07088,18
155.0821,25
155.10729,85
155.94646,29
158.08987,12
159.06573,19
159.10213,21
160.96906,21
163.07588,30
164.9835,17
165.09159,11
169.0865,108
170.94176,25
170.95421,13
171.00591,33
172.10544,21
172.95737,243
172.96991,24
173.08136,29
173.11781,18
173.957,36
174.95422,16
176.92878,65
177.06657,11
177.09157,24
179.10282,66
181.08652,34
183.10219,84
185.08138,37
185.90167,11
187.09708,25
188.95234,18
191.10725,21
194.93934,73
194.95177,13
195.10226,14
195.13877,16
197.08144,44
197.11786,21
197.95745,23
198.9539,77
198.96638,28
199.09705,20
199.13353,49
201.1128,15
201.17673,11
204.94088,22
205.12293,11
209.11789,21
211.03727,11
211.13364,34
211.17002,60
212.87857,11
213.14933,41
214.18901,65
216.96444,26
219.17498,19
219.93952,14
219.96311,14
220.93586,90
223.02793,27
223.13361,22
225.18571,63
227.16493,15
227.19924,13
227.9372,23
229.14403,11
232.92436,179
232.93679,47
233.92377,20
234.15769,32
234.9213,14
238.91133,12
239.05917,18
239.20123,42
241.18054,56
242.22043,87
242.96098,24
243.19622,16
247.17023,79
248.91948,23
249.18581,53
249.9192,21
250.14468,37
251.20137,108
253.21711,289
253.93383,22
254.22051,25
254.90652,76
254.91882,13
255.22989,16
264.94318,18
267.19656,77
269.2123,156
271.22789,43
275.2014,14
275.91597,13
276.9317,37
276.94399,25
281.24855,12
284.26742,12
287.90427,25
292.8915,42
292.90399,31
297.04711,22
297.27974,12
298.91337,24
298.92623,15
301.21739,281
302.22065,41
309.28013,17
309.88627,13
310.91466,15
315.19657,29
317.21229,64
320.89556,11
322.9563,11
327.25428,16
333.2074,20
336.91095,11
354.87415,16
360.25201,28
362.26782,16
365.24641,14
370.86861,17
481.25707,105
483.25992,17
483.27315,171
484.27615,14
499.26753,12
519.23711,16
527.25358,23
770.95038,16
770.96307,14
770.97703,16
770.98972,18
771.01257,14
771.0278,16
771.04557,16
771.06714,13
771.07603,21
771.08745,24
771.09761,13
771.13696,11
771.14966,20
771.16108,14
771.17378,15
