"m.z","int"
117.0036,17
117.01988,16
117.95437,61
122.97501,50
124.98355,101
127.98325,18
129.00365,145
131.03435,32
135.92064,25
137.91776,16
139.02957,43
141.999,23
142.94984,41
143.99084,29
145.94948,33
147.97067,18
149.97891,54
152.91711,28
152.93595,19
152.97868,22
153.99904,55
154.01162,49
156.99868,160
157.01127,109
158.99631,21
159.96512,35
161.93476,24
161.96225,19
162.96747,17
162.99201,23
164.98042,29
165.04527,16
166.99431,41
168.02964,20
171.01439,94
171.02698,54
171.13643,28
172.00965,39
180.92131,21
180.95811,34
189.97571,31
190.9869,29
192.97547,64
192.99756,18
200.00446,41
200.92117,21
201.02505,155
202.04104,34
203.00421,19
206.99101,24
208.98283,59
209.01202,56
211.00808,28
214.02028,16
217.01137,22
217.0199,19
221.01178,21
225.00692,58
231.13855,54
235.013,27
236.00828,19
237.00168,144
238.99884,45
240.94484,20
241.00205,43
244.03092,22
247.03067,38
248.17333,18
252.9794,68
258.99655,18
263.00839,23
267.19624,154
271.22759,20
277.02409,18
278.93011,35
283.04906,53
287.16499,18
287.98927,18
288.98566,37
291.057,73
299.04416,91
300.91168,16
301.21703,25
307.03461,58
315.19632,83
317.21205,102
333.20694,86
337.21502,25
347.2434,27
348.96492,21
354.87386,16
360.25176,31
362.26717,40
363.23054,101
364.91206,19
365.2462,128
367.24322,27
373.25916,68
375.27494,96
387.27523,23
389.29099,20
391.26976,48
415.26997,32
417.28556,162
418.28897,26
419.3011,180
420.30465,19
481.25682,36
483.27292,23
527.25303,210
528.25644,26
553.26887,20
555.28417,103
583.49429,18
765.92876,20
765.95264,16
765.96898,20
766.018,24
981.56002,16
