"m.z","int"
117.00351,18
117.95429,36
121.02721,15
122.975,41
124.98353,41
126.90283,18
126.98805,11
129.00364,226
131.00117,11
131.03425,26
132.98362,11
134.96985,11
135.92053,12
139.02956,13
142.94982,24
143.99082,21
145.94936,19
147.97065,13
151.92643,15
152.91699,26
153.99891,16
154.01149,13
154.89788,15
156.99866,125
157.01114,12
159.9651,17
161.93462,19
164.9804,18
166.99416,11
171.01423,41
171.13641,20
172.00963,19
175.94498,11
192.97544,19
197.00493,11
201.02485,105
208.9828,22
214.02006,11
225.00688,113
230.1517,13
237.00164,39
241.00179,21
241.21375,17
249.18554,366
250.18876,24
252.20443,13
253.21329,24
255.22919,17
263.16493,16
265.18072,11
267.19618,215
268.19952,16
275.20135,48
283.049,112
285.0282,12
299.0441,199
301.21697,960
302.22023,158
303.23259,24
311.20767,14
315.19625,57
317.05428,30
317.21198,89
331.19133,17
333.20686,53
337.23807,11
339.03621,27
339.20244,32
347.2437,13
360.25167,58
361.2595,11
363.23044,78
365.22749,21
373.25906,94
387.27467,16
391.24855,40
391.26965,27
411.05733,12
417.28544,195
418.28885,20
419.30047,11
429.06793,37
481.25667,26
485.27493,135
486.27846,19
518.27318,23
521.2518,204
522.2551,24
523.24923,62
524.2519,11
525.28314,25
527.25285,350
528.25625,48
531.28081,126
532.28337,12
545.29657,12
549.23727,75
553.2679,65
553.32269,33
554.27147,11
555.28397,566
555.46244,53
556.28759,150
575.30715,380
576.3106,78
577.32244,21
577.44664,12
579.33841,64
581.478,82
582.48181,21
583.49408,12
585.21167,28
613.24394,42
629.47863,17
639.26704,15
713.48486,28
717.45924,18
737.451,88
738.45525,18
739.37572,29
739.4997,67
747.44721,12
750.45464,15
753.4349,65
754.43759,36
759.43527,80
760.43877,21
763.46501,51
765.47119,20
765.48249,18
766.10564,11
766.11319,13
766.1333,16
766.15467,23
766.16725,15
766.18108,17
766.20119,16
766.21502,11
766.23011,11
766.23766,13
766.26281,11
785.45067,17
785.50548,22
787.49965,65
788.50286,27
791.49763,24
805.46594,19
807.48903,106
808.49253,43
811.46633,41
833.44995,13
839.49951,11
859.52131,34
860.5246,18
