"m.z","int"
107.04942,15
109.02873,12
110.92529,20
111.01919,13
111.04437,57
113.01379,11
113.02362,12
113.05996,13
114.97539,29
116.04269,16
116.07909,159
117.05499,17
117.9545,99
119.04956,17
119.95156,15
121.02739,11
121.06521,11
122.0366,20
123.04441,16
124.98369,222
125.0601,36
125.09651,25
125.98453,11
126.90297,16
126.98123,13
127.03945,20
127.07579,77
129.00377,30
130.0948,102
131.07073,49
132.94172,11
132.98381,14
133.93219,26
134.97253,12
135.0446,122
135.92079,21
136.94908,22
136.97131,11
137.02388,21
137.06031,22
139.0297,13
139.03951,18
139.07597,18
139.97093,30
140.96144,44
141.05524,24
141.0916,150
141.9991,21
142.94993,58
144.04502,32
145.05016,57
145.08652,36
145.94955,21
146.96997,23
146.98254,17
148.99066,12
149.02387,12
149.06023,65
149.0967,13
149.97904,83
150.00137,28
151.07599,44
152.03487,66
152.97868,12
152.99539,15
153.05521,21
153.09159,97
153.99915,28
154.01172,12
154.90577,29
154.94681,200
154.95939,19
155.07095,54
155.10724,163
155.94642,20
155.94849,13
156.96249,17
157.97911,26
158.08982,11
158.92745,22
158.95157,39
159.0658,36
159.1022,54
159.83475,11
159.96529,27
162.06803,17
163.03966,15
163.07595,73
164.08371,19
164.98344,14
165.0552,24
165.09154,44
166.05043,20
166.99442,23
167.07082,28
167.10719,39
168.8989,25
169.08657,199
170.94183,12
171.00598,13
171.06578,37
171.13664,31
172.10552,25
172.95744,189
172.96984,14
173.08143,60
173.11789,36
173.1453,13
173.9568,18
174.94647,15
175.07591,12
175.9453,13
177.05519,24
177.09165,77
179.07092,41
179.10275,89
179.10729,24
181.08659,117
181.12301,14
182.95899,15
182.9744,14
182.99391,12
183.0657,25
183.10212,129
184.89381,27
185.06041,15
185.08145,78
185.90175,38
187.09715,50
187.13357,15
191.10732,63
193.08647,21
194.0944,18
194.93926,21
195.06582,14
195.10217,72
195.13852,37
197.08151,83
197.11777,17
198.95397,57
199.09713,34
199.13361,84
200.93444,13
200.94069,13
201.11271,25
205.12301,30
205.15941,22
207.10215,31
207.13856,11
209.0814,11
209.11797,69
209.15437,15
210.84192,11
211.13353,109
211.16991,81
212.10372,12
213.11288,38
213.14922,75
214.18909,81
216.92928,50
216.96452,17
216.97702,14
219.10217,16
219.13871,13
219.17506,27
220.93593,16
221.11789,43
223.028,59
223.09713,11
223.13368,48
225.00719,18
225.11288,12
225.18558,103
227.1648,25
229.18051,18
231.17503,15
232.92422,153
232.93687,24
233.92385,21
234.15776,47
234.91327,13
237.11286,16
239.05946,18
239.1285,40
239.2013,32
241.18062,26
242.22028,118
247.13368,32
247.17007,20
249.14951,11
250.14453,39
250.15719,16
251.12876,53
251.20144,226
253.10805,19
253.14434,41
253.21432,33
253.21718,3547
254.22059,529
254.90635,12
255.22392,26
255.23021,22
257.17562,12
257.23945,16
260.90151,14
261.11325,28
261.14953,11
263.12872,52
264.16036,20
265.10824,17
265.14458,11
266.80375,43
267.12363,19
267.19664,91
268.80093,129
269.21211,152
270.25185,18
270.79788,72
271.2277,13
274.83483,11
274.88103,15
275.12896,111
276.89653,29
276.9315,12
276.94407,15
277.14446,189
278.14801,12
279.16006,79
281.13932,75
281.24862,70
282.85577,13
284.26749,20
285.20719,18
291.12404,21
291.16027,24
292.89158,33
293.13957,49
294.90691,13
295.15506,28
297.04718,25
297.13431,13
299.0443,12
299.22281,12
305.17603,17
307.15528,18
309.1345,11
309.2802,18
311.17588,43
313.18102,37
315.19664,415
316.19992,78
317.17585,21
317.21236,129
318.21553,17
319.15517,23
319.19168,49
321.17082,61
322.88413,11
325.12946,33
326.75969,38
328.75674,28
329.1759,159
330.18375,16
331.1916,454
332.19509,64
333.17069,27
333.20711,176
334.21072,23
334.23608,98
335.1865,28
337.16596,19
337.21515,46
338.8788,23
343.1553,19
345.1709,170
345.20702,17
346.1741,21
347.18629,242
348.18982,23
349.1656,22
349.20196,64
354.87382,26
360.25167,238
361.16589,79
361.2021,14
361.25502,36
362.26747,197
362.82159,15
363.18158,243
363.23082,125
363.27105,23
364.18484,28
364.23388,14
365.19682,100
365.22785,27
365.24647,95
367.24348,26
370.86867,19
371.06564,12
373.20208,12
373.25979,20
375.27555,15
377.16087,26
379.17641,90
381.19182,30
384.71806,11
386.7152,12
387.2753,15
399.15789,18
401.17385,13
409.23626,13
419.30136,12
442.6768,26
444.6741,22
446.67095,13
455.24204,18
462.3589,19
481.25772,75
481.42614,20
483.27318,548
484.27618,112
489.30688,35
496.28894,18
499.26821,54
502.63294,21
507.4418,29
520.28947,13
522.3047,52
523.26845,70
523.30819,16
524.32098,25
525.26534,17
525.28389,173
526.2874,24
527.25358,98
527.28086,27
527.29952,77
528.25626,11
528.30305,13
529.29645,13
541.23151,17
555.28526,44
555.46372,112
556.46704,21
557.47931,27
579.33872,15
581.47912,111
582.48209,40
583.49518,129
584.49835,37
657.41727,15
658.42473,52
659.42848,20
687.3373,16
689.35226,11
693.39369,15
717.5162,15
737.45198,20
741.516,15
743.53237,33
744.53581,17
745.54732,16
770.88679,13
770.90455,17
770.91724,24
770.9274,19
770.94262,18
770.96801,18
770.97816,15
770.98831,11
771.00989,21
771.02893,14
771.04035,14
771.067,11
924.52567,27
927.50428,25
928.5065,13
