"m.z","int"
117.00362,56
117.02013,48
117.95448,57
120.95398,45
122.97517,87
124.98348,106
124.99077,118
126.98809,36
129.00379,436
131.03442,74
132.98382,49
136.94888,51
142.94983,41
143.99105,57
149.97886,36
150.00848,31
151.07594,43
151.93608,37
152.99549,134
154.01161,36
154.91527,35
154.92762,64
156.99869,218
161.0452,211
166.03989,37
166.99429,32
171.00619,166
171.01467,191
172.00968,42
173.1041,31
189.97592,36
192.97539,35
201.02538,227
208.98307,208
209.01245,36
211.03706,239
213.11336,32
224.95653,63
225.00695,720
234.97682,33
241.00201,154
243.01795,92
253.80926,269
283.04971,815
285.02837,71
299.0441,597
301.21668,489
302.22089,42
411.05862,66
437.20889,106
527.25312,56
529.25704,36
658.42398,50
691.43521,44
719.48842,87
737.45152,804
738.45459,328
739.45971,32
747.44905,68
759.43478,60
761.45377,388
762.45629,98
763.4658,812
764.47231,349
765.47076,1039
766.09893,33
766.13413,35
766.18442,41
766.4762,377
767.47858,357
768.48293,92
785.4504,367
786.45363,120
789.4854,63
791.49873,618
792.503,188
793.50387,33
800.47208,216
801.47734,80
802.48448,51
803.45033,446
804.45578,194
805.46313,57
807.48896,44
810.50648,31
813.48042,192
814.48273,117
827.4967,38
857.50697,607
858.50824,254
859.52321,192
860.52203,52
