"m.z","int"
111.04431,32
116.07902,116
117.95444,22
122.97504,12
124.98364,31
125.09646,28
126.90436,32
127.07582,65
129.00372,28
130.05843,20
130.09484,78
131.07069,38
132.98367,12
135.04456,86
135.92075,18
136.93944,12
136.94894,27
137.02384,11
141.05521,21
141.09157,139
142.94979,24
145.05013,46
145.08638,31
145.94941,13
146.96994,11
149.0602,30
149.97891,19
150.00134,19
151.07586,14
152.03474,42
152.99526,31
153.09157,78
154.91512,12
154.9277,26
155.07082,33
155.10723,171
158.08981,14
159.06579,14
159.10207,28
162.06815,12
163.03953,14
163.07595,37
165.09154,23
169.08645,140
171.00585,69
171.13664,34
172.10553,15
173.08131,47
173.11776,29
177.09153,41
179.10277,89
181.08648,17
183.10215,96
185.06029,11
185.08134,52
187.09704,40
187.1333,18
191.10737,22
195.13858,16
197.08141,33
199.09702,17
199.1335,71
201.11277,15
201.17653,22
205.12291,17
205.15931,594
206.16261,30
209.11787,27
211.03726,46
211.13344,157
211.17,85
213.11279,12
213.14913,55
214.189,96
218.13071,17
219.17497,23
223.02792,116
225.00711,97
225.1855,73
227.16493,25
227.19903,15
229.18044,19
231.17496,16
234.15769,56
239.0594,48
239.12844,15
239.20124,49
241.00191,23
241.18056,11
241.21387,13
242.22023,115
247.17002,135
249.18584,19
250.14448,55
250.15714,42
251.20139,62
253.21714,255
254.2203,17
255.22992,13
269.21209,24
275.20146,12
283.04934,105
297.0469,133
299.04402,89
301.21719,131
330.04481,49
371.06582,82
372.06536,12
404.06353,13
437.20997,14
549.23472,11
719.48715,76
737.45226,82
738.45532,14
751.4196,26
753.43608,22
761.45163,105
762.45538,14
763.46738,241
764.47136,78
765.47105,183
765.48235,13
766.47521,77
767.47379,83
768.47811,29
769.87178,12
769.88191,13
769.8971,17
769.9161,14
769.94397,24
769.95536,13
769.97183,20
769.9807,27
769.99083,20
770.00476,13
770.0187,14
770.0263,24
770.0377,17
770.05037,16
785.45165,126
786.45487,26
786.71905,11
789.48265,21
791.49858,52
792.5015,12
800.47177,145
801.47566,45
803.45131,227
804.45405,76
805.44782,28
805.4668,32
806.45023,16
810.47999,12
813.47988,35
857.50707,22
