"m.z","int"
158.92483,195
168.89892,13
173.91176,23
174.03148,62
176.93543,31
180.9068,128
182.92228,18
184.89351,20
185.90161,27
198.91711,358
200.93285,85
225.00691,50
230.85489,22
231.86215,11
232.87011,13
238.89096,28
240.20451,12
244.87825,17
247.85762,23
251.14822,15
260.84359,19
265.86821,17
266.86098,48
274.83428,11
275.86035,15
276.81571,13
276.84739,14
278.87275,13
278.8838,65
279.23313,13
282.85532,78
283.04945,56
287.85039,29
288.94911,22
293.87171,14
294.84898,30
298.82927,11
299.04377,38
300.8658,455
301.21758,312
302.22054,51
302.88196,13
309.81384,13
310.82109,24
316.83927,59
316.86067,13
318.87656,27
322.82889,12
322.84677,14
340.83931,26
350.81361,12
358.82493,11
362.21271,16
362.82161,98
363.22018,19
364.83759,20
372.88745,15
378.79659,13
380.83279,53
384.80435,50
386.81887,16
395.82045,22
400.77799,17
402.81396,149
404.83071,12
417.80173,12
418.78771,35
420.82543,13
442.78873,21
451.75414,11
464.77083,38
482.78021,19
486.75142,11
497.76573,14
504.76227,52
520.73765,14
527.25412,57
544.7368,12
552.84302,15
555.28319,39
566.71748,21
584.72871,11
606.71203,11
658.42488,11
729.4354,39
735.43809,39
737.4523,189
738.45537,62
739.45572,22
747.41589,14
757.41962,16
761.4545,13
763.46653,76
764.47303,27
765.47148,45
766.47692,20
767.4793,23
767.792,18
767.85759,24
767.90805,31
767.95347,25
791.49941,129
792.50367,49
803.45098,50
804.45643,23
839.49742,36
840.50197,16
943.02998,22
