"m.z","int"
102.06327,23
105.97487,9
107.04935,15
107.94626,10
110.92529,125
111.0192,11
111.04437,44
112.01855,11
112.92233,77
113.01372,62
113.02362,8
113.06003,21
114.0342,49
114.97539,52
115.02942,71
116.04262,15
116.07901,124
116.97305,6
117.00366,35
117.01994,87
117.05492,19
117.95443,445
118.02912,7
118.9399,6
118.94136,565
118.95529,34
119.04949,10
119.95149,108
120.93715,15
120.94448,41
120.95395,117
121.02732,11
122.03661,20
122.9751,227
122.98456,23
123.04442,6
123.99965,10
124.9837,559
125.06011,14
125.09652,27
125.91247,8
125.98446,45
126.9029,17
126.90434,15
126.98124,49
126.98803,11
127.03937,22
127.0758,122
127.98338,12
128.90003,21
129.00377,121
129.04522,6
129.89236,78
130.0584,23
130.09481,106
130.95313,7
131.00129,8
131.02316,9
131.03428,7
131.07074,66
131.88944,72
131.99088,9
132.88568,183
132.94164,68
132.98373,257
133.88654,11
133.9322,58
133.9845,29
134.04668,23
134.88269,11
134.88334,15
134.93871,8
134.96994,19
134.97524,64
134.98137,39
135.04452,139
135.9208,229
135.92926,11
135.94119,27
136.05233,10
136.91717,13
136.92154,11
136.93949,316
136.949,297
136.95213,36
136.99081,7
137.01401,35
137.0238,14
137.03502,7
137.06013,6
137.91782,112
137.94038,16
137.94989,19
138.03446,34
138.91083,10
138.9186,10
138.92034,82
138.93704,12
138.94665,22
139.02242,7
139.02971,146
139.07589,16
139.97095,75
140.02496,12
140.05011,10
140.91741,15
140.96135,35
141.04533,27
141.05516,17
141.09162,135
141.99901,34
142.94994,356
143.94629,12
143.95069,23
143.99094,13
144.04493,10
144.07415,6
144.86921,74
144.94698,88
145.05007,80
145.08643,76
145.94946,142
146.02412,7
146.04547,18
146.86631,56
146.95024,7
146.96999,83
146.98256,26
147.94694,6
147.97084,49
148.0524,6
148.86332,17
148.91933,8
148.94907,10
148.96696,9
148.97958,6
148.9909,13
149.02378,7
149.06025,46
149.09661,9
149.97906,311
150.00139,38
150.94993,39
150.97984,18
151.0759,25
151.89829,38
151.9267,27
151.93614,83
151.94869,9
151.97667,18
152.03478,52
152.91714,15
152.93608,19
152.9787,17
152.98588,58
152.9953,208
153.04535,11
153.09161,92
153.89544,18
153.99917,52
154.01174,9
154.01752,151
154.8979,7
154.90567,260
154.91528,207
154.92774,227
155.0015,387
155.07085,49
155.10727,228
155.9065,12
155.91608,9
156.90272,41
156.91216,48
156.92475,57
156.99726,13
156.99866,7
157.97913,59
158.08984,20
158.92748,36
159.06582,38
159.10211,88
159.12697,8
159.83466,9
159.96531,64
159.97659,6
160.84149,8
160.93659,7
160.94663,8
161.04497,7
161.92699,11
161.93481,54
161.94434,195
161.95693,66
161.9623,11
162.03442,17
162.06806,19
162.95518,96
162.9648,11
163.02969,60
163.03957,13
163.07598,51
163.91553,30
163.94191,10
164.02507,14
164.0501,16
164.08374,20
164.94402,24
164.97631,23
164.98585,65
165.04529,33
165.05523,6
165.09156,38
165.93394,7
165.95663,9
166.04057,9
166.05046,20
166.99445,48
167.01275,75
167.07085,14
167.10722,27
168.02964,7
168.91611,17
169.08647,231
170.12621,7
170.88331,32
170.89284,21
170.91311,6
170.94477,32
171.00587,221
171.01449,9
171.06581,20
171.13653,43
171.96522,18
172.00975,11
172.10555,31
172.9576,6
172.96623,13
173.08133,63
173.11778,55
173.1452,6
174.89987,7
174.99439,14
175.9452,47
176.90029,170
176.9321,12
176.94172,64
