"m.z","int"
105.95958,10
110.92526,19
111.04434,12
112.92229,14
115.02939,7
116.04273,6
116.07905,53
117.01991,13
117.95447,63
118.94133,56
119.95145,15
120.95391,14
122.97506,6
124.98366,57
125.09648,8
126.90294,7
127.07575,23
129.00373,32
130.09485,38
131.07079,20
132.94169,9
132.98377,14
133.93206,9
135.04457,42
135.92075,49
136.93954,239
136.94904,14
137.91777,15
137.94033,15
138.92029,23
138.93709,23
139.02966,13
141.09156,56
142.94989,65
144.94692,11
145.05002,19
145.08648,19
145.94941,17
146.97004,25
146.9825,12
149.06019,6
149.979,37
150.00144,7
151.89834,8
151.92664,34
152.03472,11
152.91707,22
152.99524,6
153.09155,34
153.89538,7
154.90573,165
154.9151,26
154.91819,15
154.92767,41
155.07091,13
155.1072,80
155.90644,9
156.90266,34
156.92468,10
158.92741,10
159.06576,6
159.10216,24
159.96513,10
161.93487,60
161.94427,15
163.07591,17
163.91558,15
165.09162,13
166.99438,7
167.10727,7
169.08653,74
170.88323,18
171.0058,6
171.13646,11
172.10547,6
173.08139,13
173.11784,14
175.94526,11
176.90007,17
176.93202,6
177.09146,15
178.95004,8
179.10284,29
179.1071,6
181.08655,11
182.94662,12
182.97435,6
183.10207,35
184.89376,7
185.06036,8
185.0814,24
185.9017,14
187.0971,21
187.13352,6
191.10727,16
194.93017,19
194.93953,6
195.13864,16
197.08146,13
199.09708,13
199.13356,36
201.11266,9
201.17675,7
201.9274,7
201.93693,7
205.15936,117
208.98281,21
209.11792,68
211.13366,104
211.16986,36
212.86442,11
212.87399,6
212.89627,18
212.90585,6
213.14916,37
214.18885,37
214.89361,11
216.90593,6
216.90896,31
218.13074,19
219.175,13
219.92542,18
219.93489,7
223.02795,67
225.00714,32
225.18553,36
227.16495,11
227.19905,6
228.87388,8
229.18045,6
230.8623,11
230.94259,7
231.17497,9
232.85948,6
234.1577,24
234.859,9
237.89158,7
238.87851,25
239.0594,28
239.20124,16
241.18034,7
242.22045,70
244.92089,6
247.17001,54
250.1447,35
250.15713,28
251.20138,12
253.21712,319
254.22028,27
255.2299,15
264.1603,7
269.21204,10
275.20141,6
283.04927,11
284.26743,9
296.83749,13
297.04711,69
299.04423,17
301.21739,548
302.22065,89
303.23268,8
317.21194,6
327.23286,38
330.045,20
337.19414,10
371.06598,12
389.23677,9
405.26773,10
415.2521,7
417.26805,208
418.27139,27
445.29894,9
475.22675,22
516.25756,6
519.237,34
521.22283,83
522.22604,7
537.21768,16
552.59309,6
555.18353,119
556.18687,17
557.18044,35
583.21523,6
658.42459,6
737.45182,7
763.46687,7
767.48715,11
770.81051,7
770.82446,9
770.84984,16
770.86379,18
770.87521,17
770.88283,19
770.89044,15
770.90059,17
770.90947,15
770.92216,16
770.94501,11
770.95643,14
770.96531,12
770.978,11
770.98689,12
771.00846,11
771.01862,11
801.47506,6
803.45071,59
804.45479,18
805.44721,7
865.44191,6
