"m.z","int"
102.06335,45
103.03924,18
107.04944,136
107.98665,6
107.99144,146
108.90118,11
108.98787,387
109.02424,15
109.02876,80
109.06508,18
109.97935,9
110.89817,8
110.92525,33
111.00799,15
111.01922,64
111.0444,303
111.08076,22
112.92228,15
113.02366,99
113.03491,30
113.06007,152
113.09649,8
113.99771,6
114.019,11
114.02377,29
114.03423,15
114.05524,6
114.93721,53
114.97542,9
115.02009,222
115.02945,16
115.03852,11
115.98917,9
116.04273,122
116.04992,11
116.07089,12
116.07912,476
116.9341,13
117.01863,10
117.01998,88
117.03394,121
117.05503,133
117.07989,7
117.95447,63
118.02916,38
118.05022,52
118.93294,14
118.94133,508
119.0496,305
119.95145,8
119.99243,9
120.04481,15
120.05292,6
120.93711,8
120.95399,12
120.97639,22
120.98885,83
121.02736,32
121.06526,53
122.02411,23
122.03665,152
122.97506,23
122.9846,23
123.00806,39
123.04454,70
123.08088,27
123.98652,10
124.01599,21
124.983,10
124.98367,56
125.02385,61
125.03504,32
125.06024,138
125.09657,292
125.91244,9
126.9032,21
126.90439,7247
126.98808,11
126.9986,22
127.03951,138
127.05071,172
127.07585,565
127.1122,37
128.03469,208
128.07919,6
129.00383,48
129.01877,10
129.89233,72
130.05845,165
130.08677,27
130.09486,477
130.98011,6
131.02322,10
131.03442,66
131.04563,95
131.0708,289
131.08201,31
131.88941,78
132.02969,59
132.03095,6
132.03446,7
132.04498,9
132.88565,196
132.9417,34
132.99578,6
133.03089,74
133.06537,94
133.88651,15
133.93217,7
134.0242,8
134.04665,161
134.06054,13
134.88275,9
134.88331,13
134.91545,60
134.93877,6
134.96005,6
134.9726,313
134.97548,6
135.04468,600
135.08097,24
135.92077,47
135.94125,17
135.97509,11
136.01608,50
136.03988,13
136.04797,12
136.05248,110
136.91724,49
136.93956,35
136.94906,51
136.9521,18
136.96835,10
136.97148,91
136.98394,33
137.00314,8
137.02386,162
137.03518,38
137.06029,51
137.09664,23
137.91788,23
138.03174,11
138.05558,10
138.9143,18
138.92031,28
138.95196,67
138.98712,43
138.99965,12
139.00315,6
139.02259,59
139.02968,25
139.03959,37
139.05077,25
139.07595,120
139.11233,30
139.97092,41
140.04752,6
140.05008,11
140.07121,6
140.91738,7
141.01889,11
141.0454,10
141.05533,129
141.06655,24
141.09169,747
141.12806,22
142.06572,15
142.09494,22
142.89947,11
142.94992,62
142.99806,111
143.03446,31
143.94636,14
143.99101,17
144.00361,153
144.01283,7
144.04501,87
144.07422,65
144.86918,88
144.94695,12
145.00935,21
145.01142,13
145.05015,365
145.06133,2590
145.08651,302
145.0978,108
145.11158,20
145.11397,22
145.94943,24
145.98906,9
146.02431,85
146.04544,874
146.0535,6
146.0647,92
146.86629,75
146.96542,8
146.97007,87
146.98264,379
146.9856,13
147.04467,20
147.04879,15
147.0656,7
147.08104,22
148.05259,30
148.8633,15
148.96705,10
148.97966,95
148.99076,142
149.00316,85
149.02398,61
149.06033,299
149.09669,121
149.95977,549
149.97904,63
150.00147,207
150.00866,30
150.04167,42
150.05562,10
150.06368,9
150.06815,33
150.88616,8
150.95936,6
150.96761,94
150.98839,20
151.006,9
151.05089,6
151.07599,175
151.11243,12
151.89837,8
151.93623,30
151.94877,30
151.95544,47
152.03487,259
152.04298,7
152.07122,6
152.88315,11
152.93606,8
152.93886,146
152.94391,16
152.9531,16
152.9678,8
152.97071,49
152.98586,8
152.99539,711
153.05532,58
153.06655,22
153.0917,503
153.12809,10
153.93911,10
153.99903,9
154.01183,97
154.0141,19
154.0175,809
154.06306,18
154.0871,6
154.09515,12
154.09946,6
154.90577,214
154.91525,117
154.91834,15
154.91983,98
154.92783,538
154.93332,8
154.93446,21
154.93595,24
154.94704,4059
154.95001,8
154.95939,1119
155.00148,908
155.01292,195
155.03455,11
155.07095,327
155.08217,69
155.10736,752
155.90648,25
155.94653,386
155.959,19
156.00485,10
156.01329,11
156.07419,8
156.11061,32
156.90142,8
156.9027,35
156.91226,7
156.91669,58
156.92484,170
156.92647,23
156.93603,127
156.94268,60
156.94384,222
156.94839,17
156.95118,19
156.95515,45
156.95631,16
156.96261,96
156.99724,18
157.01147,21
157.0502,40
157.83677,37
157.98076,7
158.00666,12
158.0606,13
158.08994,170
158.12495,6
158.12919,22
158.91475,36
158.91558,29
158.93411,6
158.94361,10
158.95157,51
158.95347,19
158.95811,6
159.02942,32
159.06581,189
159.10221,348
159.12719,65
159.12969,59
159.83476,96
159.96134,12
159.9653,9
159.96794,82
159.97273,58
160.04005,20
160.8416,8
160.91176,21
160.93403,9
160.95981,8
160.96913,352
161.04508,80
161.06034,9
161.83271,21
161.94445,35
161.95703,37
162.05569,12
162.06816,172
162.83869,10
162.91041,8
162.92298,6
162.95677,7
162.96478,25
162.96762,25
163.0298,8
163.03967,90
163.06115,7
163.07609,289
163.11239,6
163.91563,11
163.97935,62
163.98732,23
164.07114,22
164.07936,8
164.08385,271
164.95657,8
164.97566,158
164.98358,93
164.99602,10
165.04528,6
165.05521,62
165.09167,231
165.97499,10
166.01417,11
166.04004,59
166.04372,10
166.05045,114
166.06301,6
166.09498,7
166.97128,39
167.01273,149
167.01977,8
167.03461,11
167.0373,30
167.07084,107
167.08223,36
167.10733,206
167.14358,8
167.95785,73
167.99373,7
168.0149,6
168.02743,11
168.02975,62
168.83582,31
168.89905,8
168.94838,15
168.99004,12
168.9989,8
169.05023,18
169.06548,6
169.08659,996
169.0978,6
169.15935,15
170.02771,29
170.08989,29
170.12633,42
170.83285,35
170.8833,28
170.89283,7
170.90184,36
170.92277,8
170.93695,51
170.94185,182
170.9543,111
170.97047,7
170.98691,6
171.006,156
171.00785,11
171.02708,34
171.06593,140
171.10029,11
171.13666,170
171.93513,49
171.94155,12
172.05254,8
172.10567,223
172.14008,16
172.1449,25
172.82983,16
172.83158,6
172.88022,7
172.88601,13
172.89882,14
172.9309,18
172.934,14
172.9495,7
172.95571,6
172.95746,2396
172.96987,157
173.00858,28
173.02356,47
173.08145,309
173.10387,29
173.11791,273
173.14276,56
173.14532,83
173.91209,10
173.93071,37
173.93207,17
173.93874,10
173.9571,199
173.98063,23
174.00159,9
174.01656,19
174.82858,6
174.883,11
174.90425,32
174.93703,58
174.94664,284
174.95322,161
174.95432,126
174.96173,9
174.96529,7
174.97709,27
175.02431,267
175.03968,6
175.86525,8
175.9308,12
176.02782,7
176.08391,11
176.90014,164
176.90977,105
176.92902,1270
176.93544,17
176.94172,6
176.96404,29
176.98331,50
177.05521,88
177.06653,38
177.09167,308
177.92858,111
177.94856,6
177.96615,51
178.05049,8
178.09501,14
178.89719,40
178.90003,6
178.90684,23
178.91805,105
178.92472,20
178.92585,52
178.94458,22
178.96261,29
178.96644,61
178.9724,27
178.97978,25
179.01101,6
179.05575,47
179.07095,54
179.10292,502
179.10732,155
179.91522,122
179.95328,19
179.95485,23
179.95772,6
179.95958,17
179.96273,194
179.97432,8
180.01297,10
180.02987,15
180.06625,33
180.10622,6
180.93373,16
180.94355,16
180.94961,77
180.95596,173
180.97068,52
180.97847,10
181.00936,22
181.05023,7
181.08663,261
181.0979,65
181.12304,127
181.15932,14
181.91218,60
181.97853,6
181.99789,10
182.04535,14
182.08992,6
182.09443,6
182.89434,9
182.91311,7
182.9225,18
182.94171,13
182.94509,16
182.9467,47
182.95125,7
182.95903,23
182.9715,8
182.9941,22
183.00437,18
183.06588,62
183.1023,480
183.91005,45
183.93519,229
183.93904,23
183.99614,24
184.07369,6
184.10553,16
184.10879,6
184.14197,23
184.89385,8
184.93887,6
184.94021,12
184.94379,25
185.06045,144
185.08149,394
185.90179,6
185.90705,19
185.93214,70
185.96928,13
185.981,8
185.99183,7
186.02537,7
186.08495,12
186.12122,52
186.91435,39
186.96557,68
187.04153,29
187.09719,345
187.13361,210
187.16093,11
187.90498,20
187.90589,16
187.93094,44
187.95706,8
188.02216,33
188.035,12
188.10044,6
188.91135,21
188.95245,69
188.96493,23
189.01853,235
189.04534,6
189.09189,7
189.12812,21
189.90193,7
189.92365,17
189.95236,94
189.97099,9
189.97565,24
190.89188,8
190.93614,8
190.97212,33
190.99496,39
191.01938,15
191.05569,130
191.07104,35
191.10737,354
191.92048,8
191.92884,7
191.94807,11
191.99143,285
192.11072,11
192.87403,22
192.88371,26
192.90293,40
192.91484,27
192.92374,16
192.97061,26
192.98778,392
193.01019,12
193.05026,7
193.07141,30
193.08668,81
193.12295,64
193.94337,171
193.95426,17
193.96691,106
193.98693,8
194.08195,58
194.09445,92
194.85027,9
194.87107,7
194.88091,7
194.91172,18
194.92705,7
194.93011,13
194.93947,831
194.9448,6
194.95206,153
194.98337,10
195.00548,7
195.06604,17
195.10238,87
195.11353,11
195.13874,237
195.93677,106
195.93904,46
195.94034,85
196.06121,8
196.14213,10
196.88096,15
196.9106,9
196.91912,13
196.92862,99
196.93059,62
196.93518,92
196.93649,22
196.93845,9
196.9414,11
196.94468,20
196.94599,11
196.94763,9
196.95107,12
197.02008,6
197.08157,389
197.11799,143
197.19069,12
197.9348,8
197.93827,70
197.95775,110
197.9703,29
198.02349,8
198.08496,15
198.0871,6
198.08942,23
198.1577,29
198.90496,16
198.90812,6
198.92259,7
198.92442,9
198.92742,29
198.93158,8
198.94605,26
198.95403,604
198.96651,235
199.0201,29
199.0221,10
199.06072,10
199.09719,268
199.13367,509
199.91294,6
199.93523,39
199.95367,38
199.99122,9
200.13701,26
200.17612,11
200.908,12
200.92134,6
200.92539,25
200.93468,17
200.94329,52
200.94464,7
200.94971,19
200.95089,10
200.95443,6
200.96187,53
200.99176,15
201.03772,361
201.07642,10
201.11294,181
201.1493,58
201.17433,80
201.1767,187
201.87921,7
201.90166,6
201.90795,8
201.93398,28
201.93687,10
201.98826,24
202.09961,10
202.92242,19
202.92345,14
202.93939,6
202.95756,9
202.96064,31
203.01396,22
203.02031,38
203.14367,6
203.94334,9
203.94472,9
203.96838,6
203.97494,14
203.97978,30
203.99152,19
204.00413,18
204.11508,36
204.9212,7
204.93963,20
204.94102,80
204.97616,85
204.99234,21
205.01723,16
205.08668,30
205.12308,175
205.15948,2674
206.00125,6
206.16278,329
206.93888,8
206.94612,10
206.96907,20
