"m.z","int"
101.02359,136
121.02742,6
124.9908,10
129.93812,6
131.03439,15
139.07598,6
158.92491,11
180.907,17
198.91753,83
200.93309,17
214.89154,30
216.90707,10
232.90197,8
266.86049,7
276.84761,7
300.86617,19
301.21733,79
302.22059,6
316.84022,27
332.81417,6
765.49268,11
765.50398,10
765.51402,11
765.52658,9
765.53914,10
765.54667,11
765.563,8
765.57179,10
765.57932,12
765.58686,13
765.59565,16
765.60946,14
765.62077,14
765.63333,13
765.64086,15
765.65845,11
765.67854,12
765.69864,7
765.71246,6
765.71874,7
