"m.z","int"
102.06338,37
103.03923,35
109.02872,6
111.01927,10
111.04445,71
111.08081,8
113.02372,41
113.06006,57
116.04274,71
119.04957,10
121.0275,33
122.03672,30
123.04454,6
125.06025,26
125.09657,25
127.03953,82
127.11231,13
130.05859,101
130.09491,121
131.03448,27
133.06536,18
136.01609,13
136.05249,9
137.02397,40
137.03519,14
139.03962,6
139.07598,12
141.05538,43
141.12801,11
144.07429,46
145.11156,7
146.02429,11
148.05259,7
149.00921,63
149.02398,25
149.06033,61
150.00148,56
151.07601,9
152.0349,24
153.05525,6
153.09174,119
154.01415,6
155.071,94
155.10741,189
157.05027,14
157.83673,6
158.09002,70
159.12716,13
159.12966,7
159.83473,14
162.06828,25
163.03967,33
163.07609,51
164.08386,17
165.05535,8
165.09169,8
166.04007,8
166.05047,6
167.071,16
167.10736,20
168.02979,13
170.08995,8
171.13685,36
172.10561,59
173.11785,99
173.14284,10
173.14541,16
177.05533,15
177.0665,7
177.09179,92
179.10291,80
181.08663,24
181.12305,14
183.13876,136
185.06033,7
186.12127,11
187.13367,58
191.10746,66
194.0944,6
195.1387,27
197.11796,32
199.09734,52
201.11295,64
201.1493,13
201.17688,15
205.08655,6
205.12312,36
209.15434,8
211.09714,6
211.1337,74
213.14941,99
215.12863,17
223.0281,84
223.17014,13
225.14944,15
226.18911,10
227.12861,7
227.16514,34
229.14426,25
229.18066,39
229.20802,15
230.15213,29
233.15219,8
236.14158,7
237.18584,16
239.0595,57
239.12876,35
241.1809,42
241.21399,39
243.15995,13
249.14964,6
251.20159,11
254.22076,40
255.19656,30
255.23015,31
257.17583,31
257.23966,13
258.1837,34
264.16064,8
265.21732,8
267.23321,21
269.21244,71
270.25219,33
271.19151,12
272.19936,22
277.21738,13
279.23297,22
283.22806,6
284.26771,78
285.20742,7
286.21523,44
288.23069,16
297.04723,14
297.2437,8
297.28016,10
299.22288,21
301.21755,98
302.22082,24
303.23317,6
317.21226,10
327.23293,16
328.76416,6
329.24886,13
402.02771,6
481.25765,38
482.26067,7
485.18405,6
553.26906,32
555.28513,62
556.28797,14
613.23263,8
614.23498,6
658.42461,15
763.46793,31
764.47066,6
765.47287,6
765.48417,6
767.47942,10
767.4895,7
767.50085,8
767.51976,14
767.52984,11
767.54497,8
767.55884,10
767.57018,18
767.59035,15
767.60296,15
767.61683,11
767.6244,11
767.64961,8
767.66474,6
767.68114,9
767.72023,6
767.77194,6
767.78833,8
767.80473,6
767.84762,7
767.85771,7
924.52686,7
925.53094,8
