"m.z","int"
102.06337,12
103.03934,18
107.99145,9
108.98789,22
111.04444,36
113.02371,23
113.06012,17
116.02354,6
116.04273,23
117.02006,16
117.95456,43
119.04963,12
119.95156,7
120.95411,11
120.97635,11
120.98882,39
121.02749,6
121.06531,117
122.03671,6
124.98375,110
125.06024,8
125.09656,7
125.98459,6
127.03952,34
129.00386,48
130.05858,27
130.09499,38
130.88875,8
131.03447,10
132.03452,17
132.94176,10
133.93224,17
134.97268,34
135.92086,12
136.93966,30
136.97149,47
137.02396,28
137.03528,7
138.95208,15
138.98724,12
139.0298,7
139.07607,10
139.97104,8
140.96146,18
141.05527,8
141.99923,17
142.95007,34
143.99107,6
144.00357,21
144.07429,10
145.94951,10
146.97016,47
148.96705,8
149.0092,25
149.02398,15
149.06033,10
149.0968,15
149.95988,39
149.97915,43
150.00148,15
151.076,8
152.03489,9
152.97075,10
152.97882,7
153.09173,39
153.9993,21
154.01188,26
154.9057,6
154.92788,11
154.95955,494
155.01309,20
155.071,45
155.10741,72
155.94671,76
155.95906,13
156.94286,11
156.94391,47
156.9551,10
156.95626,7
156.96268,61
156.99882,7
157.01142,26
157.05015,9
157.1217,7
157.97683,6
158.09002,26
158.92754,11
159.83473,8
159.96539,18
159.97283,10
160.96924,47
162.06827,6
162.99216,10
163.03967,11
163.07608,18
163.9872,15
163.99978,7
164.9807,8
164.98359,26
164.99603,17
165.09169,6
166.99459,22
166.9992,6
167.00137,11
168.02979,7
168.94842,25
170.94204,47
170.95437,9
170.97067,12
171.01468,13
171.02714,27
171.13685,19
172.00981,32
172.10574,27
172.97008,66
173.0235,8
173.11799,36
173.95719,55
174.95332,12
174.95442,30
174.97747,6
174.9997,6
176.94183,6
176.98342,19
177.05533,10
177.09179,41
177.9287,6
178.9626,6
179.10291,20
179.95972,29
180.94355,23
180.95596,163
180.95842,18
181.01038,6
181.08678,15
181.95556,7
181.99791,31
182.01028,9
182.94687,7
182.95905,31
182.97152,8
182.97446,7
182.99427,46
183.0066,18
183.13876,54
183.93552,12
184.94383,7
186.96563,15
187.13352,10
187.98493,7
187.98738,13
188.95268,27
188.98117,17
189.01861,11
189.97589,10
191.10746,19
191.99138,14
192.97565,6
192.98773,18
192.9979,17
193.0103,18
193.96703,10
194.9396,79
194.94493,35
194.95203,12
195.13871,8
197.00514,19
197.11797,13
197.95774,44
197.97013,10
198.9191,27
198.92459,7
198.93141,9
198.95403,179
198.96651,54
199.0201,10
199.02226,12
199.09735,23
199.95367,14
200.9509,7
200.96188,11
200.96509,11
200.98215,9
201.02523,33
201.11296,28
202.97216,7
203.96842,11
203.97982,14
204.11529,59
204.94107,24
204.97621,41
205.12313,17
205.95346,7
206.95236,6
206.99402,26
208.95795,17
208.96815,7
208.9703,65
208.98302,43
208.99072,10
208.99287,14
210.90473,10
211.00845,12
211.13371,21
213.14942,30
214.91406,214
214.92657,150
214.94918,9
214.9617,8
214.98076,10
215.91366,15
215.92588,9
215.96821,10
215.98063,7
216.03427,7
216.91078,16
216.92953,70
216.94203,14
216.96476,62
216.97727,64
217.01176,11
217.03052,9
218.96695,13
219.00672,8
219.93523,7
219.93968,26
219.96327,35
220.93622,106
220.94129,12
220.94868,12
220.99055,18
221.01217,14
222.98903,7
223.02832,49
223.95433,8
223.96684,20
224.95071,30
224.96311,42
225.00733,20
225.89195,14
226.95826,10
226.96617,10
226.9684,114
226.97853,9
226.98076,45
227.12883,7
227.16496,8
227.19926,15
227.93744,8
227.96805,7
228.97657,6
229.14408,6
229.18069,20
229.20805,6
229.97651,8
230.92142,9
230.99196,7
231.97497,6
232.92465,531
232.93709,152
232.94952,11
232.97102,9
233.92407,58
234.92161,37
234.9325,10
235.01343,9
236.0085,7
236.90135,16
236.98243,9
237.0019,9
237.00514,32
237.01747,11
237.18587,10
239.05953,20
239.12879,22
241.1807,18
241.21424,25
241.96491,13
241.9774,17
242.89112,7
242.92614,8
242.93871,40
242.96138,39
242.97373,26
243.1964,43
243.90237,6
244.94176,7
244.95971,12
244.97903,15
245.99078,8
246.98717,16
247.17044,6
248.91971,42
248.94835,12
250.94784,28
251.00135,29
251.20162,88
251.98117,6
252.97748,71
252.97987,9
253.14454,6
253.21404,32
253.93412,19
254.2208,336
254.90681,173
254.91188,10
254.91912,35
254.98066,13
255.01566,6
255.19659,9
255.23019,31
255.90622,9
257.17586,9
257.2123,8
257.23969,9
257.93723,25
258.18374,9
258.88636,23
258.89871,10
258.92143,10
258.93378,136
258.94613,19
259.93338,13
260.00644,11
260.92903,7
260.93228,17
260.93703,34
260.94928,19
260.98427,6
261.00276,28
262.98991,50
263.94701,15
264.90831,14
264.91368,6
264.94359,46
264.95586,8
265.18101,7
265.92243,16
266.94212,14
267.19674,105
267.23325,20
267.97394,7
268.20008,6
268.97042,12
269.21249,319
269.89912,32
269.97957,18
269.99167,6
270.21563,16
270.25224,21
270.88073,6
270.95316,34
270.9759,81
270.98807,41
271.2281,42
272.99133,7
274.8812,76
274.89363,75
274.90579,9
274.94795,15
275.88063,12
275.91623,10
275.93552,20
275.94775,11
276.00156,13
276.89673,56
276.90929,34
276.93197,123
276.94454,64
276.99782,39
277.93163,12
278.91241,6
278.93036,17
279.23329,33
279.90699,9
280.90328,48
280.90858,16
280.95771,12
282.91893,8
283.0496,7
283.19166,31
284.26776,30
284.97204,26
285.20747,34
286.21528,22
286.93344,8
286.94813,159
287.87482,6
287.90465,20
287.94781,13
287.98982,7
288.88284,6
288.9865,51
292.89194,126
292.90442,93
292.91661,8
292.94633,23
292.95792,6
293.8915,11
293.90375,11
294.89949,24
294.90729,18
294.9199,11
294.97336,6
296.98447,7
297.04729,13
297.24376,7
298.87894,19
298.91387,20
298.91938,10
298.92643,43
298.98987,8
299.04443,47
299.22294,7
300.93701,11
301.93203,6
301.94448,21
302.89324,7
302.90605,10
302.92825,19
302.94106,65
303.86972,14
304.92132,6
304.93584,6
304.94625,52
304.95857,24
306.96186,11
308.89932,9
309.9723,8
310.9023,25
310.91497,28
310.96828,38
311.17613,19
311.29592,6
312.9222,7
312.94451,16
314.87405,50
314.87902,13
314.88631,36
314.89889,7
314.92838,8
314.9476,7
317.05497,13
317.90445,13
318.8883,24
318.90079,71
318.91328,14
319.90012,9
320.88099,6
320.89598,11
320.90382,17
320.91643,42
320.95154,7
322.95675,91
323.91404,6
324.91066,15
324.92281,7
326.93352,27
328.94385,7
329.24894,12
330.91995,7
330.94279,8
330.95528,29
332.88438,27
332.95064,9
334.88344,6
335.91509,20
336.87636,18
