"m.z","int"
101.02349,114
106.98544,22
108.93662,7
113.01371,8
114.97532,13
115.02942,13
117.0036,30
117.01989,7
117.95446,105
118.95524,7
119.95153,30
120.95408,18
121.02737,12
122.97509,50
123.92388,7
124.98362,107
125.98447,11
126.90291,6
126.98118,7
127.98332,13
128.89998,8
129.00372,68
131.03442,6
132.94171,8
132.9837,7
133.93219,24
134.96984,19
134.97514,13
135.92071,35
135.92916,7
136.93171,6
136.949,9
136.96155,8
137.91543,10
137.91774,22
138.01679,13
138.92037,11
139.02964,16
139.97088,9
140.91755,10
141.99906,28
142.9499,58
143.9909,9
144.94695,19
144.99879,13
145.94954,28
147.97083,8
149.97907,38
152.93612,20
152.97873,21
152.9858,8
153.99909,20
154.01167,25
154.9151,6
154.92778,70
156.92481,16
156.99873,18
157.01132,7
157.05017,9
157.94731,10
157.97909,13
159.96529,40
161.94433,7
164.95647,14
164.98059,6
164.98586,13
166.99435,34
171.01442,14
171.02701,6
171.13659,6
172.00968,17
175.94516,12
178.97225,12
180.93374,6
180.95812,7
189.97587,26
192.97547,19
197.00495,16
201.0252,11
208.9828,31
225.00706,74
230.15187,8
237.00181,7
282.96589,6
283.04915,26
299.04423,33
301.21741,67
765.45279,6
765.46786,8
765.48418,6
765.50051,8
765.51181,6
765.52311,7
765.5319,10
765.55073,12
765.57711,12
765.58841,11
765.60348,12
765.60976,13
765.62734,12
765.64241,12
765.67004,10
765.68637,9
765.69517,9
765.71024,11
791.49936,6
