"m.z","int"
104.9796,6
105.97489,14
106.98545,9
110.92525,48
111.01915,6
111.04433,9
112.92235,20
113.01375,14
114.03416,18
114.97542,31
115.02945,30
116.04265,6
116.07904,62
117.01997,53
117.05495,11
117.95446,205
118.94132,6
118.95524,10
119.04952,9
119.95152,42
119.95198,24
120.95405,18
122.97505,37
123.9996,7
124.98365,351
125.09655,11
125.9125,10
125.9844,20
126.90301,11
126.90437,6
126.98119,30
127.0394,6
127.07583,47
127.90954,6
129.00381,19
130.05852,10
130.09484,51
131.02311,6
131.07078,18
132.88562,7
132.94167,55
132.98376,6
133.06526,6
133.93214,11
134.04671,12
134.93874,13
134.97518,11
135.04456,54
135.92074,120
136.92157,6
136.93953,36
136.94903,24
137.01404,7
137.91785,58
138.03449,11
138.92038,21
139.02965,48
139.97088,91
140.96129,9
141.09155,69
141.96846,7
141.99915,15
142.94988,246
143.94632,7
143.95072,19
144.86914,10
144.94691,62
145.05011,29
145.08647,23
145.9495,41
146.0454,11
146.86624,8
146.94457,7
146.97002,46
146.98259,23
147.97077,6
148.967,7
149.06028,16
149.9791,233
150.00142,11
150.97988,17
151.89843,21
151.9766,24
152.03482,35
152.97874,12
152.99523,8
153.09165,35
153.89536,8
153.99909,21
154.01167,14
154.90571,18
154.9152,24
154.92777,53
154.94687,10
155.07089,15
155.1073,76
156.92479,10
157.97905,15
158.92751,29
159.06574,15
159.10214,30
159.96523,26
161.93485,9
161.94438,21
161.95685,11
162.03446,8
162.0681,11
163.02973,16
163.0759,12
163.91557,8
164.97635,15
165.04534,13
165.0916,14
165.93398,6
166.99436,38
167.01266,8
167.10726,6
168.91602,6
169.08651,110
170.89275,6
170.94468,9
171.13671,22
172.00979,11
172.10545,8
172.95738,13
173.08137,23
173.11769,15
174.89978,7
175.94524,21
176.94163,9
177.09158,20
179.10282,59
181.08653,15
181.12294,6
181.92896,7
182.9466,8
182.97433,24
183.1022,38
185.06019,7
185.08139,31
187.09709,27
187.1335,12
189.04538,10
189.97165,6
189.97584,7
191.10741,15
193.91139,8
194.93935,7
195.13862,20
195.90851,7
197.00503,7
197.08144,24
197.11786,7
199.09722,17
199.13354,51
200.94045,11
201.11281,11
201.93691,13
203.94027,7
205.12294,14
205.15934,286
206.16281,18
207.96971,11
208.98297,20
209.1179,29
211.13364,62
211.17002,51
212.87379,6
213.14933,34
214.18901,51
218.13091,33
219.90297,8
219.93487,9
222.96692,6
223.02812,28
223.13361,8
223.16977,7
223.91916,9
225.00712,101
225.18571,40
226.93229,9
227.16493,8
227.19923,11
231.17495,10
234.15768,27
239.05938,17
239.12864,12
239.20122,15
240.96507,9
241.00211,12
241.18054,8
241.21385,10
242.22043,78
247.17022,27
247.93036,7
249.1858,7
250.14467,33
250.15734,21
251.20136,13
253.2171,97
255.23012,15
257.17578,10
258.93145,8
260.92891,7
264.16027,6
265.96056,6
269.21202,18
270.25202,9
275.20165,9
282.95328,8
283.04953,68
284.2674,13
297.04708,31
299.0442,77
301.21736,114
302.22062,9
330.04461,8
357.00278,6
737.45175,8
763.46805,52
764.47078,12
765.47172,18
765.48302,7
771.14167,7
771.15183,9
771.15944,9
771.17214,12
771.18484,13
771.1988,16
771.20896,15
771.22927,17
771.24959,18
771.25848,16
771.27626,13
771.28515,23
771.29785,17
771.30673,20
771.31689,12
785.45233,60
786.45423,19
791.49793,21
792.50217,13
802.48615,7
803.45063,12
805.46747,6
847.56302,12
