"m.z","int"
102.06327,19
104.92718,40
107.04942,42
111.04431,83
113.05997,48
116.0427,28
116.07902,335
117.055,25
119.91442,47
120.95395,17
122.03661,38
123.0445,19
123.94581,74
125.06011,18
125.09652,72
127.0758,228
127.11215,22
129.00378,21
130.0584,60
130.09481,243
131.07075,90
132.98364,20
133.06532,29
135.04462,182
136.01602,21
136.05242,25
136.94909,57
137.0239,32
139.02252,19
139.07589,23
141.05516,23
141.09162,276
145.05008,112
145.08644,83
146.02423,22
149.0239,26
149.06025,67
149.09662,39
150.00139,121
151.0759,33
152.03479,94
152.99531,31
153.09161,157
155.00151,19
155.07086,103
155.10727,371
158.08985,31
158.95148,59
159.06571,57
159.10211,113
159.1271,31
162.06818,32
163.03957,23
163.07599,133
164.08375,86
165.09157,63
165.95651,17
166.03994,18
166.05034,36
167.07086,22
167.10722,32
168.02964,19
168.89893,132
168.94826,19
169.08648,368
170.12621,16
171.00588,81
171.06582,43
171.13667,92
172.10555,49
173.08133,107
173.11779,97
173.1452,19
173.91196,87
174.94651,30
176.87993,17
176.93545,58
177.05523,17
177.09155,131
179.10279,213
179.10719,25
181.08664,64
181.12291,60
181.89707,21
182.92251,69
183.10216,175
183.88611,23
183.91272,76
184.894,109
184.92054,24
185.0603,35
185.0815,157
185.90179,111
186.12123,19
187.09705,127
187.13347,64
191.10737,121
193.86013,58
194.08163,21
194.09429,22
195.13858,151
197.08141,124
197.11782,38
198.90496,30
199.09719,96
199.1335,195
200.17629,16
201.11277,55
201.17416,21
201.1767,44
205.1229,59
205.1593,1246
206.16277,132
207.10239,17
207.13862,40
209.11786,87
209.15425,45
210.86304,16
211.03724,29
211.1336,291
211.16998,244
211.87085,19
212.87872,107
213.11276,29
213.14929,189
214.18897,223
214.88253,43
214.8915,20
214.91241,24
216.91553,16
218.13087,199
219.17513,101
221.15442,16
222.15315,45
223.02808,168
223.13356,30
223.16993,35
225.00707,43
225.14921,20
225.18566,194
227.16488,59
227.91247,18
229.14419,18
229.1806,46
230.85496,65
231.17491,83
231.86262,36
232.87037,31
232.90197,16
233.15188,25
234.15764,171
235.13358,25
236.14145,62
237.1857,32
238.89135,23
238.91018,19
239.05934,60
239.1286,111
239.2014,126
241.18071,81
241.2138,39
242.22038,280
242.88955,25
243.15975,17
243.89265,18
244.86585,32
244.87834,25
245.84214,35
246.87648,33
247.17017,260
247.85789,88
248.17791,81
248.86565,25
249.14938,24
250.14463,207
250.1573,201
251.20131,77
253.21705,252
254.22045,17
255.19648,21
255.23007,26
256.82401,22
257.17573,25
257.23956,23
260.84368,65
260.90038,18
262.87169,25
264.16048,29
264.86082,23
265.86874,23
266.82093,21
266.86072,45
267.23301,23
267.82864,16
268.83658,17
269.21223,59
270.25197,34
270.84795,24
272.84589,21
273.82698,20
274.83496,61
274.85739,20
275.20161,17
276.20931,41
276.8161,28
278.87174,30
278.88416,84
280.86997,16
281.24848,37
282.85563,55
283.0492,46
283.80108,28
283.82376,19
284.26763,81
286.21485,18
286.84254,37
287.85063,55
288.94963,55
293.87126,28
294.84912,72
296.89473,21
297.04703,244
298.0469,22
298.78802,19
299.04415,58
301.21732,350
302.22057,48
302.88168,24
309.81376,24
310.82164,44
318.87667,35
330.04492,83
336.79064,25
340.83983,16
349.80608,20
350.81438,21
351.82196,20
354.80113,16
358.85059,19
362.82223,85
363.76765,23
364.83737,17
367.81641,19
368.0662,18
369.78818,17
371.06589,97
380.83274,29
384.80379,33
395.8197,33
404.06356,21
414.78586,17
416.75705,20
418.78855,19
420.82522,19
443.73424,21
464.77047,24
504.76256,34
529.25725,21
549.23532,45
658.42548,45
737.45171,80
738.45476,19
757.42116,36
759.43704,29
761.45226,107
762.45477,20
765.47168,270
766.47458,106
767.47442,173
767.48703,77
768.47748,70
768.49137,34
769.4901,39
771.7056,24
771.73483,22
771.74246,26
771.75136,23
771.76152,20
771.7933,33
771.81491,21
771.83017,22
771.83652,22
783.4828,65
785.45228,99
786.4555,18
800.4724,113
801.47494,62
802.48746,17
803.45059,82
804.45468,34
805.4471,16
813.47913,18
827.49511,40
828.49796,19
857.50621,19
