"m.z","int"
101.92343,22
101.92416,18
103.03936,8
111.04446,10
113.02373,12
113.06014,18
113.92567,17
114.9335,44
116.04283,15
117.91844,6
118.92638,20
120.92243,11
121.95061,12
125.09658,8
127.03954,22
128.89163,9
129.00379,10
130.0586,22
130.09501,24
130.92402,27
131.03449,9
132.03453,7
132.93969,8
133.92316,12
134.89436,12
134.97279,7
136.97151,6
137.02398,16
137.0353,6
139.02981,6
141.05538,12
142.92466,16
142.9361,6
146.93828,18
148.94604,6
148.95391,15
149.00911,14
149.06034,11
149.94259,36
149.9599,7
150.00149,11
152.97087,6
153.09174,23
154.90583,17
154.95956,218
155.07112,23
155.10742,43
155.94672,40
156.90826,6
156.94404,19
156.95523,7
156.96269,12
157.01166,7
157.05028,7
158.09003,11
158.91959,8
158.95167,6
159.93878,10
160.96925,13
162.83894,6
163.07622,6
164.98372,8
164.99604,6
166.91019,17
168.89923,38
168.94856,10
170.94205,10
170.97081,8
171.00607,9
171.13686,21
172.10575,7
172.94676,11
172.96995,18
173.118,26
173.95719,17
174.95442,17
174.99984,8
175.90851,7
176.90752,12
176.92914,48
176.98343,7
177.0918,23
178.90329,22
178.96743,9
179.10306,11
179.89205,14
179.89977,8
179.95972,19
180.89984,11
180.9437,8
180.95611,90
181.08664,6
181.91773,16
181.99805,6
182.90507,21
182.9592,13
182.99427,12
183.00674,7
183.13876,37
183.88643,14
183.93552,10
184.89419,39
185.90199,29
186.86291,16
186.86382,11
187.13367,23
188.94899,7
188.95268,7
188.98133,6
189.85843,42
190.85664,7
191.10746,7
191.86527,10
191.99154,6
192.91114,7
192.98789,7
193.89786,11
194.93976,12
194.94492,16
195.8761,16
196.89469,25
197.85639,24
197.95757,7
198.9191,12
198.93157,14
198.9542,74
198.96667,27
199.09735,12
200.91577,11
201.11295,17
201.84981,9
201.851,13
201.85882,11
202.88698,10
202.96478,6
203.8657,30
203.98016,6
204.97638,9
205.12312,9
205.8438,8
205.85343,11
206.82427,15
207.86008,14
207.96743,8
208.86807,6
208.96832,9
208.97029,20
208.98301,8
209.92109,12
210.86333,48
210.88366,24
210.90472,9
211.1337,10
211.87114,49
212.8897,6
212.91586,12
213.14941,27
213.8535,11
213.89708,7
214.85485,15
214.85933,6
214.91423,106
214.92656,73
215.91365,12
215.92606,6
216.84601,17
216.9297,40
216.94221,9
216.96456,9
216.97707,11
217.85379,21
219.94005,11
219.96345,11
220.93621,49
220.94147,13
221.96385,7
222.81933,6
222.86351,22
223.0283,25
223.87128,16
223.96683,19
224.95069,15
224.9633,33
225.89194,6
226.87718,16
226.93149,10
226.96858,22
226.98095,9
227.16535,21
227.92008,22
229.18067,9
229.91861,10
230.15234,6
230.84528,8
230.9214,6
231.869,14
232.86542,23
232.92463,226
232.93707,60
232.9495,15
233.92426,25
234.92159,11
235.8714,19
236.87906,28
236.90132,6
237.00512,6
237.86774,11
237.87927,12
237.88688,16
238.83571,11
238.87773,10
239.0595,9
239.12876,7
239.88337,20
239.91266,11
240.92064,7
241.18068,12
241.21443,10
241.97715,7
242.93868,18
242.96136,10
243.93441,16
245.8538,11
246.86407,6
246.90063,9
246.98714,8
247.17019,51
248.87219,10
248.91968,8
248.94856,7
249.18602,11
249.86836,13
249.8871,10
250.94781,8
251.20159,23
251.82234,10
251.86641,11
252.97769,17
253.93409,6
254.22077,26
254.88989,10
254.90702,65
254.91209,6
254.91933,16
255.19656,6
255.2304,10
255.90643,6
256.88853,7
257.17583,10
257.83236,6
257.87704,7
257.93744,18
258.18395,8
258.88632,14
258.93374,83
258.94634,9
259.87522,27
259.93334,7
260.82608,7
260.88278,38
260.9325,6
260.93699,14
261.00298,8
261.83365,9
261.85124,6
262.98988,7
263.77519,23
263.8664,7
264.90878,7
264.94355,15
266.80406,8
266.84877,7
267.23321,12
267.81715,6
267.83638,6
268.80126,28
268.82503,20
268.97038,6
269.21245,22
269.89934,8
270.25246,11
270.79824,9
270.83074,30
270.88438,10
270.92641,6
270.95338,9
270.97586,17
270.98829,6
272.78897,14
272.88035,8
273.8275,16
274.83523,33
274.88143,26
274.89386,40
274.90629,11
274.92899,6
275.77576,28
275.79612,22
275.89336,7
275.93574,8
275.94824,9
276.00152,6
276.82103,6
276.89695,20
276.90925,17
276.93219,49
276.94449,28
277.93158,6
278.79172,21
278.79917,14
278.93058,10
279.23297,7
