"m.z","int"
102.06329,12
103.03919,65
107.04942,6
111.01923,11
111.04441,111
111.0807,7
113.02368,56
113.06002,58
116.0427,76
117.0036,9
117.01861,10
121.02737,22
122.03667,28
123.04441,8
125.06012,27
125.09653,36
126.90436,9
127.0394,93
127.11218,8
128.89157,10
129.00373,78
130.05845,111
130.09486,120
130.88863,14
131.03443,61
132.98371,7
133.0653,11
136.01603,12
136.03992,7
136.05244,13
137.02392,105
137.03514,15
137.06025,8
139.02246,11
139.02966,8
139.03957,6
139.07593,15
141.05522,53
141.12795,6
143.03446,10
143.04968,10
143.99092,13
144.07414,21
146.02423,11
146.05342,8
146.97,16
149.00904,52
149.02392,37
149.06028,48
149.09664,48
150.00143,48
151.07595,23
152.03484,27
152.99537,8
153.05519,14
153.09168,124
154.01409,6
155.07094,114
155.10724,192
156.99876,24
157.05009,20
158.08984,65
159.01434,6
159.1271,7
159.1296,11
159.83467,16
161.09662,10
162.06809,20
163.03961,41
163.07602,54
165.05516,7
165.09162,12
166.0504,8
167.0708,14
167.10717,13
168.02972,18
171.01447,34
171.13665,32
172.10554,52
173.11778,102
173.14277,8
173.1452,10
174.08478,8
177.05526,35
177.09158,95
179.07087,7
179.10283,79
181.08656,31
181.12297,12
183.06568,6
183.13854,152
184.10548,6
185.06041,8
186.12119,12
187.13359,54
191.07089,9
191.10738,95
194.09432,12
195.10226,9
195.13862,28
197.11788,25
197.19075,11
198.15776,6
199.09709,57
201.02513,58
201.11286,86
201.14922,14
201.17662,10
202.12066,6
204.11502,6
205.08663,9
205.12303,60
209.11785,11
209.15442,11
211.09723,7
211.13361,60
213.11279,31
213.14931,86
215.12854,23
215.16465,8
219.17502,8
223.028,116
223.13348,16
223.16985,13
223.20642,9
225.00721,22
225.14934,15
225.22206,7
226.18901,12
227.16483,41
229.14416,19
229.18056,35
229.20545,6
229.20792,14
230.15203,23
231.1751,9
233.15188,8
237.18573,12
239.05939,49
239.12865,45
239.16483,6
240.20472,12
241.18057,69
241.21388,70
243.16006,13
243.19626,87
247.17007,129
248.17341,6
249.1493,12
249.18567,16
251.16513,7
251.20148,84
253.14439,40
253.21365,7
254.22041,102
255.19644,34
255.23004,81
256.23329,7
257.17571,26
257.23709,6
257.23954,29
258.18358,53
261.14941,7
264.16052,11
266.80394,14
267.19657,219
267.23282,56
268.19991,11
268.80087,36
269.21232,270
270.21572,23
270.25181,56
270.79785,24
271.19139,12
271.22793,67
272.19923,10
273.18593,88
274.18931,13
275.20175,59
277.21725,10
279.1601,30
279.23284,60
281.13966,6
281.21233,11
282.25186,9
283.04913,27
284.16304,11
284.26758,97
285.20729,30
286.21481,54
288.23055,20
291.05736,8
291.16012,6
295.15495,6
295.22771,6
297.04709,18
297.24356,15
297.27972,11
299.04423,14
299.22274,25
301.21741,190
302.22067,29
303.23303,22
311.29537,8
315.19671,16
317.21211,16
319.19145,19
321.17061,6
322.11448,6
324.76256,6
326.75952,11
327.23312,52
328.2363,6
328.75658,9
328.76435,11
330.76202,14
331.19146,13
333.20699,7
334.23633,29
337.21507,7
343.22802,8
345.20739,7
347.18629,10
359.24373,7
360.25179,18
361.25963,15
362.26761,282
363.23057,7
363.27079,33
365.24623,118
366.06907,7
366.24977,15
367.24367,22
368.06616,9
373.2019,6
373.25961,8
374.2307,9
375.18145,7
375.27539,89
376.27859,9
385.23834,8
387.27525,8
389.29101,94
390.29428,18
391.27023,23
398.24656,10
417.28606,32
419.3016,325
420.30464,50
431.26521,17
442.67673,6
444.67404,9
462.35901,8
481.25739,79
482.26041,8
483.27286,62
484.2765,7
527.25293,11
552.92249,6
555.28481,14
557.20508,15
575.25322,8
583.49413,8
585.51062,15
613.23227,11
615.21137,13
616.21495,7
657.41674,43
657.53267,6
658.42521,88
659.42797,49
659.54745,13
673.41209,20
693.39346,13
703.42279,12
717.4387,7
719.48689,7
737.45213,78
738.4552,24
747.44836,123
748.45247,45
765.47238,25
765.48368,10
766.4753,11
766.93342,11
766.95861,8
766.98379,8
767.00268,8
767.01779,11
772.44149,8
775.42065,9
785.45188,151
786.45511,70
787.45633,6
791.49886,13
799.46475,6
811.46759,6
829.47428,36
830.47791,19
924.52623,33
925.53031,21
927.50487,11
928.5071,6
942.80843,10
981.56105,77
982.56454,64
983.56956,12
