"m.z","int"
102.06327,8
103.03924,40
111.04439,58
113.02366,28
113.06007,28
116.04268,32
117.00365,9
117.95451,9
121.02735,15
122.03665,6
123.04446,7
124.98368,15
125.06017,14
125.0965,8
126.98811,10
127.03945,26
127.11215,6
129.00378,127
130.00462,9
130.0585,43
130.09483,41
131.00132,7
131.03439,23
132.98377,7
136.93957,16
136.94917,6
137.02388,44
137.0603,6
139.02971,8
141.05527,25
141.99904,8
143.03442,6
143.99097,11
144.04497,11
144.07419,9
146.97005,38
149.00898,19
149.02387,11
149.06033,17
149.09669,6
150.00137,14
151.076,15
152.03489,7
152.99531,15
153.05512,7
153.09161,46
153.99918,14
154.95932,19
154.97178,23
155.07088,41
155.10729,64
156.99882,27
157.05014,14
158.08989,27
162.06826,9
163.03953,11
163.07595,16
165.09155,8
167.07085,9
167.10735,7
169.05013,6
171.00591,34
171.01452,29
171.13657,19
172.00979,12
172.10559,21
172.98233,38
173.11783,54
176.99805,8
177.05516,11
177.09162,43
179.10288,27
181.08661,24
182.94669,13
182.96665,11
183.13858,54
187.13348,32
191.10727,30
194.93972,14
195.13866,8
196.98231,10
197.11792,12
197.19063,6
199.09714,17
201.02518,89
201.1129,21
201.17649,6
203.02268,6
205.1229,19
208.96988,6
208.98278,9
211.03728,12
211.13346,22
213.11283,15
213.14917,43
214.9138,6
215.12839,12
223.02804,37
223.13352,6
225.00704,13
226.99304,27
227.03218,10
227.16507,18
229.14419,12
229.1806,16
229.20796,7
232.92434,7
232.949,8
232.96165,37
237.0018,16
239.05942,16
239.12846,17
241.18059,24
241.21391,18
243.01764,6
243.15987,6
243.19629,33
244.03125,6
245.04304,6
247.1701,265
248.17367,44
249.14932,7
249.18593,151
250.18915,13
250.99321,6
251.12882,8
251.2015,187
252.20482,14
253.14442,21
254.22043,51
255.19622,6
255.22982,36
257.17573,10
257.23956,11
258.1836,13
260.95689,7
261.14943,21
263.16533,15
265.18086,9
267.19659,300
267.23284,19
268.19993,26
268.80089,13
269.21234,259
270.21574,16
270.25182,20
270.97522,6
271.22794,32
273.18594,168
274.18959,29
274.8932,6
274.91806,6
274.97266,10
275.20176,58
277.21726,25
279.16011,37
279.23285,30
281.00389,9
281.13939,7
283.04942,13
283.19148,14
284.26759,25
285.2073,64
286.21481,9
286.94766,12
286.96006,7
286.97245,20
287.16536,22
288.23085,6
289.18096,30
291.05736,16
291.19666,21
292.94138,29
295.15495,6
297.24326,6
299.04423,31
299.20187,8
299.22274,7
301.14428,7
301.21741,372
302.22067,69
303.1601,6
305.17569,21
305.18896,6
307.15526,7
309.20735,22
315.1967,71
316.19999,9
317.05473,6
317.21243,65
318.21561,6
319.19144,22
321.17093,8
321.1839,8
327.23311,92
328.23628,12
329.17608,27
331.1918,20
333.20733,47
334.89733,8
334.91005,20
341.21215,13
343.22799,9
345.20698,10
346.93902,6
346.95166,8
347.18626,17
349.16559,9
349.20234,10
357.2282,10
359.2227,10
359.24369,10
363.2178,6
373.20185,6
375.23914,20
391.24906,29
394.88915,11
406.93101,6
407.24362,6
417.26475,6
419.30151,8
466.90997,6
481.25724,332
482.26088,67
483.27333,235
484.27634,33
499.26785,224
500.27133,38
519.23691,9
527.25344,294
528.25684,40
529.25734,11
553.26928,18
555.28458,283
556.28819,54
573.29161,16
574.2955,7
575.25377,110
575.30776,7
576.25708,22
579.33902,11
585.21228,8
613.23195,10
615.21105,11
629.22653,11
649.34503,10
657.41736,57
658.42483,67
659.42859,25
673.41169,18
685.32193,41
686.32495,8
693.39411,60
694.39647,15
695.39122,12
703.2631,8
703.42234,16
717.43824,8
719.48757,14
737.45163,17
739.37636,44
740.37977,14
747.44785,154
748.45195,68
749.45565,10
763.44438,16
765.47183,99
765.48313,7
766.47601,36
766.50243,6
766.52256,8
766.53262,6
766.54898,6
766.55904,7
766.57289,8
766.58421,7
766.59176,6
766.60434,8
766.63958,10
766.666,11
766.6723,12
766.76292,6
767.4872,30
768.49029,6
775.42009,9
783.48311,38
784.48517,11
785.45261,57
786.45583,14
829.47363,24
830.47725,12
924.52539,28
925.52781,15
927.50571,51
928.50794,35
929.50172,18
930.50551,6
937.53352,6
981.56193,166
982.56542,109
983.56861,22
997.5558,10
