"m.z","int"
102.06338,40
103.03929,38
110.92537,33
111.01935,13
111.04446,100
112.92243,16
113.0139,14
113.02373,60
113.06014,29
114.97551,54
116.04275,59
117.00373,159
117.95459,176
118.94145,78
119.95166,43
120.94451,13
120.95413,30
122.03673,21
122.97523,58
124.98377,305
125.06027,19
125.09667,41
125.98462,15
126.90307,14
126.98133,25
126.9882,30
127.03955,74
127.98348,20
128.89164,455
129.00389,494
129.89249,35
130.00463,27
130.05861,86
130.09493,127
130.88878,411
131.00143,40
131.01956,22
131.0345,35
131.88959,43
131.99103,37
132.88574,94
132.94179,18
132.98388,191
133.88662,11
133.93227,34
133.98467,25
134.88342,11
134.97011,26
134.98145,35
135.92089,20
135.92944,12
136.93969,93
136.94919,75
137.024,65
137.03522,14
137.91793,13
138.92056,11
139.02983,15
139.97098,30
140.9615,32
141.0554,42
141.99917,106
142.95001,94
143.99111,98
144.07433,35
144.86929,33
144.94716,12
144.99891,26
145.94966,29
146.86642,27
146.9702,143
147.97106,53
148.9672,32
149.00914,52
149.02402,24
149.06048,45
149.09674,237
149.9792,61
150.00152,62
150.95007,20
151.07616,13
151.93641,23
152.03494,15
152.93625,17
152.97887,26
152.99547,75
153.09178,105
153.99934,108
154.01181,60
154.90586,147
154.91535,12
154.92792,41
155.00169,17
155.07104,97
155.10746,185
155.9067,15
155.94872,11
156.01501,16
156.90282,27
156.98639,19
156.99899,103
157.05031,15
157.97688,21
157.97924,66
158.08995,70
158.92771,11
159.01457,47
159.12971,13
159.83478,12
159.96544,55
160.97655,13
160.97897,11
161.09686,53
161.94449,23
162.06833,14
162.99222,13
163.03972,16
163.07614,69
165.0554,12
165.09174,12
166.99452,68
167.10742,25
169.99431,15
170.88342,23
171.00612,81
171.0146,126
171.13691,17
172.00987,97
172.1058,48
172.96636,14
173.03031,12
173.11791,80
174.99454,25
175.94536,25
176.90032,40
177.05539,22
177.09171,92
178.95982,19
179.07101,11
179.10298,70
180.95834,23
181.0867,26
181.12311,16
182.94694,61
182.97452,24
182.99653,12
183.01473,12
183.13868,154
184.00985,18
184.10563,13
184.9439,37
187.13374,47
189.97611,36
190.97463,32
191.07105,11
191.10754,64
192.97556,19
194.09449,12
194.93984,38
195.13879,58
197.00522,36
197.11805,28
197.19075,42
198.92434,11
199.09727,69
200.00489,14
201.02531,85
201.11304,54
201.1768,13
204.1152,17
205.00518,21
205.12321,79
206.99146,11
208.97361,22
208.98311,53
209.15444,13
211.03744,20
211.1338,61
212.86458,14
213.11317,25
213.14951,82
214.02057,18
214.86186,12
215.96981,12
219.17523,14
219.93532,11
223.02822,155
223.1337,11
225.00723,116
225.22229,33
226.18923,12
227.16506,38
229.18079,59
229.20815,31
230.15226,24
234.85919,28
236.14172,12
236.85629,18
237.00201,16
237.18576,21
239.05942,40
239.1289,76
241.00239,45
241.18082,82
241.21413,25
243.01809,23
243.1601,12
243.19652,190
244.03126,13
244.19972,14
246.80651,15
247.17034,680
248.17368,82
249.14957,12
249.18594,76
251.20175,363
252.20507,25
253.21465,19
254.22069,220
255.19672,25
255.22404,11
255.23032,71
257.17575,18
257.21219,11
257.23958,47
258.18363,48
260.87346,16
261.1497,13
263.16536,17
265.18115,14
265.21751,13
266.80425,32
267.19688,508
267.23313,43
268.20022,43
268.80118,52
269.21237,708
270.21578,77
270.25212,49
270.79843,29
270.82379,12
271.1917,11
271.22824,192
272.19955,15
272.2315,20
272.79531,12
273.18625,149
274.18964,12
275.2018,318
276.20516,44
277.21758,103
279.23317,258
280.23671,30
282.2522,22
283.04948,174
283.19182,17
284.26793,101
285.02896,15
285.1925,49
285.20735,134
286.21085,14
286.21516,59
288.23091,12
289.18132,36
291.19701,19
292.81813,16
293.21272,17
294.81501,13
295.22809,11
297.04747,29
297.2801,12
299.04461,160
301.21748,749
302.22106,124
303.23342,93
304.23671,13
304.76531,11
305.16123,21
305.24879,29
309.19261,19
311.20821,63
311.29578,16
313.22387,77
315.19679,35
317.05517,25
317.21253,69
325.18777,13
326.75997,26
327.23322,206
328.23675,45
328.75739,11
329.1762,17
330.04503,12
333.20745,25
337.21554,146
338.2189,21
339.20305,20
339.21231,39
339.23935,15
343.22813,11
352.77412,14
355.23416,11
357.18434,32
359.20833,15
361.21539,40
362.26774,78
363.21264,11
363.23111,274
364.23459,57
365.21864,27
365.22816,68
365.24678,1650
366.23162,12
366.2499,335
367.23463,38
367.24381,525
367.2534,27
368.24721,91
369.25011,26
372.27583,11
375.27554,37
377.21038,15
379.2259,37
381.24172,11
385.21563,55
387.21261,18
387.23113,17
389.247,47
389.29116,56
391.24378,15
391.26259,32
407.22098,32
409.23659,15
411.23111,56
412.23458,12
413.22829,23
413.24671,41
415.24406,12
417.26503,11
417.28625,15
419.3018,69
437.24712,69
438.24999,16
439.24377,15
444.67482,11
477.30515,38
479.32071,16
481.25766,186
482.2613,27
483.27376,229
484.2774,35
502.63308,12
509.24329,11
527.25397,130
528.25738,30
549.23617,16
553.26988,14
555.28518,262
556.2888,48
560.59175,12
575.25443,137
576.25774,41
673.46341,11
719.48867,11
737.4528,88
738.45586,28
739.44428,20
765.47309,104
765.48314,12
766.47601,53
766.56786,13
766.6119,14
766.66098,16
766.67356,17
766.69999,19
766.73523,19
775.42138,12
783.43763,13
785.45263,422
786.45586,167
787.45839,18
791.49962,16
811.46839,14
811.9263,11
813.48251,12
829.47512,18
830.47875,11
871.07922,18
894.69136,12
919.04379,24
941.92455,13
991.28364,14
991.30029,13
993.31095,11
