"m.z","int"
101.02354,225
113.01377,11
115.02941,12
117.00359,33
117.95444,49
121.02736,23
123.04447,13
124.9836,91
129.0037,44
131.0344,24
131.99074,12
132.98368,13
139.02962,21
141.99914,23
142.94988,36
149.0967,14
149.97905,41
151.076,14
152.9786,15
153.99918,13
159.96526,29
166.99432,29
171.01452,20
172.00979,16
189.97599,12
197.00508,21
213.11281,20
230.15204,11
243.19626,123
253.14439,13
267.19655,38
270.2157,13
271.2279,19
288.2308,17
334.23624,27
337.21533,19
360.25207,53
362.26748,94
363.23084,52
365.24651,90
375.27524,25
417.28584,13
419.30189,34
483.27315,14
527.25394,31
765.79165,18
765.83185,15
765.84191,11
765.85321,26
765.87458,15
765.88337,17
765.90222,17
765.91479,12
765.92484,17
765.95877,11
765.97762,13
