"m.z","int"
104.10698,98
105.00329,48
108.08075,7
114.09119,7
115.05414,10
119.01875,134
120.08053,16
121.01622,8
121.03437,25
123.01366,46
128.06176,9
130.06484,78
131.01863,65
132.1016,113
133.03425,10
135.00249,73
135.04984,8
137.0291,421
137.04032,22
138.0299,22
138.05451,72
139.02663,56
143.15388,6
144.08034,7
146.02946,12
149.02912,164
150.97644,9
151.0266,9
151.04476,43
153.00896,14
156.98631,7
157.08314,46
160.04506,20
163.04464,18
164.92015,21
165.03522,12
165.06036,9
166.08582,23
167.03956,118
168.0404,9
169.03724,9
169.89401,12
169.98542,12
174.9847,9
175.04469,18
177.06027,20
179.05076,14
179.07591,9
180.89386,11
184.07284,84
185.95935,12
189.06022,6
190.05553,9
191.03962,25
191.10366,12
193.09162,22
199.0448,9
203.07587,18
207.07087,12
209.06128,15
217.0915,19
221.04998,25
224.10415,9
227.04287,13
235.13848,7
247.10222,19
257.18948,6
331.22576,21
333.24768,15
359.25712,9
405.13529,6
444.3673,45
445.37025,6
446.38274,41
451.13928,13
452.14701,18
466.16279,11
467.17042,38
468.17352,11
478.32821,11
481.18575,36
482.19354,13
490.37238,47
496.33855,23
512.35326,6
518.32034,20
535.42847,7
536.43614,41
537.43928,16
540.1983,11
541.20679,7
555.22216,14
559.21774,8
581.39706,7
582.40564,102
583.40849,40
584.42064,24
614.23622,69
615.2392,18
622.44441,9
623.50171,6
624.45994,8
630.35355,92
631.35677,41
756.61206,48
757.6149,21
765.95992,8
765.97626,7
765.98757,7
766.00265,11
766.00893,12
766.01773,13
766.02904,8
766.04287,24
766.05544,8
766.06424,12
766.07304,12
766.08812,12
766.09943,16
766.12206,16
766.14343,15
766.16732,7
766.2151,11
766.25282,6
778.53549,7
789.45241,8
800.60192,42
801.60336,17
806.56685,100
807.56997,42
808.57361,7
822.58262,6
828.54928,52
829.55263,23
878.56681,21
879.56961,7
892.53289,124
893.53436,74
894.528,6
894.53911,14
951.4905,7
951.50442,17
952.50746,12
953.52081,18
954.52179,7
