"m.z","int"
102.92589,32
104.10718,6
104.90806,16
107.95061,32
108.08092,10
116.98601,28
119.019,21
119.89494,27
120.08077,17
120.93623,12
123.96563,6
125.96103,148
130.06501,70
130.93278,43
131.01879,12
132.10175,14
132.96566,6
133.03449,8
134.09627,8
134.9964,54
135.05007,21
137.02931,27
138.05481,7
138.9466,15
142.94794,158
148.00413,23
148.94332,28
149.01199,10
149.0232,13
149.02946,24
150.03726,33
150.97633,18
151.97655,8
152.05655,307
153.00693,19
153.00928,10
153.04059,18
153.0599,7
154.90729,19
154.96823,18
155.10418,9
156.95722,8
157.08343,26
158.92191,18
163.04502,13
164.92993,16
165.00693,9
165.06072,15
165.99219,17
166.01476,80
166.95381,15
167.03991,7
167.97143,14
169.89434,7
170.96312,21
171.0989,12
172.95221,18
172.97878,17
172.99618,8
174.03845,73
174.89585,9
175.02769,8
177.0607,20
177.09702,12
178.93903,6
179.02249,26
179.97126,9
180.10173,11
180.90365,9
181.03816,15
181.91833,26
181.94088,14
182.92632,26
183.01759,69
183.95144,8
184.07308,32
188.93535,8
188.97369,55
190.01473,8
190.96266,36
191.02259,8
191.10401,11
191.11262,7
192.94506,6
193.03836,29
193.07462,8
194.93412,14
195.0539,7
196.02047,6
197.91323,13
198.92112,6
199.16901,9
199.92886,49
203.93839,6
204.90366,19
204.93044,28
205.9499,16
206.04612,11
207.01741,12
207.0711,10
207.09018,7
208.06175,20
208.9644,7
209.06956,9
210.04699,20
210.92555,8
213.14596,16
214.94766,7
215.02259,6
215.90137,12
218.9397,8
219.10764,9
220.90425,6
221.06939,8
222.07733,18
222.9143,6
223.04892,25
224.05672,9
226.92049,9
228.95383,6
228.97828,6
229.00498,6
230.92536,11
230.94263,8
231.09021,8
232.94543,7
234.93448,7
235.08505,8
236.09301,8
237.02805,11
237.90143,13
239.15895,10
239.16158,425
240.16501,33
240.92161,6
241.9395,6
242.8597,35
244.89623,17
245.07831,10
246.91201,19
246.92006,11
249.10072,7
250.92963,9
253.14082,29
255.13572,43
257.15943,9
258.83366,7
258.90551,6
260.87014,7
260.90361,8
262.10872,7
262.19125,6
262.88577,7
262.89284,7
265.09569,6
272.88911,7
275.17035,105
276.17078,8
277.16765,8
277.90635,7
279.11129,6
279.15884,16
288.12422,11
288.86148,6
290.1572,38
291.14775,40
292.15108,7
302.14398,6
303.10586,43
303.16499,15
306.11221,19
306.13475,119
306.85207,7
307.1381,16
309.20348,8
317.11471,7
317.18067,9
319.14275,17
320.11433,6
321.83898,7
325.08769,53
328.83363,6
331.22639,6
333.15816,17
337.10834,6
337.14907,15
344.80753,8
346.14332,6
346.84418,17
347.191,13
359.12035,19
360.123,6
362.81803,15
363.16899,18
364.17671,9
368.11411,7
375.09444,7
377.79413,6
406.22331,6
430.78146,8
444.36809,8
446.38351,7
454.15499,19
455.3335,6
490.37282,12
504.29586,6
582.40689,33
583.40891,10
627.18682,34
630.35448,7
756.253,20
756.61313,13
757.25635,8
769.54253,9
769.55518,13
769.56531,14
769.57417,17
769.58809,16
769.59568,16
769.60834,18
769.61973,19
769.62733,21
769.63872,35
769.64884,25
769.6615,21
769.68429,15
769.69315,14
769.70708,13
789.4414,10
800.6013,9
806.56752,22
807.57064,9
828.54977,10
829.55169,6
892.53277,8
953.50784,8
