"m.z","int"
123.0231,37
123.96416,9
133.00738,48
135.02301,46
137.03857,60
138.0338,12
139.01785,278
139.02902,146
144.98182,16
146.98007,10
149.03857,11
153.03349,35
157.08321,14
158.98966,23
163.01781,8
163.05422,6
165.03353,25
166.9708,29
167.01276,10
167.0491,15
169.02833,73
170.97532,20
171.02596,16
173.00835,8
175.01786,17
177.03353,22
178.96835,17
179.04914,32
180.99769,10
181.0283,109
181.06469,11
184.98131,133
191.0491,18
193.02841,55
193.0397,11
193.06482,12
194.96568,10
195.04397,16
195.08047,21
198.95485,8
198.99695,136
200.9125,10
207.04411,9
208.98129,45
209.05957,14
211.03899,8
213.01273,11
218.96885,12
219.0803,8
221.05963,7
222.99698,33
223.03884,13
223.07518,8
227.02816,9
229.00749,53
229.101,9
232.98725,6
235.07533,9
238.99188,7
240.96546,6
244.96051,27
253.00745,12
256.95819,20
258.97626,64
260.93747,7
262.97109,50
265.12222,6
272.95538,7
272.99174,6
275.00751,7
276.98666,19
286.97096,12
288.9868,31
290.93362,20
298.92649,14
304.93953,55
318.95535,70
320.92851,6
330.9973,7
336.97693,9
346.95029,12
348.96542,18
361.0649,8
364.91838,20
378.93408,33
400.93978,13
414.95537,8
424.89773,8
426.9551,9
438.91275,10
442.90783,7
456.88178,51
456.92347,14
460.91871,7
467.17063,13
481.18596,13
482.19438,8
492.90266,18
516.90266,7
536.43638,39
537.43952,16
552.88134,36
566.41067,37
567.41334,9
582.40507,18
612.86163,10
614.2365,22
615.23857,11
658.42137,79
659.42511,36
766.66075,6
766.67837,12
766.69221,20
766.70102,14
766.72242,23
766.73123,17
766.74004,26
766.75011,26
766.76143,33
766.78787,18
766.7992,14
766.82563,9
766.84829,8
791.46856,7
892.5333,100
893.53635,71
894.53952,10
