"m.z","int"
102.92591,111
104.90807,133
107.95069,153
115.05434,13
116.98601,88
117.03974,23
119.019,246
119.89501,66
120.08085,26
120.9363,70
121.01645,18
123.94549,13
124.93747,12
124.96414,14
125.96102,565
128.06202,29
128.91725,30
130.06508,68
130.93285,310
131.01887,87
132.96582,20
133.03447,34
134.99638,151
134.99879,45
135.00279,40
135.05014,457
135.99966,11
136.05092,36
136.93111,15
137.02938,382
137.04061,11
137.04764,44
138.03017,42
138.94667,18
139.0269,26
140.95892,87
142.94801,501
145.03447,70
145.10107,12
147.05006,21
148.00419,125
148.94339,148
148.9769,18
148.98952,57
149.01205,13
149.02327,70
149.02942,125
149.06577,11
149.98592,17
150.03722,326
150.9687,24
150.9764,27
151.027,11
151.038,25
151.04504,60
151.09535,17
151.90788,14
152.03482,22
152.90662,25
152.95258,26
153.00687,73
153.00934,358
153.90788,33
154.01014,70
154.90735,266
154.94164,119
155.00683,73
155.10413,199
156.93292,20
156.97477,24
157.08349,382
158.92185,16
159.0502,139
160.04539,17
161.01204,16
162.94083,36
162.99362,13
163.02767,36
163.04495,152
163.90787,26
164.91567,18
164.92998,180
165.06065,65
165.08857,14
165.99224,248
166.01481,102
166.94875,38
166.95387,39
167.03997,17
167.97148,69
168.89506,19
169.03751,15
169.8944,117
169.92486,23
170.96317,83
171.09908,173
172.95226,201
172.99623,32
174.98519,103
175.02774,39
175.04504,14
175.08143,46
177.00935,74
177.04342,17
177.0606,244
177.08854,31
177.09706,130
178.06139,14
179.02254,17
179.05819,21
179.07637,35
179.10422,25
179.90277,18
180.90384,25
181.0382,35
181.91837,235
181.94092,11
182.90231,17
182.92622,120
183.01748,53
183.95148,51
184.07312,86
185.11477,318
186.11817,13
186.91186,17
186.94641,11
188.92446,25
188.97373,91
189.06062,16
189.07973,12
189.09699,29
190.0685,40
190.9627,198
191.03984,14
191.05894,43
191.07632,31
191.1042,65
191.11265,574
192.11349,42
192.11602,15
192.88425,15
193.03823,22
193.04062,11
193.07465,22
193.09198,98
193.11028,47
193.11982,24
194.89995,30
194.93415,47
195.05393,23
196.91792,36
196.95429,15
197.89081,22
197.91342,17
198.92115,14
198.97422,24
199.04495,33
199.1692,19
199.92888,248
200.92572,15
201.08858,51
202.9412,38
203.11253,28
203.93824,32
204.06692,24
204.9009,12
204.90368,23
204.93046,26
204.94611,11
205.05208,11
205.07471,13
205.09195,28
205.12817,11
205.94974,35
206.04597,15
206.09981,117
206.94787,15
207.07129,61
207.0902,136
207.09673,11
207.10769,41
207.13561,23
208.00271,47
208.03917,13
208.06177,45
209.06957,41
211.13038,12
213.14597,147
214.8935,38
215.0226,27
215.90138,74
217.0746,22
217.09204,87
217.15634,11
218.09979,13
218.91531,13
218.93624,81
219.09035,16
219.10765,191
220.06173,12
220.90425,11
220.92547,24
221.12319,92
221.15126,30
222.05477,83
222.07733,280
222.9143,43
222.9218,26
223.04892,27
223.08506,12
223.92913,24
224.03406,18
224.92331,13
227.11272,21
228.90968,22
229.12007,38
230.94262,25
231.09041,64
231.1077,61
231.14415,17
231.17415,12
232.88452,11
232.88831,19
233.06962,27
233.1232,249
234.07736,25
234.91013,32
235.08525,102
235.1389,16
237.10096,30
237.90119,32
238.88159,13
239.16178,1021
240.16498,86
240.91827,42
242.85968,37
243.08398,11
243.10757,17
244.88212,22
244.89643,50
244.93278,30
245.07852,213
245.10581,11
245.12333,62
246.08168,15
246.91198,29
246.91336,16
246.92026,33
247.08527,29
247.10254,12
247.12165,19
247.13893,42
249.10092,116
249.10325,14
249.15454,14
249.18252,11
249.89128,13
250.9296,16
250.95481,14
251.11657,14
253.14102,117
254.85542,15
255.13568,147
255.88627,16
256.89214,44
256.90459,15
256.92119,11
257.15964,42
258.93683,14
260.90681,22
261.05253,34
261.10105,30
261.15458,31
261.88492,21
262.08628,16
262.10867,21
262.90669,22
262.90821,38
263.13403,17
263.19806,12
265.93254,11
266.91477,21
266.92873,39
269.11507,19
270.85103,21
271.15413,11
271.85907,25
272.86606,13
272.87702,26
273.01095,15
273.13748,37
273.15461,24
274.90042,15
275.17028,301
276.17098,21
277.16785,20
278.88219,20
278.90318,53
279.11149,35
279.15904,48
281.08683,47
282.88876,59
282.90286,16
284.92521,12
287.85381,13
288.86168,49
289.13225,13
289.14945,13
289.18589,20
290.1574,72
291.14795,63
293.19582,11
294.87714,45
294.88945,17
296.02298,14
296.88235,23
296.88477,16
297.06438,19
297.86611,12
298.86243,30
300.86394,25
300.88498,26
300.89921,18
301.87722,22
302.14418,21
303.16519,45
305.21078,71
305.21711,47
306.11241,16
306.13495,163
306.85194,11
307.1383,15
307.22639,21
310.85087,12
311.25772,13
312.02906,22
312.05161,24
313.22219,17
313.27346,15
316.85896,47
316.87133,13
317.11491,47
317.18087,47
317.21704,15
319.14261,19
320.87337,15
321.83917,14
322.88087,12
324.86249,11
325.20119,201
325.21371,15
326.20163,19
326.20443,25
328.83346,11
331.23266,17
332.8327,21
332.8435,13
333.15835,36
333.24849,19
333.81471,13
335.85274,23
337.14926,93
338.84084,13
341.17868,25
346.84437,40
347.19119,12
347.19541,16
348.81761,12
350.8171,12
359.25774,24
360.86613,23
371.26372,11
377.79386,31
382.8476,12
451.14015,16
452.14787,36
453.15554,11
461.30495,13
466.16294,18
467.17116,134
468.17425,12
481.18637,67
482.19415,35
507.24333,67
507.25552,74
508.25938,13
509.25874,26
509.271,32
526.18392,15
536.43624,86
537.4401,27
540.19985,18
541.20758,49
542.21065,14
555.22361,33
559.21838,11
561.28988,13
582.40606,32
583.40974,11
607.43546,15
614.23723,197
615.2402,39
641.41987,34
658.4227,204
659.42542,73
717.4545,31
718.45695,13
734.48284,11
739.42493,53
739.43804,57
740.42841,12
740.44155,21
741.45428,41
743.45714,13
743.47036,24
765.45445,16
769.48658,15
771.40345,14
771.41488,18
771.43647,18
771.44664,30
771.45553,37
771.47077,18
771.49618,22
771.50634,31
771.52413,34
771.54318,13
771.56478,13
786.51298,27
791.45682,97
791.4687,100
792.45964,39
792.47154,41
793.46304,12
793.47232,25
793.48425,21
851.47653,16
892.53386,272
893.53532,167
894.53847,32
895.54332,13
