"m.z","int"
104.10704,53
105.00329,36
112.89568,96
114.89269,19
114.89378,19
115.05406,26
120.08061,26
121.03437,73
123.01366,44
128.06184,32
130.06483,17
131.01862,261
132.10159,58
132.98696,30
135.00258,1825
136.00585,32
137.04032,29
138.02999,30
139.02663,82
150.02995,45
151.02671,54
151.04476,42
153.00907,74
157.08314,252
160.04506,27
161.01813,18
163.04476,35
164.92014,91
167.03969,513
168.0404,36
168.95376,17
169.03724,60
172.04503,26
173.05712,17
174.99513,23
175.04482,19
177.00902,22
177.02396,67
177.0604,34
177.0882,16
179.0509,38
180.89401,39
190.05553,24
191.03962,132
192.96109,46
193.0552,34
196.86796,21
196.87746,20
205.0553,23
207.07104,53
208.935,28
209.06146,110
217.0917,64
221.05018,435
222.05093,16
223.04763,28
231.10726,16
247.01613,92
247.10223,92
249.15401,17
250.91966,26
252.91671,17
260.94861,26
262.98995,30
270.98524,38
271.15378,125
282.88795,18
285.24174,26
289.16443,20
293.19567,43
300.8846,24
304.97445,26
305.21645,105
309.20305,21
311.20601,16
311.25744,37
313.22159,35
313.27287,18
325.20035,210
325.23407,48
326.20394,24
329.02716,37
331.23221,16
331.28332,17
332.83226,17
333.2477,121
344.27849,16
345.20287,32
346.29404,16
348.31,21
349.23404,41
351.24962,100
353.26537,161
359.22687,18
361.18479,44
365.21639,22
367.24441,25
385.24227,22
387.25838,26
397.24213,16
399.25821,44
411.25785,20
413.27361,48
415.23198,27
415.25305,50
435.22152,20
439.17547,16
439.25296,29
441.26828,91
443.28423,142
452.14706,35
467.17048,66
481.1858,53
482.19359,19
507.25452,65
519.23736,19
536.43622,32
541.20686,17
555.22302,21
566.4105,75
567.41397,29
582.40573,51
614.23542,179
615.2393,26
658.42119,177
659.42493,61
766.05433,25
766.06816,16
766.08576,18
766.09833,25
766.10964,17
766.1197,19
766.1285,20
766.14736,23
766.16244,16
783.42779,17
791.46837,70
792.47122,28
892.53309,357
893.53615,201
894.53931,49
