"m.z","int"
105.00326,48
119.0188,150
120.02342,81
121.03441,69
121.96596,57
123.01362,45
123.02309,109
123.96415,26
124.9639,11
131.01868,213
132.01941,13
132.10165,44
132.98692,20
133.00729,367
135.00254,724
135.023,17
135.04989,20
136.00591,12
137.02915,727
137.03857,88
137.04037,23
138.02995,66
138.03379,70
138.04504,11
138.93616,12
139.01775,315
139.02669,79
139.02902,158
144.98182,60
145.0342,11
146.02952,26
146.97996,28
147.02285,17
149.02918,592
149.03856,11
150.03002,37
150.03383,58
150.9765,135
151.01786,994
151.02666,49
151.04482,29
152.02105,24
153.00903,42
153.03338,20
156.93263,24
156.98649,345
157.0832,265
160.00252,12
160.04513,37
160.99894,36
161.00209,18
161.03855,12
162.03367,26
162.99326,13
163.01756,12
163.04471,49
165.0241,16
165.0334,87
165.08822,15
166.95033,127
166.97067,26
167.01276,40
167.03963,439
167.0491,21
168.04048,37
168.04435,12
168.9485,17
169.02833,378
169.03719,48
170.03162,12
171.02583,12
172.04498,11
173.0572,17
174.03386,44
174.997,117
175.01772,108
175.04477,23
176.9728,42
177.00896,21
177.02404,30
177.03339,42
177.06035,36
177.06985,17
177.08829,31
179.01264,53
179.04914,53
179.05085,33
180.9863,61
181.02831,173
181.03943,47
184.98132,131
189.03335,23
189.06047,23
190.05562,63
191.03956,122
191.04895,66
191.10375,63
192.04425,26
192.94673,13
193.02842,594
193.03955,105
193.05545,27
193.06468,21
193.09171,13
193.11971,13
194.03172,29
194.96569,26
194.98344,29
195.04398,39
195.08032,50
197.02322,29
198.99696,143
203.03944,11
203.07597,11
205.02825,393
205.0554,19
206.03161,12
207.01958,19
207.04395,61
207.07097,47
207.07768,18
207.13511,13
208.9813,88
209.05959,29
209.06138,89
210.95724,28
210.99666,11
211.03882,59
215.04889,11
216.96557,142
217.09162,44
219.03438,11
219.0711,19
219.08032,20
221.02322,38
221.0501,366
221.05945,51
222.05105,43
222.0534,14
222.99681,48
223.03886,651
223.04775,25
224.04223,26
225.03657,16
229.00752,191
229.10103,11
233.05961,12
234.97603,85
235.05015,13
235.07514,13
237.02777,15
237.05439,11
237.12472,11
238.99169,66
239.02828,12
243.0321,14
244.96055,13
245.09584,14
247.01604,32
247.10214,83
249.05439,17
249.09075,87
250.98956,12
250.99192,14
251.0702,19
253.00749,93
258.97606,69
261.052,29
262.94914,16
262.97088,55
262.99009,27
265.04934,26
265.0606,22
265.15605,11
266.98668,11
269.11434,12
270.9854,15
271.11159,12
275.10654,17
276.94463,254
276.98671,26
277.12204,14
278.96382,17
279.15838,11
281.00238,56
281.08059,12
283.01792,76
286.97102,18
288.98657,92
290.93368,13
291.13766,13
293.07118,20
295.01803,38
295.05949,14
298.97068,19
300.98661,15
304.9396,52
311.01264,30
312.98662,25
313.22179,23
317.11421,27
318.95509,90
325.02853,48
325.20055,49
330.99668,15
333.18445,12
334.99162,26
336.92349,135
338.94165,15
345.02179,15
346.95,31
348.96552,105
349.00726,17
355.03886,15
360.96498,16
361.00767,22
364.91808,27
376.96011,31
378.9342,34
379.0173,11
390.97585,25
400.93944,14
403.01782,14
414.91293,85
415.23228,25
420.98623,28
426.95474,55
441.26861,12
442.908,14
454.94923,12
456.8814,42
468.9237,26
480.96536,13
486.93403,21
492.90224,12
507.24206,11
507.25493,51
546.91282,23
552.88163,19
597.27426,27
614.23596,16
766.36062,20
766.38955,13
766.40716,28
766.4298,27
766.43986,19
766.45496,27
766.4776,22
766.49647,13
