"m.z","int"
102.97038,49
105.00328,30
107.95069,171
107.97304,21
108.95827,23
115.05413,96
119.01906,233
119.89493,99
120.98095,93
123.01374,53
123.94529,27
123.96558,44
128.06202,87
128.91717,26
129.06968,27
130.06502,171
131.0189,73
131.08543,24
133.03444,23
133.10105,17
135.00269,25
137.0294,907
138.03029,58
138.99128,21
139.02665,77
141.06987,24
145.03416,20
145.10087,44
149.0121,30
149.02332,167
149.02936,185
150.97625,53
151.0449,108
153.95554,31
154.00991,36
154.94142,22
154.96841,19
155.00684,47
157.10091,18
164.91592,22
164.92044,16
165.06065,31
167.02258,34
167.03999,104
168.08049,20
169.03742,18
169.12188,16
170.96324,45
172.97878,25
174.96761,19
174.98517,91
179.07625,29
179.90251,34
181.03796,19
181.94069,30
183.95156,76
184.0729,197
185.13278,22
188.9246,27
191.10405,27
193.09217,19
194.93388,26
194.94873,34
195.05398,44
195.11666,18
197.13245,25
197.91318,102
198.92125,26
198.97448,18
199.04505,46
203.93805,29
204.94594,17
208.96428,44
209.06962,26
213.88609,17
214.89324,101
214.94778,28
215.02253,32
215.92408,25
216.93204,39
217.93944,51
223.92876,30
226.92075,17
227.92353,22
228.90997,21
230.92546,83
230.94294,27
235.13884,16
240.09903,33
241.93927,31
244.88126,16
246.89734,40
246.92034,73
247.12196,25
249.89116,27
250.92949,20
251.11622,20
252.91878,18
255.88622,54
256.89478,29
257.91915,26
258.83309,22
260.87034,31
260.90331,16
261.88443,20
262.88523,42
262.89231,62
272.88945,26
279.15926,31
279.89512,57
281.08706,19
287.85384,60
289.86906,48
293.19532,36
305.21735,94
309.24233,24
311.18969,16
311.25739,216
311.84551,32
312.05194,19
313.22253,117
313.2738,63
317.22648,23
323.22144,80
325.201,79
329.26891,83
330.84868,18
331.23289,17
333.24767,39
333.82835,20
339.85029,22
344.81874,17
346.29477,17
348.8594,22
351.2371,106
351.24959,410
352.23982,24
352.25393,46
353.26574,30
368.82658,24
377.79341,44
411.14566,33
411.25836,21
422.1374,16
423.14494,64
424.15194,52
425.15839,37
427.17368,17
429.27925,26
436.1521,19
437.1604,73
438.16785,55
439.1395,26
439.1766,103
440.14504,30
440.18227,28
441.15404,40
441.1914,19
442.16431,29
450.13274,37
450.16898,24
451.13994,209
451.1763,29
452.14825,360
453.15308,159
453.19197,34
454.16126,27
455.1705,79
455.20735,23
456.17618,31
460.29565,22
461.30428,98
462.31151,45
463.14,16
464.14851,42
465.15556,201
466.1635,312
467.16994,761
467.20586,17
468.17483,320
469.14924,27
469.16851,44
477.29987,27
479.1698,28
480.17875,35
481.18588,682
482.15852,20
482.19367,410
483.16685,112
483.19708,91
484.17077,46
489.29921,32
494.32446,54
497.18017,51
498.18855,76
499.19471,29
502.30095,73
505.25308,24
507.25733,450
508.25849,85
509.27353,28
511.28806,57
513.21254,168
513.30354,153
514.21757,35
514.28947,40
514.34203,17
515.31986,25
516.30605,97
520.33836,39
525.17643,24
526.18248,157
527.18855,68
527.23448,36
535.42721,23
536.43635,857
537.43948,378
538.44543,38
539.19284,29
540.19777,159
541.2055,337
542.21007,153
542.32087,151
552.42997,73
554.21395,18
555.22395,411
556.22738,156
557.22417,18
559.21954,130
560.22125,55
564.30598,50
569.23984,40
570.24277,21
571.21922,40
581.39899,58
582.40758,635
583.40876,272
584.41589,21
586.23933,20
598.40137,55
599.21447,77
599.40582,18
600.21748,34
601.26146,68
613.22971,80
614.23564,1510
615.24043,808
616.24043,202
617.23923,53
630.23007,19
631.23676,18
640.41042,29
641.4185,91
642.42124,20
657.41303,154
658.42147,2117
659.42421,1081
660.42924,244
673.33751,28
674.41606,62
681.41004,31
739.43999,34
768.22387,33
768.27942,50
768.35012,32
791.47017,46
833.52085,20
870.56552,29
890.51537,47
891.5245,82
892.53534,2591
893.53524,2095
894.53681,1040
895.54007,341
896.53866,89
908.5297,51
909.53059,80
910.53312,30
