"m.z","int"
106.90475,42
108.90442,51
115.05436,20
119.01902,23
128.06213,37
130.06519,19
137.02941,74
142.94804,72
145.1011,14
147.93102,27
149.0233,57
149.02944,14
149.93075,26
150.03725,26
153.00937,18
165.06068,17
171.11663,15
177.06064,12
183.11678,11
199.16907,30
231.15899,15
239.1616,167
275.17033,102
279.1591,53
285.2423,47
290.15746,54
299.20061,16
305.21084,19
305.21716,12
306.13469,12
309.24241,12
311.25811,44
313.27352,16
317.18093,29
317.21107,90
317.22614,11
325.2009,22
325.23463,11
329.26841,22
339.19319,37
351.25034,34
357.19064,24
423.14499,22
424.15301,15
437.16082,17
441.15553,13
451.14023,46
452.14795,75
453.15162,14
453.15562,23
453.19223,11
455.17132,14
461.30504,18
465.15569,27
466.16303,43
467.17124,175
468.17493,30
468.17853,15
481.18645,126
482.19047,26
482.19486,56
483.16615,22
483.19826,12
507.24342,12
507.25561,28
509.27109,20
511.28696,17
513.21279,25
514.34295,12
526.18401,28
535.42867,11
536.43707,116
537.44019,36
540.1992,11
541.20767,55
555.22371,64
556.22713,18
559.21926,15
566.41189,20
581.39842,18
582.40616,60
583.40984,18
598.40144,12
613.22961,18
614.23734,359
615.24031,104
616.23485,27
616.24301,13
641.41998,13
657.41437,28
658.42281,484
659.42554,172
674.41725,12
771.42898,14
771.47471,19
771.4836,26
771.4925,24
771.50774,22
771.51536,21
771.52934,17
771.53696,17
771.55475,26
771.56618,14
771.57635,14
771.58524,11
771.59922,14
771.61701,15
771.66783,11
892.534,478
893.53705,287
894.53862,52
895.53393,12
