"m.z","int"
100.99136,177
101.00869,111
102.12816,113
102.91191,376
102.92603,2567
102.97061,2597
103.0244,292
103.91139,272
103.94003,82
104.10733,523
104.90816,4133
105.00378,781
105.03389,153
105.07015,102
105.93512,2230
105.95554,907
106.90484,399
106.94312,127
106.96358,108
106.96673,293
107.95069,15228
107.9733,1090
108.90462,414
108.95126,275
108.95854,3278
112.89598,270
112.98535,134
114.09157,150
114.97109,327
114.98249,82
115.05445,484
115.97032,315
116.96373,117
116.96643,4001
116.98623,8903
116.99733,340
117.07029,82
117.8989,214
117.96632,210
117.98972,138
118.08642,284
118.89849,158
118.95477,685
118.96339,284
119.00186,123
119.0191,5223
119.08594,102
119.89528,2570
120.01991,600
120.08104,111
120.93651,2516
120.98099,2516
121.01666,584
121.02865,2092
121.03497,876
121.95048,105
121.97635,167
122.0214,844
122.91873,169
122.96948,289
123.01412,672
123.94567,3270
123.96596,4788
124.93784,564
124.9534,439
124.96433,83
124.97725,1545
125.98386,112
126.95349,84
126.96163,1961
127.95975,189
127.96558,608
128.06209,399
128.9176,499
128.98635,178
129.05238,311
129.07011,104
129.95823,1289
130.00989,95
130.06545,649
130.93297,4613
130.95713,1150
131.00192,422
131.01899,3179
131.02646,256
131.11791,191
131.95357,12596
131.97442,86
131.98449,159
132.01973,291
132.90291,256
132.95343,856
132.95852,85
132.96616,800
133.01671,426
133.0349,449
133.95036,925
133.9669,90
134.01729,95
134.94962,578
134.97416,899
134.99647,18241
135.00279,1715
135.00763,658
135.04744,2372
135.05042,267
135.94544,414
135.99996,408
136.05075,116
136.07333,713
136.90901,152
136.93105,96
136.95347,488
136.95803,221
136.99262,172
137.00099,117
137.02951,9315
137.04092,748
137.05728,137
137.90552,666
138.03041,1181
138.94673,2525
138.99179,599
139.02716,1347
139.9766,168
140.06815,2584
140.95921,585
140.97985,220
141.07,161
142.94844,13105
143.00195,97
145.01733,104
145.03473,303
145.10144,106
146.91841,190
146.92812,278
146.97417,157
146.99656,859
147.03291,95
147.05025,276
148.00461,165
148.93552,364
148.94371,3367
148.97734,962
148.98985,131
148.99977,81
149.01227,1841
149.02349,19973
149.02953,4212
149.06621,129
149.96144,1811
149.98147,237
149.99497,1018
150.02678,1600
150.03027,445
150.03767,126
150.91354,214
150.96895,1722
150.97687,1246
151.01823,103
151.02747,723
151.04508,790
151.07326,521
151.90804,206
151.96089,120
151.97688,4870
151.99954,177
152.02798,514
152.90702,283
152.93661,90
152.95276,396
152.96532,342
152.97205,172
153.00705,6529
153.05239,343
153.08877,113
153.90818,399
153.95619,2933
154.01056,484
154.91922,455
154.94162,1013
154.96861,1193
154.98599,180
155.00704,492
155.06793,219
155.08579,81
155.10457,137
155.91623,183
156.04234,296
156.93316,105
156.95741,1335
156.97513,276
157.00125,219
157.01758,90
157.04744,137
157.08385,2011
157.96902,176
158.92201,1690
158.92771,98
159.05036,261
160.92033,87
161.01235,500
161.04094,160
161.09377,264
161.96127,269
162.9413,143
162.96893,247
163.00297,353
163.02814,1021
163.04542,253
163.07307,185
163.90786,249
163.93075,482
163.97705,285
163.99945,195
164.05326,81
164.90915,105
164.91618,642
164.9207,2866
164.93024,3357
165.00711,4751
165.04331,125
165.06091,519
165.06996,89
165.08907,1712
165.96374,340
165.97134,95
165.97642,521
165.99264,542
166.0109,97
166.01496,477
166.09209,103
166.89547,86
166.94917,913
166.95428,814
166.98754,879
167.00494,286
167.02285,853
167.04026,1756
167.0679,307
167.10427,116
167.89386,84
167.95011,81
167.97179,10382
167.98314,1355
168.00535,150
168.04098,109
168.89551,131
168.92519,173
168.94653,114
168.97205,139
168.97518,160
168.98403,213
168.98716,144
169.0377,306
169.04708,97
169.08357,136
169.92507,304
170.96353,2901
170.97572,829
171.01708,124
171.0627,345
171.09931,3187
171.96287,121
172.10252,205
172.93001,166
172.94403,167
172.95266,5394
172.97909,636
172.99635,1828
173.01254,294
173.0784,3340
173.09406,169
173.96407,118
173.97496,151
173.99727,189
174.04408,134
174.0822,170
174.89605,1020
174.95695,112
174.96847,314
174.9767,113
174.98549,2197
174.99372,141
175.02831,532
175.04533,416
175.11895,2401
175.97716,281
175.98602,171
176.12229,109
176.89414,92
176.92371,128
176.93878,335
176.94548,83
176.98455,247
177.00912,379
177.01862,715
177.04375,955
177.05492,3302
177.06107,304
177.08901,2748
177.9764,155
177.99273,164
178.01526,247
178.05807,248
178.09188,245
178.91531,101
178.93972,311
178.95675,98
178.96413,92
178.97151,192
179.02318,487
179.05159,188
179.06807,354
179.07659,503
179.10444,1243
179.90286,467
179.91717,162
179.92346,291
179.97154,4448
180.00819,165
180.03053,351
180.13597,323
180.88822,293
180.89457,702
180.90438,1252
180.91072,132
180.9315,131
180.97537,86
181.00308,242
181.03831,691
181.08338,753
181.91893,5401
181.93639,216
181.94105,651
181.98761,497
182.9268,3148
182.9397,437
182.94381,147
183.01777,9918
183.05065,104
183.06298,214
183.09941,292
183.95193,1996
183.98211,350
184.02117,236
184.07328,704
184.9523,206
184.95648,436
185.0424,89
185.04897,83
185.05732,139
185.11524,1082
185.13256,86
185.91215,82
185.94041,117
185.94943,155
186.92918,86
186.93585,1214
186.94797,89
187.01103,114
187.02801,588
187.91731,183
187.93992,318
188.05973,264
188.925,2602
188.93547,271
188.94717,104
188.97427,2717
188.98659,123
189.00754,389
189.0211,153
189.03096,145
189.0439,395
189.05253,215
189.06116,269
189.9731,128
189.99235,184
190.01533,317
190.09237,139
190.9542,679
190.96296,6653
190.988,83
191.00052,92
191.02305,1164
191.04058,408
191.05937,791
191.07628,328
191.10447,5435
191.97194,769
191.98329,333
192.0079,81
192.10762,499
192.88154,90
192.9114,146
192.94571,256
192.96732,126
192.98703,381
193.00229,487
193.03853,654
193.05571,157
193.0837,585
193.09261,439
193.11997,2115
193.98776,1043
194.12366,144
194.87819,105
194.93433,1432
194.94401,256
194.94917,286
194.95627,130
195.01825,97
195.02923,132
195.05443,1131
195.09965,799
195.89109,120
195.9184,123
196.00296,387
196.86866,238
196.87783,414
196.91845,566
196.93287,85
196.93746,85
196.9545,156
196.95778,210
196.99646,125
197.01219,1210
197.07844,239
197.1014,198
197.11518,113
197.8912,592
197.91364,1499
197.93411,252
197.98233,545
198.86252,87
198.8991,213
198.90575,85
198.92172,929
198.97429,114
199.04552,2226
199.06417,104
199.09414,145
199.92947,5835
199.97641,108
200.04617,96
200.92937,127
200.93882,109
200.98071,280
201.04356,418
201.0733,224
201.08007,131
201.08886,268
201.92317,136
201.94359,97
202.94151,127
202.95454,112
202.96688,117
203.02312,234
203.04713,301
203.05262,279
203.05948,314
203.07663,105
203.91232,220
203.92267,102
203.93856,2637
203.97448,490
204.00833,81
204.03113,160
204.90471,961
204.92002,183
204.93045,1287
204.9388,109
204.94645,1161
205.03832,616
205.05573,115
205.07523,424
205.08358,161
205.1198,257
205.89947,168
205.92749,1217
205.94151,81
205.94992,1028
205.98777,622
206.02353,120
206.04667,261
206.07052,123
206.92689,492
