"m.z","int"
109.10137,28
111.11703,15
115.05431,30
119.01898,241
119.08559,25
120.01977,19
120.08083,21
121.01651,20
128.06201,54
129.06984,19
130.06507,51
131.01886,150
131.08547,19
133.01646,23
133.03456,46
133.10108,18
134.99879,87
135.00279,23
135.05014,129
135.99957,14
136.9963,18
137.02939,385
137.04061,25
137.04765,11
138.03018,25
139.02691,46
140.06808,14
141.06972,31
142.94792,122
143.08541,19
145.03448,68
145.10109,18
147.05008,44
149.02329,64
149.02943,244
149.98583,12
150.03724,49
151.02691,20
151.04506,54
153.00926,354
154.01006,80
155.00686,89
155.10416,33
156.08075,15
157.08341,186
157.10115,28
159.05011,46
159.11673,14
161.0294,16
162.99366,21
163.04499,85
164.92036,110
164.9299,58
165.0607,201
165.06975,16
165.07189,17
165.08848,28
166.06154,12
167.03989,71
168.08077,11
168.14938,11
169.03756,12
169.1198,15
169.12202,13
170.97555,18
171.09901,84
171.11666,14
173.06578,17
173.13234,13
174.97565,12
174.98512,15
175.0451,12
175.08135,33
177.00928,68
177.06067,76
177.08847,34
177.09699,66
179.00685,13
179.0763,25
179.10415,20
184.0732,40
185.1147,135
185.13247,13
187.08128,11
189.06055,11
189.09092,12
191.03978,21
191.07642,29
191.10414,90
191.11259,159
193.09192,62
193.11992,36
196.86496,11
197.13231,14
198.86206,18
198.9552,11
199.04506,38
199.16915,78
203.07628,20
203.11265,16
204.90363,24
204.93024,13
205.09207,39
205.1283,18
207.01985,11
207.07125,33
207.09916,15
207.10764,20
207.13539,31
209.13245,13
211.13034,18
213.09687,13
213.14593,83
217.09201,39
217.15631,24
219.10762,70
220.92524,14
221.05066,25
221.12316,45
221.15103,21
222.91427,15
225.18228,11
227.11269,23
230.22253,52
230.95467,15
231.10747,20
231.17434,14
233.05736,11
233.12319,54
235.13888,23
235.16667,17
237.14619,30
239.15914,81
239.16155,2038
239.22274,11
240.16498,249
241.17717,17
242.85967,30
243.10757,12
244.8962,18
245.07851,85
245.12333,19
246.21745,12
247.13893,33
249.15454,36
253.14103,97
254.8236,49
255.13569,50
256.82065,63
257.15965,183
258.16051,12
258.16321,15
258.81783,29
259.13902,15
261.14359,12
261.15485,18
263.1338,13
270.98589,17
273.14608,12
273.15438,23
275.17032,859
276.17102,66
276.17347,73
277.16789,94
277.18595,19
279.15909,53
281.08688,25
285.22117,39
289.14952,37
290.15717,139
290.93374,15
297.12032,26
299.17027,13
299.18561,13
302.14427,19
303.16497,102
305.21088,50
305.2172,62
306.85204,14
309.20345,20
309.24213,37
311.25783,58
312.78207,18
313.22197,18
314.77921,27
316.77616,21
317.18065,123
317.2262,15
318.18398,15
321.27629,14
325.20097,74
329.02741,12
333.16066,15
333.24215,17
333.24828,43
337.14904,48
346.84454,17
347.19136,105
359.25794,41
362.81801,15
370.74075,14
372.73778,49
374.73464,26
423.14526,28
425.16077,15
428.69905,20
430.69612,28
432.69384,25
434.69045,20
436.15284,11
437.16059,18
438.16803,13
439.17678,19
446.67046,12
448.66721,11
451.14001,55
452.14374,18
452.14773,98
453.15541,32
455.32139,22
455.33406,37
456.88227,16
461.30482,14
465.15548,43
466.16341,66
467.17104,235
468.17472,47
469.16839,14
480.17851,11
481.18688,155
482.19027,29
482.19467,57
488.65466,19
490.65168,24
498.19009,13
507.24257,11
513.21262,38
526.18385,29
536.43692,83
537.44005,22
540.1998,20
541.20753,69
542.2106,13
548.61009,14
550.6068,14
552.88176,12
555.22358,96
556.227,20
559.21835,12
561.29065,25
566.41177,270
567.41444,88
568.41816,14
582.40607,24
607.4355,12
614.23728,358
615.24025,110
616.2348,42
658.42282,312
659.42554,104
745.47323,23
770.07818,17
770.08578,16
770.10099,17
770.11746,29
770.12379,31
770.13393,36
770.1466,24
770.158,31
770.17447,18
770.18461,25
770.20869,12
786.51464,11
791.45718,105
791.46906,80
792.45868,42
792.47191,42
793.47269,30
793.48461,17
794.47536,16
795.48792,16
809.44465,13
819.48705,33
819.50096,28
837.46199,11
837.47492,26
838.47725,14
892.53286,404
893.53591,265
894.53906,60
957.53879,18
957.55109,17
958.54258,16
958.55666,13
