"m.z","int"
102.92581,19
104.9081,21
107.95059,87
115.05431,23
116.98598,29
119.01897,161
119.89491,28
120.08082,16
120.9362,16
121.0165,13
123.96568,13
124.93745,12
125.961,376
130.06506,35
130.93283,26
131.01885,84
133.03446,23
134.99636,63
134.99878,32
135.00278,41
135.05012,24
137.02937,266
138.03007,15
139.02689,14
140.95882,18
142.94801,146
145.03447,20
148.93509,15
148.94328,43
149.01195,15
149.02327,29
149.02942,136
150.9764,16
151.027,12
151.04505,46
153.00688,30
153.00935,228
153.90777,13
153.95578,16
154.01015,53
154.90724,79
155.00684,63
155.10413,26
157.0835,75
159.05009,17
162.94073,15
162.99364,11
163.04497,24
164.92046,38
164.92988,75
165.06067,107
165.08858,19
166.95389,13
167.02258,14
167.03986,41
167.97137,31
169.89442,36
171.09898,68
172.95216,16
174.98509,53
175.08132,18
177.00939,19
177.06064,31
177.0971,59
178.9147,13
178.93911,20
179.07626,20
179.10411,11
179.91683,11
181.0381,14
181.91827,27
181.94097,16
182.90236,11
182.92626,43
183.01752,51
184.07316,79
185.11467,103
188.92436,11
190.9626,44
191.05884,14
191.07622,24
191.1041,25
191.11255,160
193.09204,55
193.11972,21
194.89985,16
194.93405,30
197.91316,15
199.1691,33
199.92895,84
203.07623,18
203.11261,28
205.09203,17
205.94982,35
206.04605,26
206.09971,22
206.95748,11
207.05389,12
207.0901,26
207.10759,23
207.13534,16
208.03908,12
208.06167,32
209.06948,16
209.92118,14
213.14588,164
214.14928,18
215.02251,13
215.90148,11
216.9159,14
217.07451,11
217.09195,41
218.93615,16
219.10756,67
221.12329,45
222.05468,15
222.07724,74
222.92171,11
228.90959,11
229.11978,18
231.10761,25
231.14407,39
232.88823,11
233.12333,54
234.07728,26
235.08517,20
236.8753,11
237.14612,11
238.88129,11
239.16148,797
240.16491,82
240.91797,27
241.1771,14
243.0839,18
244.93271,19
245.07844,71
245.12325,24
247.12158,13
247.13885,17
249.10085,20
249.15446,18
249.89121,17
253.14095,48
254.85559,14
255.13561,79
256.89208,31
256.90453,12
257.15957,64
259.13894,14
260.9065,13
261.14376,28
262.10886,28
262.90814,11
262.91421,15
265.93223,14
266.91445,12
266.92867,26
271.15433,17
272.87696,15
273.15455,31
275.17022,529
276.17093,51
276.17365,45
277.1678,50
277.18612,11
278.90312,13
280.91057,11
281.08706,48
281.9063,12
282.88843,36
282.90253,14
285.22107,20
289.14941,11
290.15736,84
291.14762,66
294.8768,23
298.8624,26
300.86391,14
300.88464,16
300.89887,16
301.87719,14
303.16485,63
305.21076,60
306.11238,36
306.13461,119
306.92108,11
307.13827,15
307.22668,17
309.24233,17
311.2577,15
312.05126,12
316.85894,21
317.11489,14
317.18085,71
319.14259,15
322.88086,11
325.20084,35
337.14926,32
338.8549,11
347.1912,14
359.25777,17
360.86576,11
452.14803,19
465.15519,11
466.16313,16
467.17075,52
481.18658,45
507.24291,14
536.43655,36
541.20715,19
555.22396,15
561.29025,18
582.40647,15
607.43592,25
614.2368,84
615.23977,28
658.42228,104
659.425,26
739.42571,24
739.43883,12
770.14715,23
770.16235,17
770.17756,20
770.20037,22
770.21177,25
770.22444,27
770.24092,21
770.25106,15
770.29668,11
778.537,13
789.45385,12
791.45642,125
791.46962,95
792.45925,58
792.47247,50
793.46265,14
793.47326,14
826.53652,16
848.51884,17
892.53193,127
893.53656,82
