"m.z","int"
104.1073,21
104.99251,7
105.00348,68
109.91693,6
110.0062,108
111.00697,7
112.00382,10
112.89587,15
116.07072,7
119.92493,13
120.01974,6
121.03464,222
122.03544,24
123.01393,360
123.03221,21
124.01462,31
125.01142,29
130.0651,25
131.0189,17
133.03443,9
133.10113,7
135.00276,173
135.0502,22
137.04059,23
138.03017,96
138.03266,6
139.0269,94
151.04503,62
153.00934,56
153.02438,11
154.01004,6
155.00685,17
157.08341,35
158.9219,52
162.99358,6
163.04503,24
164.92041,30
165.0243,20
165.06075,15
166.95065,21
167.03995,699
168.0408,66
168.04325,10
169.03751,89
169.1221,13
173.05752,9
174.89594,26
175.04509,9
175.11898,7
177.00928,10
177.06081,18
179.05117,11
179.07631,11
180.89427,17
184.07324,49
189.06063,6
191.04003,30
193.05561,20
193.09203,13
196.86821,6
196.87787,15
198.97414,13
199.99637,12
200.98021,7
203.07645,7
207.01988,6
207.0711,15
207.07799,7
209.06169,9
214.94809,7
217.09192,7
221.0504,66
231.17413,6
247.10241,6
270.98564,12
279.1586,6
285.22099,15
305.21081,10
305.21682,11
313.22195,7
325.20069,42
329.02749,9
333.24803,14
359.25743,19
423.14507,11
424.15259,11
425.16059,8
436.15273,9
437.16049,13
438.16793,8
439.14013,7
439.17614,23
440.14786,8
441.15522,6
441.19202,6
449.16,6
451.13999,23
452.14316,7
452.14772,59
453.15082,8
453.1554,17
453.192,10
454.14522,7
454.16358,7
454.19973,6
455.17111,10
461.30487,7
465.15555,27
466.16349,41
467.17112,122
468.17421,27
468.17902,8
469.16909,8
481.18706,78
482.18983,18
482.19485,39
483.16615,15
483.18441,6
483.19763,7
497.18201,7
498.18973,11
499.19721,6
507.2558,7
513.21304,22
526.18437,24
536.43752,34
537.44066,15
539.19253,6
540.19968,15
541.20817,50
542.21125,14
549.48712,6
555.22356,66
556.22699,16
559.21836,12
566.41103,61
567.4145,25
571.21795,6
582.40623,31
583.40908,11
599.21299,8
613.22814,17
614.23677,245
615.23974,57
616.2343,26
616.24246,16
658.42155,96
659.42528,31
765.87094,13
765.88854,8
765.90361,14
765.91869,13
765.93377,20
765.95011,16
765.95891,18
765.97148,23
766.0029,19
766.01546,14
766.02929,8
766.03557,8
766.05066,8
791.45651,7
791.46971,18
792.47389,7
892.53437,251
893.53743,162
894.54059,38
895.53432,9
