"m.z","int"
104.95244,35
105.07014,12
106.98899,19
109.91699,27
112.89592,55
114.89291,18
115.05435,37
117.03983,19
119.01901,218
119.92492,19
119.92983,13
120.08086,21
120.92623,123
122.92432,21
122.96279,12
124.96423,29
128.06203,30
128.95354,11
130.0651,53
130.93286,11
131.01897,178
131.0855,12
133.03458,49
134.99881,68
135.0029,285
135.05015,232
136.05093,11
137.0294,296
137.04766,33
137.94025,12
138.03029,14
138.93659,58
139.02702,24
140.93464,12
140.95904,170
141.06973,13
142.94803,110
144.92748,17
145.03449,39
145.10109,12
146.01881,12
147.05018,27
148.92562,16
148.9351,25
149.02339,18
149.02943,204
149.98593,11
150.03015,11
150.03723,136
150.97685,25
151.04506,35
151.09536,15
151.9079,20
152.90686,24
153.00936,360
153.90801,39
154.01016,44
154.08372,80
154.90736,279
155.00685,75
155.10426,29
156.91208,11
156.93317,110
157.08351,163
159.05021,59
159.11671,12
160.03677,46
160.04541,13
160.90141,25
160.99934,27
162.94097,59
162.99364,18
163.04497,135
164.92046,271
164.93,247
165.06079,39
165.06985,15
165.08858,21
166.95081,30
167.03998,33
167.89383,17
169.11989,39
169.89441,135
171.05015,14
171.0991,48
171.11662,17
171.98123,14
172.90712,70
172.92801,25
172.97777,27
172.99625,30
173.93036,24
174.03865,11
174.89591,20
174.98521,75
175.04505,19
175.08144,21
176.87528,11
176.97335,28
177.00937,75
177.06076,245
177.08856,48
177.09708,78
178.01423,12
178.91497,105
179.0582,14
179.07638,21
179.10423,11
180.89433,46
180.90385,56
182.90233,26
184.07328,64
184.96616,21
185.11494,50
185.13241,11
186.91188,32
186.93597,15
187.9553,41
188.95157,62
189.06063,30
189.92521,17
191.04002,18
191.07634,29
191.10421,132
191.11267,29
192.88443,16
192.94717,13
193.08357,12
193.09216,38
193.11984,26
194.889,34
194.90013,38
194.98387,20
195.09917,11
196.02068,15
196.86831,20
196.87781,36
196.91794,40
196.95447,25
198.97423,71
199.04513,17
200.92573,19
200.94009,26
200.95241,16
201.08877,16
202.94139,36
203.0525,33
203.92927,26
204.91152,13
