"m.z","int"
104.1071,7
105.00334,9
112.8958,17
115.05426,20
119.01888,77
120.08073,8
121.03449,30
123.0137,14
128.06188,23
130.06496,46
131.01875,91
132.98709,10
133.01618,8
136.00598,15
137.04045,10
138.03002,17
139.02676,30
141.06968,7
142.93828,34
142.9478,70
148.93492,20
150.03008,29
151.02673,37
151.04489,12
151.0952,16
153.00921,38
155.0066,6
156.08049,6
158.92188,11
164.90885,10
164.92028,209
164.92982,61
165.02416,8
165.06049,8
165.06954,9
166.95052,19
168.04054,16
169.03725,27
173.93011,16
174.03827,6
174.97551,19
174.98497,10
174.99513,8
175.04482,18
177.00901,6
177.02395,8
180.08039,6
180.89414,81
180.90366,25
184.07297,6
186.91174,7
187.12021,18
189.904,8
190.96902,8
191.0396,31
192.96122,13
192.99317,7
193.05549,9
193.09175,6
196.02029,11
196.86809,13
198.97386,18
204.91258,6
207.071,7
208.93513,13
209.06141,20
214.9478,7
221.05031,130
222.05106,8
222.87861,14
223.04776,10
238.85266,8
239.08874,6
247.01601,20
247.10234,7
257.01583,6
259.07858,11
261.0522,14
270.98534,6
276.93363,9
285.24183,6
292.90757,6
305.21684,26
313.22166,7
325.20075,106
326.20399,13
329.02721,13
345.02199,9
353.10722,8
359.25717,9
409.16991,8
435.21392,9
437.15975,7
439.17594,6
451.13924,9
452.14754,12
453.15522,11
466.16273,10
467.17036,49
468.17405,7
481.18629,39
482.19408,16
483.16537,8
502.30001,7
507.24215,6
507.25569,31
509.2712,28
510.27423,10
513.21225,6
521.45514,7
526.18357,7
536.43598,54
537.43985,21
541.20737,18
555.22275,13
556.22618,7
561.28907,6
566.41101,30
567.41368,7
581.39766,7
582.40541,17
583.40826,6
599.29044,8
614.23594,100
615.23892,20
657.41327,6
658.42172,112
659.42445,26
766.30883,9
766.31763,7
766.32895,10
766.3453,7
766.35536,13
766.36668,17
766.378,24
766.39939,21
766.41448,17
766.43586,17
766.4497,18
766.46605,15
766.47486,12
766.48618,11
766.49876,10
766.50631,9
766.52392,11
783.42832,7
791.46889,24
793.48446,12
794.48717,7
883.50375,6
892.5336,167
893.53666,97
894.53982,18
