"m.z","int"
103.02409,8
104.10701,27
105.00332,95
105.06988,6
109.9167,26
112.89565,324
114.0913,13
114.89272,124
114.89375,49
115.05417,25
116.8908,10
119.0854,8
119.9247,12
120.01959,28
120.08057,22
121.01633,50
121.03441,58
122.03521,7
123.01362,120
124.01447,10
125.01111,14
128.06179,33
130.04957,11
130.06487,71
131.01867,155
132.01949,8
133.03429,53
133.1009,8
135.00262,21
135.04988,33
137.04036,77
138.02994,135
138.03244,9
138.05465,7
139.02551,6
139.02667,171
141.0694,8
144.08048,10
145.03418,10
147.02463,8
147.04979,11
147.07601,8
150.02989,24
150.03697,12
151.02676,41
151.0448,146
151.11141,9
152.02737,8
152.0456,12
152.06171,15
153.00912,44
153.02404,18
153.04234,9
155.00651,8
157.08318,77
158.92168,27
159.04991,17
159.11652,9
160.04511,8
161.02908,18
161.04023,15
163.04469,61
164.90864,7
165.02408,8
165.03527,37
165.06041,83
165.06946,6
167.03961,263
167.07263,6
168.04046,17
168.08037,8
168.9486,9
169.03729,80
169.05788,9
171.01639,9
172.90692,8
173.05717,12
174.06065,7
174.89559,61
175.04474,60
175.08113,8
177.00907,14
177.02401,14
177.06032,76
178.05562,9
179.0396,19
179.05082,58
179.07596,69
180.88253,11
180.89406,11
184.07289,54
187.05596,9
189.06028,25
189.90392,11
190.05559,6
190.06802,7
190.09179,6
191.03952,60
191.0508,6
191.076,35
193.05542,21
193.09168,66
194.08697,85
195.08772,7
196.85656,7
196.86802,34
196.87752,94
198.87549,7
198.97379,6
199.04469,27
200.97986,11
201.06029,12
203.07593,40
204.07121,11
205.00384,7
205.05536,17
205.0665,9
205.8779,21
206.05489,8
206.0961,6
207.01389,6
207.07093,36
207.07782,15
207.10733,8
208.10252,21
208.93506,8
209.06134,39
211.86453,7
212.84196,25
212.85134,51
214.84951,7
214.94774,19
215.07596,7
215.97013,14
216.95397,32
217.05536,7
217.09157,72
218.08691,20
219.07086,10
219.10738,17
221.05025,47
221.12275,9
221.85164,9
221.8726,8
222.98768,7
223.0479,6
224.9089,11
229.09173,15
230.92186,17
231.01113,7
231.10733,9
231.94377,18
232.10259,9
232.92779,26
232.95835,7
235.13856,23
237.84651,6
238.86202,7
240.09917,11
243.1073,12
245.08645,8
246.78368,6
247.10231,40
248.09733,16
249.15432,31
251.11236,6
254.82656,9
254.83596,6
255.10702,6
258.83299,8
262.08116,6
262.88563,6
263.83629,6
269.1229,6
270.81008,6
270.9142,6
271.15386,14
273.1177,8
277.18542,10
278.05499,15
285.22069,19
285.24182,8
293.19576,8
295.21119,42
298.84161,6
301.21573,16
303.20092,6
303.23128,33
304.95844,8
305.21054,16
305.21654,186
306.21761,11
306.21983,15
307.21403,10
307.22616,8
311.25753,30
312.26068,6
313.22169,179
313.27296,25
314.22247,7
314.22511,17
315.21909,9
325.20044,1074
325.21261,6
326.20124,86
326.20403,200
327.19824,119
327.20456,18
327.20736,12
328.20158,12
331.23195,51
332.23561,10
333.2478,102
335.24536,7
341.18701,7
341.1956,8
343.21124,36
359.22697,7
359.25725,24
360.99574,7
367.232,12
378.79154,12
385.23252,19
385.24239,6
394.76528,6
401.25263,6
411.14477,6
415.2321,49
423.14452,19
425.16005,10
427.17535,7
437.15995,15
438.16794,14
439.13959,7
439.17614,16
441.19149,6
442.27907,39
449.16004,6
450.16793,6
451.13946,16
451.17582,12
452.14719,42
452.18367,7
453.15487,15
453.19148,11
455.17058,11
456.29412,7
459.29449,24
461.30377,6
464.1468,9
465.15504,25
466.15821,7
466.16238,32
467.17061,88
467.20713,6
468.17371,20
468.17851,10
468.30765,11
469.16798,9
478.7026,6
480.17819,14
481.18594,65
482.18934,19
482.19373,32
483.16503,15
483.18329,7
483.20218,6
490.2889,19
494.32256,20
496.33875,9
497.18154,9
505.25246,12
506.26255,25
507.24248,30
507.25534,67
507.26686,8
508.25854,7
509.25858,20
509.27085,37
513.21259,17
516.3047,23
518.32056,10
520.3384,12
523.22906,27
523.24183,7
524.23235,6
525.17575,7
525.24496,17
526.18322,15
532.27848,22
534.29425,10
536.43637,82
537.4395,24
539.19212,11
540.19927,11
541.20701,26
542.21009,6
542.32238,64
543.20846,12
543.32631,16
545.22328,6
547.47026,9
549.48596,11
553.24759,8
555.22318,35
556.22583,8
558.29403,12
564.30518,72
565.30864,17
566.41066,28
567.26352,10
568.33834,6
569.27929,7
571.21759,6
579.42437,13
580.27863,72
581.28181,9
581.39814,6
582.40589,30
583.40875,6
590.32066,7
595.47029,6
597.27478,12
614.2365,136
615.23857,41
616.23312,13
616.24128,11
627.42459,6
643.46979,7
646.43818,7
658.42138,90
659.42411,34
673.33843,6
765.55954,9
765.57336,9
765.58591,15
765.60726,17
765.61857,18
765.62485,18
765.6374,20
765.65122,16
765.66252,15
765.6776,12
765.68513,13
765.69644,17
765.70774,15
765.73412,9
765.74543,8
765.78563,7
765.79568,6
791.45538,12
791.46858,22
792.47276,10
793.48416,8
807.44249,11
809.46755,17
837.46049,7
892.53334,230
893.53639,138
894.53956,32
957.55227,7
