"m.z","int"
102.92589,11
107.95067,20
112.89588,6
115.05439,16
116.96627,18
116.98592,6
119.01898,63
119.95097,6
120.01977,6
120.93628,7
125.961,74
128.06208,8
130.06505,16
130.93282,20
130.95698,8
131.01884,19
131.95323,136
132.95316,8
133.03454,20
134.99635,7
134.99877,14
135.05011,45
135.99954,6
137.02936,99
137.03877,20
138.03015,7
142.94798,44
145.03444,9
147.05003,6
148.94336,16
149.02324,31
149.02939,44
149.98589,11
150.03719,23
151.04501,20
151.09521,7
152.965,7
153.00931,156
154.01011,25
154.90732,25
155.00692,36
155.1041,35
157.08346,18
159.05005,9
163.04492,27
164.92995,10
165.06074,32
165.0698,11
166.01478,9
166.95383,6
167.03993,6
169.12206,7
169.89436,11
170.97546,9
171.09905,8
172.95223,16
174.89586,14
174.98516,12
175.045,6
175.08139,7
176.87523,7
177.00932,20
177.0607,29
177.09703,51
179.07619,7
180.88274,6
181.91834,26
182.92633,11
183.01744,6
184.07323,14
189.09695,10
190.96266,21
191.11261,425
192.08409,8
192.11345,34
192.11582,13
193.07461,7
193.09194,22
193.11024,33
196.85679,9
196.87775,8
199.16916,7
199.92884,30
203.07628,6
205.0919,11
205.9497,6
206.09976,52
207.09033,27
207.10747,7
208.09731,6
212.85162,20
214.84976,6
215.90133,17
217.092,16
219.1076,56
221.12333,10
221.85203,9
222.05472,24
222.07728,63
227.11246,6
231.10765,9
233.12336,76
235.08499,10
235.13884,6
239.07623,8
239.16151,131
240.16493,10
245.07823,12
245.12327,8
247.13887,23
249.10086,8
249.15448,12
253.14096,19
255.13562,17
257.15958,23
261.15452,6
263.13397,6
271.09134,14
271.15433,23
273.15455,6
275.17021,174
276.17091,7
276.17363,11
277.15903,10
277.16778,8
279.15898,17
281.08676,15
285.22133,11
287.20659,8
289.14938,19
290.15733,32
291.14788,11
303.16512,8
305.21103,52
305.21703,37
306.11233,6
306.13488,27
306.21428,6
309.20328,8
311.25797,7
313.22178,6
317.18079,16
317.226,8
323.22122,9
325.20111,139
326.20155,6
326.20435,17
327.19854,9
331.07003,10
337.14917,21
359.25765,37
371.26405,6
423.14479,13
424.15282,11
425.1603,6
437.16062,12
438.16861,10
439.17626,28
440.14798,8
441.15533,6
451.14002,34
452.14376,8
452.14775,52
453.15142,7
453.15599,16
453.19202,9
456.88227,10
461.30483,23
464.14725,6
465.15548,32
466.16341,44
467.17103,122
468.17472,23
469.16838,9
481.18686,84
482.19025,13
482.19464,24
483.16593,18
483.18356,6
483.19804,6
489.29948,8
498.18938,10
502.30041,6
507.24318,43
507.25537,25
508.25856,6
513.21255,20
526.18376,14
536.43682,98
537.43994,35
540.19969,18
541.20742,46
541.37241,6
542.21049,16
552.88162,6
555.22345,60
559.21899,17
561.2905,15
566.41162,10
581.39815,7
582.40672,40
583.40956,23
599.21337,14
607.43528,31
613.22932,7
614.23704,205
615.24001,49
616.23455,12
617.23788,6
624.46159,10
641.41966,11
657.41505,11
658.42249,226
659.42521,65
660.42822,13
769.48632,8
770.77232,9
770.78754,10
770.79769,12
770.81418,17
770.8218,15
770.83956,17
770.84971,20
770.86366,22
770.87635,16
770.88397,13
770.89158,16
770.90173,21
770.92203,22
770.94234,15
770.9563,10
770.96518,17
770.97533,11
770.99183,9
771.00071,6
771.00833,8
771.0261,6
786.51271,16
787.51663,7
789.45266,7
789.46581,6
791.45655,132
791.46975,101
792.45937,46
792.4726,44
793.46278,6
793.47205,10
826.53661,9
833.51988,7
851.47623,15
892.53354,295
893.53659,189
894.53974,43
895.53505,7
957.55,6
