"m.z","int"
102.94832,12
104.10713,247
112.98505,7
115.01806,6
116.96615,8
117.95645,6
118.94308,25
118.96685,10
120.08072,9
120.95093,15
120.95866,15
121.03448,27
123.02315,15
124.01454,11
125.00239,7
125.01133,22
131.9531,39
132.10176,332
133.00749,11
133.10512,9
135.02302,8
137.03866,107
137.04047,7
137.96123,19
138.03399,25
139.01793,341
139.02678,49
139.02911,27
140.97121,9
142.93838,8
149.02923,34
151.01802,118
151.04487,29
151.05433,7
153.00918,30
153.03353,22
154.99775,13
156.98663,381
158.98979,30
159.9819,7
164.92033,40
165.03364,17
165.06054,12
166.9709,17
167.01299,15
167.04934,14
168.04058,7
169.02843,78
169.03742,14
169.12214,9
170.97542,27
171.02606,12
173.00844,21
174.01326,6
174.99721,250
177.0336,8
177.06991,7
178.96856,32
179.0492,23
179.07605,6
180.98649,19
181.0285,30
181.0649,7
184.98151,44
185.93993,16
186.94778,16
188.98608,13
191.03973,6
191.07605,7
193.02858,22
193.06484,10
193.09188,23
194.94244,9
195.04414,7
195.08064,32
197.98186,9
198.9971,65
206.96337,6
208.98141,9
209.0597,8
215.02842,11
216.96584,191
218.96894,6
219.08039,7
221.09615,6
222.99686,7
229.00755,23
230.95439,10
232.98751,33
234.96365,11
234.97625,117
246.92694,7
248.96511,8
256.95813,37
258.97619,31
260.93739,7
262.971,22
263.92949,7
264.93744,8
274.95628,21
275.00737,11
275.14287,9
276.9324,7
276.94497,243
276.98678,13
279.15871,38
283.07527,7
288.98658,13
290.93368,13
291.13796,8
298.92652,19
304.93954,17
305.898,8
314.90049,6
316.93707,9
318.9553,29
323.143,7
334.93507,7
336.92363,152
337.14885,6
339.1372,9
346.95011,6
348.87443,6
348.96562,8
350.9126,6
365.87711,8
376.91583,12
378.93417,7
394.91417,7
414.9012,9
414.91373,82
426.95499,6
452.14698,6
456.88211,19
467.17092,16
481.18621,7
492.90286,13
513.21273,7
552.88208,24
582.40574,27
583.40942,6
612.86042,9
614.23618,22
658.42183,71
659.42355,8
766.44439,6
766.45445,10
766.46452,6
766.47206,8
766.47835,9
766.48968,10
766.51232,15
766.52993,13
766.54629,21
766.55384,21
766.56265,17
766.579,20
766.5941,21
766.60669,12
766.62053,17
766.62808,12
766.64318,8
766.65325,6
766.66205,6
766.68219,6
766.69729,6
766.70862,6
791.46851,10
892.53275,37
893.5358,20
